😀	obraz, režanje, režeči obraz
☘️	deteljica, rastlina
🍀	4, detelja, list, rastlina, štiri, štiriperesna deteljica
🍁	javor, javorov list, list, padanje, rastlina
🍂	list, padanje, padlo listje, rastlina
🍃	list, listje, ki se vrtinči v vetru, pihati, rastlina, veter, vrtinčiti se
🍇	grozd, grozdje, rastlina, sadje
🍈	melona, rastlina, sadje
🍉	lubenica, rastlina, sadje
🍊	mandarina, pomaranča, rastlina, sadje
🍋	agrum, limona, rastlina, sadje
🍌	banana, rastlina, sadje
🍍	ananas, rastlina, sadje
🥭	mango, sadež, tropski
🍎	jabolko, rastlina, rdeče, rdeče jabolko, sadje
🍏	jabolko, rastlina, sadje, zeleno, zeleno jabolko
🍐	hruška, rastlina, sadje
🍑	breskev, rastlina, sadje
🍒	rastlina, sadje, češnja, češnje
🍓	jagoda, rastina, sadje
🥝	hrana, kivi, sadje
🍅	paradižnik, rastlina, zelenjava
🥥	kokos
🥑	avokado, hrana, sadje
🍆	jajčevec, rastlina, zelenjava
🥔	hrana, krompir, zelenjava
🥕	hrana, korenje, zelenjava
🌽	klas, koruza, koruzni storž, rastlina
🌶️	feferon, paprika, pekoče
🥒	hrana, kumara, zelenjava
🥬	kitajsko zelje, listnato zelena, listni ohrovt, solata, zelje
🥦	brokoli
🧄	aromatično, dišavnica, začimba, česen
🧅	aromatično, solzenje, čebula
🍄	goba, rastlina
🥜	arašid, arašidi, hrana, oreški, zelenjava
🌰	kostanj, rastlina
🍞	kruh, štruca
🥐	francoski, hrana, pecivo, rogljič
🥖	bageta, francoska, hrana, kruh
🥨	presta
🥯	bagel, namaz, pekarna
🥞	hrana, palačinke
🧇	oblat, pecivo, vafelj
🧀	kos sira, sir
🍖	kost, meso, meso s kostjo
🍗	bedro, kost, perutnina, piščanec, piščančje bedro
🥩	kos mesa
🥓	hrana, meso, slanina
🍔	hamburger
🍟	krompirček, ocvrt krompirček, pomfrit
🍕	pica, rezina, sir
🌭	hot dog, hrenovka
🥪	sendvič
🌮	mehiški prigrizek, taco
🌯	burito, mehiški prigrizek
🥙	falafel, gyros, hrana, kebab, nadev
🧆	falafel, kroglica, čičerika
🥚	hrana, jajca, jajce
🍳	cvrtje, jajce, kuhanje, ponev
🥘	hrana, kozica, kozica s hrano, paella, ponev
🍲	obara, skodelica, skodelica hrane
🥣	skodelica z žlico
🥗	hrana, solata, zelena, zelena solata
🍿	kokice, pokovka
🧈	maslo, mlečni izdelek, mlečno
🧂	sol, solnica, začimba
🥫	konzervirana hrana
🍱	bento, japonsko, malica, posoda, posoda za malico bento
🍘	kreker, riž, rižev kreker
🍙	japonsko, kroglica, riž, riževa kroglica
🍚	kuhan riž, kuhano, riž
🍛	kari, riž, riž s karijem
🍜	ramen, rezanci, skleda, skleda rezancev, vrelo
🍝	testenine, špageti
🍠	krompir, pečeni sladki krompir, pečeno, sladko
🍢	kebab, morska hrana, oden, paličica, špila
🍣	suši
🍤	kozica, ocvrt rakec, ocvrto, rakec, tempura
🍥	kolač, pecivo, riba, ribji kolač s spiralo, spirala
🥮	festival, jesen, lunina torta, yuebing
🍡	dango, japonsko, paličica, posladek, sladko, špila
🥟	cmok
🥠	piškotek sreče
🥡	embalaža za hrano, kartonska embalaža za hrano
🦀	rak, rakovica, zodiak
🦞	jastog, klešče, kremna juha, morska hrana
🦐	hrana, kozica, morski rakec, rak, škamp
🦑	hrana, ligenj, mehkužec
🦪	biser, ostriga, potapljanje, školjka
🍦	krema, led, mehko, posladek, rahel sladoled, sladko, sladoled
🍧	led, nastrgan led, nastrgano, posladek, sladko
🍨	krema, led, posladek, sladko, sladoled
🍩	krof, posladek, sladko
🍪	piškot, posladek, sladko
🎂	pecivo, posladek, rojstni dan, rojstnodnevna torta, sladko, slavje, torta
🍰	krhek kolač, pecivo, posladek, rezina, sladko, torta
🧁	kolaček, pekarna, posladek
🥧	pita
🍫	posladek, sladko, tablica, tablica čokolade, čokolada
🍬	bonbon, posladek, sladko
🍭	lizika, posladek, sladkarija, sladko
🍮	posladek, puding, sladko, vanilijev puding
🍯	kozarec za med, lonček, med, sladko, vrč medu
🍼	dojenček, mleko, piti, steklenica, steklenička
🥛	kozarec, kozarec mleka, mleko, pijača
☕️	kava, napitek, piti, vrelo, vroč napitek, vroče, čaj
🍵	napitek, piti, skodelica, skodelica čaja, čaj, čajna skodelica brez ročaja
🍶	bar, napitek, pijača, sake, skodelica, steklenica
🍾	bar, odleteti, odpiranje penine, pijača, steklenica, zamašek
🍷	bar, napitek, pijača, steklenica, vino, vinski kozarec
🍸️	bar, koktajl, kozarec, kozarec za koktajl, pijača
🍹	bar, pijača, tropska pijača, tropsko
🍺	bar, pijača, pivo, vrček, vrček za pivo
🍻	bar, nazdravljanje z vrčkoma za pivo, pijača, pivo, trkanje, vrček
🥂	nazdravljanje, pijača, praznovanje, trkanje
🥃	kozarec, kozarec žgane pijače, merica, viski, žgane pijače
🥤	kozarec s slamico
🧃	tetrapak s pijačo, tetrapak s sokom
🧉	mate čaj, napitek, pijača
🧊	hladno, ledena kocka, ledeno, ohladitev
🥢	jedilne paličice
🍽️	krožnik, kuhanje, nož, vilice, vilice, nož in krožnik
🍴	kuhanje, nož, vilice, vilice in nož
🥄	pribor, žlica
🔪	hocho, kuhanje, kuhinjski nož, nož, orodje, orožje
🏺	amfora, kuhanje, orodje, orožje, pijača, vodnar, vrč, zodiak
🌍	Afrika, Evropa, globus, globus z Evropo in Afriko, svet, zemlja
🌎️	Ameriki, globus, globus s Severno in Južno Ameriko, svet, zemlja
🌏	Avstralija, Azija, globus, globus z Azijo in Avstralijo, svet, zemlja
🌐	globus, globus s poldnevniki, poldnevniki, svet, zemlja
🗺️	svet, zemljevid, zemljevid sveta
🗾	Japonska, zemljevid, zemljevid Japonske
🧭	kompas, magnet, navigacija, orientacija
🏔️	gora, hladno, sneg, zasnežena gora
⛰️	gora
🌋	gora, izbruh, vreme, vulkan
🗻	Fuji, gora, gora Fuji
🏕️	kampiranje, šotor
🏖️	plaža, plaža s senčnikom, senčnik
🏜️	puščava
🏝️	otok, puščava, samotni otok
🏞️	nacionalni park, park
🏟️	stadion
🏛️	klasična zgradba, klasično, zgradba
🏗️	gradbišče, gradnja, zgradba
🧱	glina, malta, opeka, opeke, zid
🏘️	hiša, hiše, zgradba
🏚️	hiša, zapuščena hiša, zapuščeno, zgradba
🏠️	dom, hiša, zgradba
🏡	dom, hiša, hiša z vrtom, vrt, zgradba
🏢	poslovna stavba, zgradba
🏣	japonska pošta, japonsko, pošta, zgradba
🏤	evropsko, pošta, zgradba
🏥	bolnišnica, zdravilo, zdravnik, zgradba
🏦	banka, zgradba
🏨	hotel, zgradba
🏩	hotel, ljubezen, ljubezenski hotel, zgradba
🏪	hotel, komfort, trgovina, trgovina z mešanim blagom
🏫	zgradba, šola
🏬	blago, trgovina, veleblagovnica, zgradba
🏭️	tovarna, zgradba
🏯	grad, japonski grad, japonsko, zgradba
🏰	evropsko, grad, zgradba
💒	kapela, poročna kapela, romanca
🗼	Tokio, stolp, tokijski stolp
🗽	kip, kip svobode, svoboda
⛪️	cerkev, križ, krščansko, vera, zgradba
🕌	islam, mošeja, muslimansko, vera
🛕	hindu, hindujski tempelj, tempelj
🕍	jud, judovsko, sinagoga, tempelj, vera
⛩️	svetišče, vera, šinto, šintoistično svetišče
🕋	islam, kaaba, muslimansko, vera
⛲️	fontana, vodnjak
⛺️	taborjenje, šotor
🌁	megla, megleno, vreme
🌃	noč, vreme, zvezda, zvezdnata noč
🏙️	mestna pokrajina, mesto, zgradba
🌄	gora, jutro, sonce, sončni vzhod, sončni vzhod v gorah, vreme
🌅	jutro, sonce, sončni vzhod, vreme
🌆	mestna pokrajina v mraku, mesto, mrak, pokrajina, sonce, sončni zahod, večer, vreme, zgradba
🌇	mrak, sonce, sončni zahod, vreme, zgradba
🌉	most, most ponoči, noč, vreme
♨️	izvir, termalni vrelec, vrelec, vrelo, vroče
🎠	konj, konj na vrtiljaku, vrtiljak
🎡	lunapark, panoramsko kolo
🎢	lunapark, vlak smrti, vlakec smrti
💈	brivec, brivski izvesek, izvesek, striženje
🎪	cirkus, cirkuški šotor, šotor
🚂	lokomotiva, para, stroj, vlak, vozilo, železnica
🚃	avtomobil, električno, tramvaj, trolejbus, vlak, vozilo, železnica, železniški vagon
🚄	hitri vlak, hitrost, shinkansen, vlak, vozilo, železnica
🚅	hitri vlak s koničastim nosom, hitrost, koničast nos, shinkansen, vlak, vozilo, železnica
🚆	vlak, vozilo, železnica
🚇️	podzemna železnica, podzemni vlak, vozilo
🚈	ozkotirna železnica, vozilo, železnica
🚉	postaja, vlak, vozilo, železnica
🚊	tramvaj, trolejbus, vozilo
🚝	enotirna železnica, vozilo
🚞	avto, gora, gorska železnica, vozilo, železnica
🚋	tramvaj, trolejbus, vagon, vagon tramvaja, vozilo
🚌	avtobus, vozilo
🚍️	avtobus, prihajajoče, prihajajoči avtobus, vozilo
🚎	avtobus, tramvaj, trolejbus, vozilo
🚐	avtobus, minibus, vozilo
🚑️	reševalno vozilo, vozilo
🚒	avto, gasilsko, gasilsko vozilo, požar, vozilo
🚓	avto, patruljno, policija, policijsko vozilo, vozilo
🚔️	avto, policija, prihajajoče, prihajajoče policijsko vozilo, vozilo
🚕	taksi, vozilo
🚖	prihajajoče, prihajajoči taksi, taksi, vozilo
🚗	avto, avtomobil, vozilo
🚘️	avto, avtomobil, prihajajoče, prihajajoči avtomobil, vozilo
🚙	cestni terenec, prostočasno, vozilo
🚚	dostavno, dostavno vozilo, poltovornjak, vozilo
🚛	kamion, polpriklopnik, tovornjak, tovornjak s prikolico, vozilo
🚜	traktor, vozilo
🏎️	avto, dirkalnik, dirkanje
🏍️	dirkanje, motor
🛵	motor, skuter
🦽	invalid, ročni invalidski voziček
🦼	invalid, motoriziran invalidski voziček
🛺	rikša z motorjem, tuk tuk
🚲️	kolo, vozilo
🛴	poganjanje, skiro
🛹	deska, rolka
🚏	avtobus, avtobusna postaja, avtobusno postajališče, postajališče
🛣️	avtocesta, cesta
🛤️	vlak, železnica, železniška proga
🛢️	nafta, naftni sod, sod
⛽️	bencin, gorivo, servis, črpalka, črpalka za gorivo
🚨	avto, luč, policija, policijska luč, rotacijska luč, vozilo, vrteče
🚥	luč, promet, semafor, vodoravni semafor
🚦	luč, navpični semafor, promet, semafor
🛑	osemkotnik, stop, znak, znak stop
🚧	prepreka, zaprto zaradi gradnje
⚓️	ladja, orodje, sidro
⛵️	jadrnica, jahta, letovišče, morje, vozilo, čoln
🛶	kanu, čoln
🚤	gliser, vozilo, čoln
🛳️	ladja, potnik, potniška ladja, vozilo
⛴️	ladja, trajekt
🛥️	ladja, motorni čoln, vozilo
🚢	ladja, vozilo
✈️	letalo, vozilo
🛩️	letalo, manjše letalo, vozilo
🛫	letalo, odhod, odhod letala, odhodi, prijava, vozilo
🛬	letalo, prihod, prihod letala, prihodi, pristanek, vozilo
🪂	jadralni zmaj, jadralno padalo, padalo, parasailing, skok s padalom
💺	sedež, stol
🚁	helikopter, vozilo
🚟	viseča železnica, viseče, vozilo, železnica
🚠	gondola, gora, jeklena vrv, nihalka, vozilo
🚡	gondola, jeklena vrv, tramvaj, vagon, vozilo, zračno, žičnica
🛰️	satelit, vesolje, vozilo
🚀	raketa, vesolje, vozilo
🛸	leteči krožnik
🛎️	hotel, hotelski zvonec, portir, zvonec
🧳	pakiranje, potovanje, prtljaga
⌛️	pesek, peščena ura, časovnik
⏳️	pesek, peščena ura, peščena ura, ki teče, časovnik
⌚️	ročna ura, ura
⏰	alarm, budilka, ura
⏱️	ura, štoparica
⏲️	ura, časovnik
🕰️	ura, ura za na okvir kamina
🕛️	00, 12, dvanajst, poldne, ura
🕧	12, 12.30, 30, dvanajst, ena, pol, pol enih, ura
🕐️	00, 1, 1.00, ena, ura, ura je ena
🕜	1, 1.30, 30, dve, ena, pol, pol dveh, ura
🕑️	00, 2, 2.00, dve, ura, ura je dve
🕝	2, 2.30, 30, dve, pol, pol treh, tri, ura
🕒️	00, 3, 3.00, tri, ura, ura je tri
🕞	3, 3.30, 30, pol, pol štirih, tri, ura, štiri
🕓️	00, 4, 4.00, ura, ura je štiri, štiri
🕟	30, 4, 4.30, pet, pol, pol petih, ura, štiri
🕔️	00, 5, 5.00, pet, ura, ura je pet
🕠	30, 5, 5.30, pet, pol, pol šestih, ura, šest
🕕️	00, 6, 6.00, ura, ura je šest, šest
🕡	30, 6, 6.30, pol, pol sedmih, sedem, ura, šest
🕖️	00, 7, 7.00, sedem, ura, ura je sedem
🕢	30, 7, 7.30, osem, pol, pol osmih, sedem, ura
🕗️	00, 8, 8.00, osem, ura, ura je osem
🕣	30, 8, 8.30, devet, osem, pol, pol devetih, ura
🕘️	00, 9, 9.00, devet, ura, ura je devet
🕤	30, 9, 9.30, deset, devet, pol, pol desetih, ura
🕙️	00, 10, 10.00, deset, ura, ura je deset
🕥	10, 10.30, 30, deset, enajst, pol, pol enajstih, ura
🕚️	00, 11, 11.00, enajst, ura, ura je enajst
🕦	11, 11.30, 30, dvanajst, enajst, pol, pol dvanajstih, ura
🌑	luna, mlada luna, tema, vesolje, vreme
🌒	krajec, luna, prvi, prvi krajec, vesolje, vreme
🌓	luna, polovično osvetljena luna v prvem krajcu, vesolje, vreme, četrt
🌔	luna, polovično, prvi, vesolje, več kot polovično osvetljen prvi krajec, vreme
🌕️	luna, polna luna, polno, vesolje, vreme
🌖	luna, polovično, vesolje, več kot polovično osvetljen zadnji krajec, vreme, zadnji
🌗	luna, polovično osvetljena luna v zadnjem krajcu, vesolje, vreme, četrt
🌘	krajec, luna, vesolje, vreme, zadnji, zadnji krajec
🌙	krajec, luna, lunin srp, vesolje, vreme
🌚	luna, mlada luna z obrazom, obraz, vesolje, vreme
🌛	luna, obraz, polovično osvetljena luna v prvem krajcu z obrazom, vesolje, vreme, četrt
🌜️	luna, obraz, polovično osvetljena luna v zadnjem krajcu z obrazom, vesolje, vreme, četrt
🌡️	termometer, vreme
☀️	sonce, sončno, svetlo, vesolje, vreme, žarki
🌝	luna, obraz, polna luna z obrazom, polno, svetlo, vesolje, vreme
🌞	obraz, sonce, sonce z obrazom, svetlo, vesolje, vreme
🪐	planet z obročem, saturn, saturnov obroč
⭐️	bela srednja zvezda, zvezda
🌟	bleščeče, lesketanje, sijanje, zvezda, žar, žareča zvezda
🌠	padanje, repatica, utrinek, vesolje, zvezda
🌌	rimska cesta, vesolje, vreme
☁️	oblak, vreme
⛅️	oblak, sonce, sonce za oblakom, vreme
⛈️	dež, oblak, oblak s strelo in dežjem, strela, vreme
🌤️	oblak, sonce, sonce za oblačkom, vreme
🌥️	oblak, sonce, sonce za velikim oblakom, vreme
🌦️	dež, oblak, sonce, sonce za oblakom z dežjem, vreme
🌧️	dež, oblak, oblak z dežjem, vreme
🌨️	mrzlo, oblak, oblak s snegom, sneg, vreme
🌩️	oblak, oblak s strelo, strela, vreme
🌪️	oblak, tornado, vreme, vrtinec
🌫️	megla, oblak, vreme
🌬️	oblak, obraz, obraz, ki piha veter, pihati, veter, vreme
🌀	ciklon, tajfun, tornado, vreme, vrtoglavica
🌈	dež, mavrica, vreme
🌂	dež, dežnik, oblačila, vreme, zaprt dežnik
☂️	dež, dežnik, oblačila, vreme
☔️	dež, dežnik, dežnik z dežnimi kapljami, kaplja, oblačila, vreme
⛱️	dež, dežnik, dežnik na tleh, sonce, vreme
⚡️	elektrika, električno, napetost, nevarnost, strela, sunek, visoka napetost
❄️	mrzlo, sneg, snežinka, vreme
☃️	mrzlo, sneg, snežak, vreme
⛄️	mrzlo, sneg, snežak, snežak brez snega, vreme
☄️	komet, vesolje
🔥	ogenj, orodje, plamen
💧	kaplja, kapljica, mrzlo, pot, strip, vreme
🌊	morje, val, voda, vodni val, vreme
🎃	buča, izrezljana buča, laterna, noč čarovnic, slavje
🎄	božič, drevešček, jelka, slavje
🎆	ognjemet, slavje
🎇	iskrenje, ognjemet, sibirska lučka, slavje
🧨	dinamit, eksploziv, ognjemet, petarda
✨	*, iskrenje, iskrice, zvezda
🎈	balon, slavje
🎉	pokalica, pokalica za zabave, slavje, zabava
🎊	konfeti, krogla, slavje
🎋	drevo, drevo za tanabato, japonsko, pasica, slavje
🎍	bambus, bor, japonsko, okrasitev bora, rastlina, slavje
🎎	festival, japonski lutki, japonsko, lutka, slavje
🎏	barvno, riba, slavje, trak, zastavni trak z ribama
🎐	slavje, veter, vetrni zvončki, zvonec, zvonček
🎑	luna, lunino slavje, obred, slavje
🧧	darilo, denar, hóngbāo, lai see, rdeča ovojnica, sreča
🎀	pentlja, slavje
🎁	dar, darilo, slavje, zavito, zavito darilo, škatla
🎗️	pentlja, simbol, simbolna pentlja, slavje
🎟️	vstopnica, vstopnice, vstopnina
🎫	vstopnica, vstopnina
🎖️	odlikovanje, slavje, vojaško, vojaško odlikovanje
🏆️	nagrada, trofeja
🏅	medalja, športna medalja
🥇	medalja, prvo mesto, zlata medalja, zlato
🥈	drugo mesto, medalja, srebrna medalja, srebro
🥉	bron, bronasta medalja, medalja, tretje mesto
⚽️	nogomet, nogometna žoga, žoga
⚾️	žoga, žogica za baseball
🥎	pod roko, rokavica, žoga, žoga za softball
🏀	koš, košarkarska žoga, obroč, žoga
🏐	igra, žoga, žoga za odbojko
🏈	ameriško, nogomet, žoga, žoga za ameriški nogomet
🏉	nogomet, ragbi, žoga, žoga za ragbi
🎾	lopar, tenis, žoga
🥏	frizbi, najboljši
🎳	igra, kegljanje, krogla
🏏	igra, kij, kriket, žogica
🏑	hokej, hokej na travi, igra, palica, polje, žogica
🏒	hokej, hokejska palica in plošček, igra, led, palica, plošček
🥍	gol, lacrosse, palica, žoga
🏓	igra, kij, lopar, namizni tenis, žogica
🏸	badminton, igra, lopar, perjanica, žogica
🥊	boks, boksarska rokavica, rokavica, šport
🥋	borilne veščine, judo, karate, kimono za borilne športe, taekwondo, uniforma, šport
🥅	gol, mreža, šport
⛳️	golf, luknja, zastavica v luknji
⛸️	drsalka, drsati, led
🎣	palica, riba, ribiška palica
🤿	na dah, potapljanje, potapljaška maska, snorkljanje
🎽	lenta, majica, tek, tekaška majica
🎿	smučati, smučke, sneg
🛷	sanke
🥌	curling
🎯	igra, pikado, središče, zadetek, zadetek v polno
🪀	igrača, jojo, nihanje, proč sem
🪁	jadrati, leteti, zmaj (igrača)
🎱	8, biljard, igra, krogla, osmica
🔮	fantazija, kristalna, kristalna krogla, krogla, orodje, pravljica, prerokba
🧿	amulet, amulet zlobno oko, koralda, nazar, talisman, zlobno oko
🎮️	igra, krmilnik, videoigra
🕹️	igra, igralna palica, videoigra
🎰	avtomat, igra, igralni avtomat
🎲	igra, igralna kocka, kocka
🧩	delček, delček sestavljanke, namig, prileganje, sestavljanka
🧸	igrača, lutka, medvedek, plišasta, polnjena
♠️	barva, igra, karta, pik
♥️	barva, igra, karta, srca, srce
♦️	barva, kari igra, karo, karta
♣️	barva, igra, karta, križ, križi
♟️	kmet pri šahu, pogrešljiv, tepček, šah
🃏	igra, igranje, joker, karta
🀄️	igra, mahjong, rdeče, rdeči zmaj v mahjongu
🎴	igra, igranje, japonsko, karta, roža, rožne igralne karte
🎭️	gledališče, maska, nastopanje, scenske umetnosti, umetnost
🖼️	muzej, okvir, risba, slika, umetnost, uokvirjena slika
🎨	muzej, paleta, slika, slikarska paleta, umetnost
🧵	navitek, nit, sukanec, šivanje, šivanka
🧶	klobčič, kvačkanje, pletenje, preja
👓️	oblačila, očala, oči
🕶️	očala, oči, sončna očala, temno
🥽	plavanje, varjenje, zaščita oči, zaščitna očala
🥼	eksperiment, laboratorijska halja, zdravnik, znanstvenik
🦺	jopič, reševalni, v sili, varnostni jopič
👔	kravata, oblačila
👕	kratka majica, majica, oblačila, srajca
👖	hlače, kavbojke, oblačila
🧣	šal
🧤	rokavice
🧥	plašč
🧦	nogavice
👗	oblačila, ženska obleka
👘	kimono, oblačila
🥻	oblačilo, obleka, ogrinjalo, sari
🩱	enodelne kopalke, kopalna obleka, ženske kopalke
🩲	enodelno, kopalke, kopalno oblačilo, spodnje hlače, spodnje perilo
🩳	kopalke, kopalne hlače, kratke hlače, spodnje perilo
👙	bikini, oblačila, plavati
👚	oblačila, ženska, ženska oblačila
👛	drobižnica, kovanec, oblačila
👜	oblačila, ročna torbica, torbica
👝	oblačila, torbica, večerna torbica
🛍️	hotel, nakupovalni vrečki, nakupovanje, torbica
🎒	nahrbtnik, torba, šola, šolski nahrbtnik
👞	moški, moški čevelj, oblačila, čevelj
👟	oblačila, superga, tekaški čevelj, čevelj, športno
🥾	kampiranje, planinarjenje, pohodniški čevelj, pohodništvo, čevelj
🥿	balerinke, balernike, brez pete, natakniti
👠	oblačila, peta, čevelj, čevelj z visoko peto, ženska
👡	oblačila, sandal, čevelj, ženska, ženski sandali
🩰	balet, baletni čeveljci, ples
👢	oblačila, čevelj, škorenj, ženska, ženski škorenj
👑	kralj, kraljica, krona, oblačila
👒	klobuk, oblačila, ženska, ženski klobuk
🎩	cilinder, klobuk, oblačila
🎓️	kapa, klobuk, matura, maturantska kapa, oblačila, slavje
🧢	kapa s ščitom
⛑️	križ, obraz, pomoč, čelada, čelada z belim križem, čepica
📿	koralde, molitev, oblačila, ogrlica, rožni venec, vera
💄	kozmetika, ličila, šminka
💍	diamant, prstan, romanca
💎	diamant, dragi kamen, dragulj, romanca
🔇	brez zvoka, glasnost, tiho, ugasnjen zvočnik, zvočnik
🔈️	glasnost, zvočnik pri nizki glasnosti
🔉	glasnost, nizko, val, zvočnik, zvočnik pri zmerni glasnosti
🔊	glasno, zvočnik na glas
📢	glasnost, javna objava, javni zvočnik
📣	megafon, skandiranje
📯	poštni rog, poštno, rog
🔔	zvonec
🔕	brez zvoka, molčeče, ne, ni dovoljeno, prepovedano, prečrtan zvonec, tiho, zvonec
🎼	glasba, partitura
🎵	glasba, glasbena nota, nota
🎶	glasba, glasbene note, nota, note
🎙️	glasba, mikrofon, studijski mikrofon, studio
🎚️	drsnik, drsnik za raven, glasba, raven
🎛️	glasba, gumbi, kontrolni gumbi, kontrolnik
🎤	karaoke, mikrofon
🎧️	slušalka, ušesna slušalka
📻️	glasba, radio
🎷	glasba, instrument, saksofon
🎸	glasba, glasbilo, kitara
🎹	glasba, glasbilo, klaviatura, klavir
🎺	glasba, glasbilo, trobenta
🎻	glasba, glasbilo, violina
🪕	bendžo, brenkalo, glasba, glasbilo, strune
🥁	boben, glasba, tolkalo
📱	mobilni telefon, mobilnik, mobilno, telefon
📲	klic, mobilni telefon s puščico, mobilnik, mobilno, puščica, sprejeti, telefon
☎️	telefon
📞	sprejemnik, telefon, telefonska slušalka
📟️	pozivnik
📠	faks, telefaks
🔋	baterija
🔌	elektrika, električni vtikač, električno, vtikač
💻️	osebno, prenosnik, računalnik, sistem, windows
🖥️	namizni računalnik, namizno, računalnik
🖨️	računalnik, tiskalnik
⌨️	računalnik, tipkovnica
🖱️	računalnik, računalniška miška
🖲️	računalnik, sledilna kroglica
💽	disk, minidisk, optično, računalnik
💾	disk, disketa, računalnik
💿️	blu-ray, cd, disk, dvd, optični disk, optično, računalnik
📀	blu-ray, cd, disk, dvd, optično, računalnik
🧮	abak, izračun
🎥	film, filmska kamera, kamera, kino
🎞️	film, filmski trak, kino, sličice
📽️	film, filmski projektor, kino, projektor, video
🎬️	film, klapa
📺️	televizija, tv, video
📷️	fotoaparat, video
📸	bliskavica, fotoaparat, fotoaparat z bliskavico, video
📹️	video, videokamera
📼	kaseta, vhs, video, videokaseta
🔍	iskanje, orodje, povečevalno, povečevalno steklo, usmerjeno v levo, steklo
🔎	iskanje, orodje, povečevalno, povečevalno steklo, usmerjeno v desno, steklo
🕯️	luč, sveča
💡	električno, luč, strip, zamisel, žarnica
🔦	električno, luč, orodje, svetilka
🏮	bar, japonsko, lampijon, luč, rdeče, rdeči lampijon
🪔	dyja, lučka, olje, oljna lučka, svetilka
📔	knjiga, okrašeno, platnica, zvezek, zvezek z okrasno platnico
📕	knjiga, zaprta knjiga, zaprto
📖	knjiga, odprta knjiga, odprto
📗	knjiga, zelena knjiga, zeleno
📘	knjiga, modra knjiga, modro
📙	knjiga, oranžna knjiga, oranžno
📚️	knjiga, knjige
📓	zvezek
📒	zvezek, zvezek s spiralno vezavo
📃	dokument, nagrbančiti se, stran, zvita stran
📜	papir, zvitek
📄	dokument, list s prikazano popisano stranjo, stran
📰	novice, časopis
🗞	novice, zvit časopis, zvito, časopis
📑	marker, oznaka, zavihki, zaznamek, zaznamki na straneh
🔖	oznaka, zaznamek
🏷️	etiketa, nalepka, oznaka
💰️	denar, dolar, vreča, vreča denarja
💴	apoen, banka, bankovec, bankovec za jen, denar, jen, valuta
💵	apoen, banka, bankovec, denar, dolar, dolarski bankovec, valuta
💶	apoen, banka, bankovec, denar, evro, evrski bankovec, valuta
💷	apoen, banka, bankovec, bankovec za funt, denar, funt, valuta
💸	apoen, banka, bankovec, denar, denar s krili, dolar, krila, leteti, valuta
💳️	banka, denar, kartica, kreditna kartica, kreditno
🧾	dokaz, dokazilo, knjigovodstvo, račun, računovodstvo
💹	banka, denar, graf, grafikon, grafikon rasti za jen, jen, navzgor, rast, rasti, trend, trg, valuta
💱	banka, denar, menjava, menjava valut, valuta
💲	denar, dolar, valuta, znak za dolar
✉️	e-pošta, ovojnica
📧	e-pošta, elektronska pošta, pismo, pošta
📨	dohodna ovojnica, dohodno, e-pošta, elektronska pošta, pismo, pošta, prejeti
📩	e-pošta, elektronska pošta, kuverta, navzdol, odhodno, ovojnica s puščico, pismo, poslano, pošta, puščica
📤️	nabiralnik, odhodna pošta, pismo, pladenj, pladenj za odhodno pošto, poslano, pošta
📥️	dohodna pošta, nabiralnik, pismo, pladenj, pladenj za dohodno pošto, pošta, prejeti
📦️	nabiralnik, paket
📫️	pošta, poštni nabiralnik, zaprt poštni nabiralnik z dvignjeno zastavico, zaprto
📪️	pošta, poštni nabiralnik, spuščeno, zaprt poštni nabiralnik s spuščeno zastavico, zaprto
📬️	odprt poštni nabiralnik z dvignjeno zastavico, odprto, pošta, poštni nabiralnik
📭️	odprt poštni nabiralnik s spuščeno zastavico, odprto, pošta, poštni nabiralnik, spuščeno
📮	pošta, poštni nabiralnik
🗳️	glasovnica, škatla, škatla za glasovanje z glasovnico
✏️	pisalo, svinčnik
✒️	konica, pero, črna konica peresa
🖋️	nalivnik, pero
🖊️	kemični svinčnik, nalivnik, nalivno pero
🖌️	barvanje, čopič
🖍️	barvica, voščenka
📝	svinčnik, zapisek
💼	aktovka, kovček
📁	mapa, mapa za spise, spis
📂	mapa, odprta mapa za spise, odprto, spis
🗂️	kartica, kartoteka, kartoteke z vmesnimi listi, vmesni listi
📅	datum, koledar
📆	koledar, koledar z odstranljivimi listi
🗒️	beležka, beležnica, spirala, spiralna beležnica
🗓️	beležka, koledar, spirala, spiralni koledar
📇	kartica, kartoteka, organizator vizitk
📈	graf, grafikon, grafikon rasti, navzgor, rast, trend
📉	graf, grafikon, grafikon padca, navzdol, trend
📊	graf, grafikon, črtni grafikon, črtno
📋️	podložna mapa
📌	risalni žebljiček
📍	okrogli risalni žebljiček, risalni žebljiček
📎	sponka za papir
🖇️	povezani sponki, povezano, sponka
📏	merilo, ravnilo
📐	merilo, nastaviti, trikotnik, trikotno ravnilo
✂️	orodje, škarje
🗃️	dokumenti, spis, škatla, škatla z dokumenti
🗄️	predalnik, predalnik za dokumente, spis
🗑️	koš za smeti
🔒️	ključavnica, zaklenjena ključavnica
🔓️	ključavnica, odkleniti, odklenjena ključavnica, odprto
🔏	ključavnica, ključavnica s peresom, konica, pero, zasebnost, črnilo
🔐	ključ, ključavnica, varno, zaprta ključavnica s ključem, zaprto
🔑	geslo, ključ, ključavnica
