😀	зубы, усмешка, шырока ўсміхаецца
🎨	карціна, мастацтва, музей, палітра, палітра мастака
🧵	нітка, шпулька, шыццё, іголка
🧶	вязанне, клубок, кручок, пража
👓️	аксесуар, акуляры, вочы, зрок
🕶️	аксесуар, акуляры, вочы, сонечныя акуляры, цёмны
🥽	ахова вачэй, ахоўныя акуляры, зварка, плаванне
🥼	вучоны, доктар, лабараторны халат, эксперымент
🦺	засцерагальная, камізэлька, сігнальная, сігнальная камізэлька
👔	адзенне, гальштук
👕	адзенне, кашуля, саколка, цішотка
👖	адзенне, джынсы, штаны
🧣	шалік, шыя
🧤	пальчаткі, рука
🧥	куртка, паліто
🧦	панчохі, шкарпэткі
👗	адзенне, сукенка
👘	адзенне, кімано
🥻	адзенне, сары, сукенка
🩱	закрыты купальнік, купальны касцюм
🩲	закрыты купальнік, купальны касцюм, ніжняя бялізна, плаўкі
🩳	купальны касцюм, ніжняя бялізна, трусы, шорты
👙	адзенне, бікіні, купальнік
👚	адзенне, жаночае адзенне, жанчына
👛	аксесуар, капейка, кашалёк, манета
👜	аксесуар, дамская сумачка, сумка, торба
👝	аксесуар, сумачка, сумка, торба
🛍️	гатэль, пакет, пакеты для шопінгу, шопінг
🎒	кніжная сумка, сумка, школа, школьны ранец
👞	абутак, мужчына, мужчынскі туфель, туфель
👟	абутак, бег, красовак, спорт
🥾	бот, паход, паходны бот, пешы турызм, турызм
🥿	балетка, без шнуркоў, тапак
👠	абутак, абцас, жанчына, туфля на абцасе
👡	абутак, жаночая сандаля, жанчына, сандалі
🩰	балет, пуанты, танец
👢	абутак, боты, жаночы бот, жанчына
👑	аксесуар, каралева, кароль, карона
👒	адзенне, аксесуар, жаночы капялюш, жанчына, капялюш
🎩	адзенне, аксесуар, капялюш, мужчына, цыліндр
🎓️	акадэмічная шапачка, выпуск, свята, шапачка, шапка
🧢	бейсболка, кепка
⛑️	дапамога, каска, каска з белым крыжам, крыж, шлем
📿	аксесуар, малітва, пацеркі, ружанец, рэлігія
💄	касметыка, макіяж, памада
💍	дыямент, кальцо
💎	дыямент, каштоўны самацвет, самацвет, ювелірны выраб
🔇	без гуку, бязгучнасць, гучнасць, дынамік, ціха
🔈️	гучнасць, дынамік
🔉	гучнасць, дынамік, нізкая, ціха
🔊	высокая, гучна, гучнасць, дынамік
📢	вяшчанне, гучнагаварыцель, гучны, публічны зварот, рупар
📣	мегафон, мітынг, падбадзёрванне
📯	паштовая труба, паштовы, пошта, труба
🔔	званочак
🔕	без гуку, бязгучны, забаронена, званочак, перакрэслены званочак, ціха
🎼	запіс, музыка, музычны, нота, партытура
🎵	музыка, музычная нота, музычны, нота
🎶	музыка, музычны, музычныя ноты, ноты
🎙️	музыка, музычная, мікрафон, студыйны мікрафон, студыя
🎚️	музыка, паўзунок, узровень
🎛️	музыка, рэгуляванне, рэгулятар, рэгулятары
🎤	караоке, музыка, мікрафон
🎧️	вушы, гук, музыка, навушнікі
📻️	перадача, прыёмнік, радыё, радыёстанцыя, хваля
🎷	духавы, музыка, музычны, саксафон, інструмент
🎸	гітара, музыка, музычны, шчыпковы, інструмент
🎹	клавішны, клавіятура, музыка, музычная клавіятура, піяніна, інструмент
🎺	духавы, музыка, музычны, труба, інструмент
🎻	музыка, музычны, скрыпка, смычковы, інструмент
🪕	банджа, музыка, струнныя
🥁	барабан, музыка, палачкі
📱	мабільны, мабільны тэлефон, мабільнік, смартфон, сотавы, тэлефон
📲	выклік, мабільны, мабільны тэлефон са стрэлкай, мабільнік, прыём, смартфон, сотавы, стрэлка, тэлефон
☎️	тэлефон, хатні тэлефон
📞	трубка, тэлефон, тэлефонная трубка
📟️	паведамленне, пэйджар, радок
📠	факс, факсімільны апарат
🔋	акумулятар, батарэйка, батарэя
🔌	вілка, разетка, штэкер, электрычнасць
💻️	ПК, камп’ютар, ноўтбук, персанальны
🖥️	камп’ютар, стацыянарны, стацыянарны камп’ютар
🖨️	друк, камп’ютар, папера, перыферыя, прынтар
⌨️	камп’ютар, клавішы, клавіятура, перыферыя
🖱️	камп’ютар, камп’ютарная мыш, кнопкі, мыш, перыферыя, тры
🖲️	камп’ютар, перыферыя, трэкбол, шар
💽	аптычны, дыск, камп’ютар, міні-дыск, носьбіт
💾	гібкі, дыск, дыскета, камп’ютар, носьбіт
💿️	CD, аптычны, аптычны дыск, кампакт-дыск, камп’ютар, носьбіт
📀	DVD, аптычны, кампакт-дыск, камп’ютар, носьбіт
🧮	лічыльнікі, разлік
🎥	камера, кінакамера, кіно, фільм
🎞️	кадры, кінаплёнка, кіно, плёнка, фільм
📽️	відэа, кінапраектар, кіно, праектар, фільм
🎬️	здымка, нумаратар з хлапушкай, фільм, хлапушка
📺️	ТБ, відэа, тэлебачанне, тэлевізар
📷️	відэа, здымка, камера, фота
📸	здымка, камера, камера з успышкай, успышка, фота
📹️	відэа, відэакамера, здымка, камера
📼	відэа, відэакасета, касета, плёнка
🔍	лупа павернута ўлева, павелічэнне, пошук, шкло, інструмент
🔎	лупа павернута ўправа, павелічэнне, пошук, шкло, інструмент
🕯️	агонь, свечка, святло
💡	комікс, лямпа, лямпачка, святло, электрычнасць, эўрыка, ідэя
🔦	ліхтарык, святло, электрычнасць, інструмент
🏮	святло, чырвоны, чырвоны папяровы ліхтар, японскі, ідзакая
🪔	алейная, дыя, каганец, лямпа, лямпа дыя
📔	вокладка, дэкаратыўны, кніга, нататнік, нататнік з дэкаратыўнай вокладкай
📕	закрытая, закрытая кніга, кніга
📖	адкрытая, адкрытая кніга, кніга
📗	зялёная, зялёная кніга, кніга
📘	кніга, сіняя, сіняя кніга
📙	аранжавая, аранжавая кніга, кніга
📚️	кніга, кнігі
📓	блакнот, запіс, нататка, нататнік
📒	бухгалтарская кніга, запіс, справаводства, улік
📃	дакумент, завіток, загіб, старонка, старонка з загібам
📜	папера, пергамент, скрутак
📄	аркуш, дакумент, ліст, старонка
📰	газета, навіны, папера, прэса
🗞	газета, навіны, папера, скручаная, скручаная газета
📑	закладка, закладкі, маркер, метка, укладка
🔖	закладка, маркер, метка
🏷️	бірка, цэтлік, ярлык
💰️	грошы, долар, мяшок, мяшок з грашыма
💴	Японія, банкнот іены, валюта, грошы, купюра, іена
💵	Аўстралія, ЗША, Канада, банкнот долара, валюта, грошы, долар, купюра
💶	банкнот еўра, валюта, грошы, еўра, купюра
💷	Вялікабрытанія, банкнот фунта, валюта, грошы, купюра, фунт
💸	грошы, грошы з крыламі, долар, крылы, купюра, палёт
💳️	банк, грошы, картка, крэдыт, крэдытка, крэдытная карта
🧾	бухгалтэрыя, доказ, пацвярджэнне, разлікі, чэк
💹	валюта, графік, грошы, дыяграма, дыяграма росту са знакам іены, рост, рынак, тэндэнцыя, іена
💱	абмен, абмен валют, банк, валюта, грошы
💲	валюта, грошы, долар, знак долара
✉️	канверт, ліст, пошта, электронная пошта
📧	ліст, пошта, электронная пошта, электронны ліст
📨	атрыманы, канверт, пошта, уваходны, уваходны ліст, электронная пошта
📩	адпраўленая, выходная, выходны ліст, канверт, ліст, пошта, стрэлка, электронная пошта
📤️	адпраўленыя, выходныя, латок, латок для выходнай пошты, ліст, пошта
📥️	атрыманыя, латок, латок для ўваходнай пошты, ліст, пошта, уваходныя
📦️	каробка, пакет, пасылка
📫️	закрытая, закрытая паштовая скрынка з паднятым флажком, пошта, скрынка, флажок
📪️	апушчаны, закрытая, закрытая паштовая скрынка з апушчаным флажком, пошта, скрынка, флажок
📬️	адкрытая, адкрытая паштовая скрынка з паднятым флажком, пошта, скрынка, флажок
📭️	адкрытая, адкрытая паштовая скрынка з апушчаным флажком, апушчаны, пошта, скрынка, флажок
📮	паштовая скрынка, пошта, скрынка
🗳️	выбары, галасаванне, урна, урна для галасавання
✏️	аловак, карандаш
✒️	асадка, вастрыё, пяро, пісьмо, чорнае пяро
🖋️	асадка, пяро, пёравая, пёравая ручка, ручка
🖊️	асадка, аўтаручка, ручка, шарыкавая
🖌️	жывапіс, маляванне, пэндзаль
🖍️	аловак, жывапіс, маляванне, мяккі, пастэль
📝	аловак, запіс, нататка, памятка, папера
💼	дакументы, паперы, партфель
📁	папка, папка для файлаў, файл
📂	адкрытая, адкрытая папка для файлаў, папка, файл
🗂️	карта, картатэка, раздзяляльнікі, раздзяляльнікі для картатэкі, сартаванне
📅	дата, каляндар, чысло
📆	адрыўны, адрыўны каляндар, каляндар
🗒️	блакнот, лісты, нататнік, перакідны, перакідны нататнік
🗓️	каляндар, лісты, перакідны, перакідны каляндар
📇	картатэка, картка, каталог, паказальнік
📈	графік, дыяграма, дыяграма росту, рост, тэндэнцыя
📉	графік, дыяграма, дыяграма зніжэння, зніжэнне, тэндэнцыя
📊	графік, дыяграма, лінейчастая, лінейчастая дыяграма, слупок
📋️	заціск, папера, планшэт, планшэт з заціскам
📌	канцылярская кнопка, кнопка
📍	кнопка, круглая, круглая канцылярская кнопка
📎	канцылярыя, папера, сашчэпка
🖇️	злучаныя сашчэпкі, папера, сашчэпка
📏	вымярэнне, край, лінейка, прамы
📐	вымярэнне, лінейка, трохвугольная лінейка, трохвугольнік
✂️	выразанне, нажніцы, інструмент
🗃️	каробка, каробка для картатэкі, карта, файл
🗄️	архіў, архіўная шафа, файл, шафа
🗑️	кошык, кошык для смецця, сметніца, смецце
🔒️	заблакіравана, закрыта, замкнёны замок, замок
🔓️	адамкнёны замок, адкрыта, замок, разблакіравана
🔏	бяспека, замкнёны замок з пяром, замок, канфідэнцыяльнасць, пяро
🔐	бяспека, закрыта, замкнёны замок з ключом, замок, ключ
🔑	замок, ключ, пароль
🗝️	замок, ключ, стары, стары ключ
🔨	малаток, інструмент
🪓	дрэва, рассякаць, сякера, сячы
⛏️	здабыча, кірка, шахта, інструмент
⚒️	кірка, малаток, малаток і кірка, шахта, інструмент
🛠️	гаечны, ключ, малаток, малаток і гаечны ключ, інструмент
🗡️	зброя, корцік, кінжал, нож
⚔️	зброя, мячы, скрыжаваныя, скрыжаваныя мячы
🔫	зброя, пушка, пісталет, рэвальвер
🏹	задыяк, лук са стралой, стралец
🛡️	абарона, зброя, рыштунак, шчыт
🔧	гаечны ключ, інструмент
🔩	болт, гайка, ніт і гайка, шруба, інструмент
⚙️	дэталь, шасцярня, шасцярэнька, інструмент
🗜️	сцісканне, ціскі, інструмент
⚖️	задыяк, шалі
🦯	даступнасць, палка, сляпы
🔗	злучаныя звёны, ланцуг, сувязь
⛓️	ланцуг, ланцугі
🧰	механік, скрыня, скрыня з інструментамі, інструменты
🧲	магнетызм, магніт, падкова, прыцяжэнне
⚗️	алхімія, пасудзіна, перагонны куб, хімія, інструмент
🧪	лабараторыя, навука, прабірка, хімік, хімія, эксперымент
🧫	бактэрыя, біялогія, біёлаг, культура, лабараторыя, чашка Петры
🧬	ДНК, біёлаг, ген, генетыка, жыццё, эвалюцыя
🔬	мікраскоп, прыбор, інструмент
🔭	прыбор, тэлескоп, інструмент
📡	антэна, спадарожнік, спадарожнікавая антэна, талерка
💉	доктар, лекі, укол, шпрыц, іголка, ін’екцыя
🩸	донарства крыві, кропля крыві, медыцына, менструацыя
💊	доктар, лекі, таблетка, хворы
🩹	бінт, пластыр
🩺	доктар, медыцына, стэтаскоп, сэрца
🚪	дзверы
🛏️	гатэль, ложак, сон
🛋️	гатэль, канапа, канапа з лямпай, лямпа
🪑	крэсла, месца, сядзець
🚽	туалет, унітаз
🚿	вада, душ
🛁	вада, ванна, купанне
🪒	брытва, востры, галіцца
🧴	ахова ад сонца, бутэлька з ласьёнам, крэм, ласьён, шампунь
🧷	панк-рок, шпілька
🧹	ведзьма, мятла, падмятаць, прыбіраць
🧺	кошык, мыццё, пікнік, фермерства
🧻	папяровыя ручнікі, рулон паперы, туалетная папера
🧼	купанне, мыла, мыльніца, мыццё, пена
🧽	ачышчэнне, мачалка, мыццё, порысты
🧯	вогнетушыцель, гасіць, пажар, тушыць
🛒	каляска, каляска для тавараў, пакупкі, тавары
🚬	дым, курэнне, цыгарэта
⚰️	дамавіна, смерць, труна
⚱️	прах, смерць, урна, урна з прахам
🗿	Пасхі, Рапануі, востраў, мааі, статуя, твар
🏧	банкамат, гатоўка, знак, знак банкамата, наяўныя, тэрмінал
🚮	знак, знак «кідайце смецце ў урну», сметніца, урна
🚰	вада, пітная, пітная вада, піццё
♿️	доступ, знак «для інвалідаў», каляска, інвалід
🚹️	мужчына, мужчынскі туалет, прыбіральня, туалет
🚺️	жаночы туалет, жанчына, прыбіральня, туалет
🚻	прыбіральня, туалет
🚼️	дзіця, знак «немаўля», спавіванне
🚾	грамадская, прыбіральня, туалет
🛂	кантроль, пашпарт, пашпартны кантроль, праверка
🛃	кантроль, мытня, мытнік, праверка
🛄	атрыманне, атрыманне багажу, багаж
🛅	багаж, камера, камера для хавання, хаванне, шафа
⚠️	папярэджанне, увага
🚸	дарожны, дарожны рух, дзеці, дзеці на дарозе, знак, пешаход
⛔️	дарожны, забаронены, знак, рух, уезд, уезд забаронены
🚫	забаронена, знак, нельга, няма ўваходу
🚳	веласіпед, дарожны, забаронена, знак, ровар, рух, рух на веласіпедзе забаронены
🚭️	забаронена, курэнне, курэнне забаронена, не курыць
🚯	забаронена, нельга, смецце, смеціць забаронена
🚱	вада, забаронена, непрыдатная, непрыдатная для піцця вада, піццё
🚷	дарожны, забаронена, знак, нельга, пешаход, рух, рух пешаходаў забаронены
📵	забаронена, карыстацца мабільнымі тэлефонамі забаронена, мабільны, мабільнік, сотавы, тэлефон
🔞	18, забаронена, паўналетнія, толькі для паўналетніх, узроставае абмежаванне
☢️	знак, небяспека, радыеактыўны, радыяцыя
☣️	біялагічная небяспека, біялагічны, знак, небяспека
⬆️	кірунак, поўнач, стрэлка, стрэлка ўверх, уверх
↗️	кірунак, паўночны ўсход, стрэлка, стрэлка ўверх-управа, уверх-управа
➡️	кірунак, стрэлка, стрэлка ўправа, управа, усход
↘️	кірунак, паўднёвы ўсход, стрэлка, стрэлка ўніз-управа, уніз-управа
⬇️	кірунак, поўдзень, стрэлка, стрэлка ўніз, уніз
↙️	кірунак, паўднёвы захад, стрэлка, стрэлка ўніз-улева, уніз-улева
⬅️	захад, кірунак, стрэлка, стрэлка ўлева, улева
↖️	кірунак, паўночны захад, стрэлка, стрэлка ўверх-улева, уверх-улева
↕️	падвоеная, стрэлка, стрэлка ўверх-уніз
↔️	падвоеная, стрэлка, стрэлка ўлева-ўправа
↩️	кірунак, рух, стрэлка, стрэлка ўправа з паваротам улева
↪️	кірунак, рух, стрэлка, стрэлка ўлева з паваротам управа
⤴️	кірунак, стрэлка, стрэлка ўправа з паваротам уверх, уверх
⤵️	кірунак, стрэлка, стрэлка ўправа з паваротам уніз, уніз
🔃	вертыкальныя стрэлкі па гадзіннікавай стрэлцы, па гадзіннікавай стрэлцы, перазагрузіць, стрэлка
🔄	абнавіць, кнопка, кнопка са стрэлкамі супраць гадзіннікавай стрэлкі, стрэлка, супраць гадзіннікавай стрэлкі
🔙	назад, стрэлка, стрэлка «назад»
🔚	канец, стрэлка, стрэлка «канец»
🔛	актыўна, стрэлка, стрэлка «уключана!», уключана
🔜	неўзабаве, стрэлка, стрэлка «неўзабаве»
🔝	дагары, стрэлка, стрэлка «верх», уверх, угару
🛐	культ, культавае памяшканне, пакланенне, рэлігія
⚛️	атам, атэізм, сімвал атама, фізіка
🕉️	мантра, ом, рэлігія, індуізм
✡️	Давід, зорка, зорка Давіда, рэлігія, яўрэй, іудаізм
☸️	будызм, дхарма, кола, кола дхармы, рэлігія
☯️	даасізм, рэлігія, ян, інь, інь і ян
✝️	каталіцкі крыж, каталіцтва, крыж, рэлігія, хрысціянства
☦️	крыж, праваслаўе, праваслаўны крыж, рэлігія, хрысціянства
☪️	зорка і паўмесяц, мусульманскі, рэлігія, іслам
☮️	мір, пацыфік, сімвал
🕎	Ханука, падсвечнік, рэлігія, свечка, сямісвечнік
🔯	Давід, зорка, шасціканцовая, шасціканцовая зорка з кропкай
♈️	авен, задыяк, знак задыяка Авен
♉️	бык, задыяк, знак задыяка Цялец, цялец
♊️	блізняты, задыяк, знак задыяка Блізняты
♋️	задыяк, знак задыяка Рак, краб, рак
♌️	задыяк, знак задыяка Леў, леў
♍️	дзева, задыяк, знак задыяка Дзева
♎️	баланс, задыяк, знак задыяка Шалі, правасуддзе, шалі
♏️	задыяк, знак задыяка Скарпіён, скарпіён
♐️	задыяк, знак задыяка Стралец, стралец
♑️	задыяк, знак задыяка Казярог, казярог, казёл
♒️	вада, вадаліў, задыяк, знак задыяка Вадалей
♓️	задыяк, знак задыяка Рыбы, рыба, рыбы
⛎	задыяк, змеяносец, змяя, знак задыяка Змеяносец, спакушальнік
🔀	кнопка, кнопка «перамяшаць трэкі», перакрыжаваныя, стрэлкі
🔁	кнопка, кнопка «паўтарыць», па гадзіннікавай стрэлцы, паўтарэнне, стрэлкі
🔂	кнопка, кнопка «паўтараць адзін трэк», па гадзіннікавай стрэлцы, паўтор, стрэлка, трэк
▶	кнопка, кнопка «прайграць», прайграванне, трохвугольнік, управа
⏩	кнопка, кнопка перамоткі наперад, падвоены, перамотка, трохвугольнік
⏭	кнопка, кнопка «наступны трэк», наступны, трохвугольнік, трэк
⏯	кнопка, кнопка «прайграць» і «прыпыніць», паўза, прайграванне, трохвугольнік, управа
◀	кнопка, кнопка «прайграць назад», назад, прайграць, трохвугольнік, улева
⏪	кнопка, кнопка перамоткі назад, падвоеная, перамотка, стрэлка
⏮	кнопка, кнопка «папярэдні трэк», папярэдні, трохвугольнік, трэк
🔼	кнопка, кнопка «уверх», стрэлка, уверх, чырвоная
⏫	кнопка «хутка ўверх», падвоеная, стрэлка, уверх
🔽	кнопка, кнопка «ўніз», стрэлка, уніз, чырвоная
⏬	кнопка «хутка ўніз», падвоеная, стрэлка, уніз
⏸️	вертыкальная, кнопка «прыпыніць», падвоеная, палоска, паўза, прыпыненне
⏹️	квадрат, кнопка, кнопка «спыніць», спыненне, стоп
⏺️	запіс, кнопка, кнопка «запіс», круг
⏏️	выманне, кнопка, кнопка «выняць»
🎦	зала, камера, кіно, стужка, фільм
🔅	кнопка змяншэння яркасці, нізкі, узровень, цёмна, яркасць
🔆	высокі, кнопка павелічэння яркасці, узровень, ярка, яркасць
📶	антэна, мабільны, палоска, сетка, сотавы, сігнал, тэлефон, узровень сігналу сеткі
📳	вібрацыя, мабільны, рэжым, рэжым вібрацыі, сотавы, тэлефон
📴	выключаны, мабільны, мабільны тэлефон выключаны, сотавы, тэлефон
♀️	жаночы сімвал, жанчына
♂️	мужчына, мужчынскі сімвал
⚕️	Асклепій, медыцына, медыцынскі сімвал, посах, эскулап
♾️	безгранічны, бясконцасць, вечны, універсальны
♻️	перапрацоўка, сімвал перапрацоўкі, утылізацыя
⚜	Францыя, геральдычная лілея, лілея, флёр-дэ-ліс, эмблема
🔱	карабель, сімвал, трызубец, эмблема, якар
📛	бэйдж, бэйдж з імем, бірка, імя
🔰	жоўты, зялёны, навічок, пачатковец, шаўрон, японскі, японскі сімвал «пачатковец»
⭕️	вялікі круг, кола, круг, о
✅	белая, вялікая белая птушка, знак, птушка
☑️	бюлетэнь, выбарчы бюлетэнь з птушкай, выбары, галасаванне, птушка, урна
✔️	вялікая птушка, знак, птушка
✖️	знак множання, множанне, скасаванне, х
❌	знак, крыжык, множанне, скасаванне, х
❎	знак, квадрат, кнопка з крыжыкам, крыжык
➕	знак складання, матэматыка, плюс, складанне
➖	адніманне, знак аднімання, матэматыка, мінус
➗	дзяленне, знак дзялення, матэматыка
➰	пятля, сагнутая пятля, сагнуты
➿	падвойная, падвойная сагнутая пятля, пятля, сагнутая
〽️	знак, знак змены партыі, песенны, японскі, іорытэн
✳️	астэрыск, васьміканцовая, васьміканцовая зорачка, зорачка
✴️	васьміканцовая зорка, зорка
❇️	іскра
‼️	вокліч, два клічнікі, знак, клічнікі, пунктуацыя
⁉️	знак, клічнік, клічнік з пытальнікам, пунктуацыя, пытальнік
❓️	знак, пунктуацыя, пытальнік, пытанне
❔	белы пытальнік, знак, контур, пунктуацыя, пытанне
❕	белы клічнік, вокліч, знак, контур, пунктуацыя
❗️	вокліч, знак, клічнік, пунктуацыя
〰️	працяжнік, пунктуацыя, хвалісты, хвалісты працяжнік, японская
©️	аўтарскае права, значок аўтарскага права
®️	зарэгістраваны, зарэгістраваны таварны знак
™️	ТМ, знак, таварны, таварны знак
#⃣	клавіша, клавіша: #
*⃣	клавіша, клавіша: *
0⃣	клавіша, клавіша: 0
1⃣	клавіша, клавіша: 1
2⃣	клавіша, клавіша: 2
3⃣	клавіша, клавіша: 3
4⃣	клавіша, клавіша: 4
5⃣	клавіша, клавіша: 5
6⃣	клавіша, клавіша: 6
7⃣	клавіша, клавіша: 7
8⃣	клавіша, клавіша: 8
9⃣	клавіша, клавіша: 9
🔟	клавіша, клавіша: 10
🔠	верхні рэгістр, вялікі, лацінскі, літары, увод, увод лацінскіх літар верхнім рэгістрам
🔡	лацінскі, літары, малы, ніжні рэгістр, увод, увод лацінскіх літар ніжнім рэгістрам
🔢	1234, лічбы, увод, увод лічбаў
🔣	сімвалы, увод, увод сімвалаў
🔤	алфавіт, лацінскі, літары, увод, увод лацінскіх літар
🅰️	A, група, другая, значок «група крыві A», кроў
🆎	AB, AB (група крыві), група, кроў
🅱️	B, група, значок «група крыві B», кроў, трэцяя
🆑	ачыстка, кнопка, кнопка «ачысціць»
🆒	слова «файна» ў квадраце, файна
🆓	бясплатна, слова «бясплатна» ў квадраце
ℹ️	даведка, крыніца інфармацыі, інфармацыя
🆔	асоба, пасведчанне, слова «ідэнтыфікацыя» ў квадраце, ідэнтыфікацыя, ідэнтычнасць
Ⓜ️	M, кола, круг, літара, літара «M» у коле
🆕	новы, слова «новы» ў квадраце
🆖	блага, дрэнна, нічога добрага, скарачэнне «нічога добрага» ў квадраце
🅾️	0, група, значок «група крыві 0», кроў, першая
🆗	ОК, ОК у квадраце, добра
🅿️	знак, знак «паркоўка», паркоўка, паркінг, стаянка
🆘	SOS, СОС, дапамажыце, знак «SOS»
🆙	гульня, знак, новы, слова «новы ўзровень!», узровень
🆚	гульня, слова «супраць», супраць
🈁	пісьмо, японскае, ідэаграма «тут» у квадраце
🈂️	бясплатна, пісьмо, японскае, ідэаграма «сэрвіс» у квадраце
🈷	пісьмо, штомесяц, японскае, ідэаграма «месяц» у квадраце
🈶	пісьмо, японскае, ідэаграма «ў наяўнасці» ў квадраце
🈯	кірунак, кітайскае, пісьмо, японскае, ідэаграма «паказванне пальцам» у квадраце
🉐	пісьмо, японскае, ідэаграма «выгадная здзелка» ў крузе
🈹	дыскаўнт, пісьмо, японскае, ідэаграма «скідка» ў квадраце
🈚	кітайскае, няма, пісьмо, японскае, ідэаграма «адсутнасць» у квадраце
🈲	забарона, пісьмо, японскае, ідэаграма «забаронена» ў квадраце
🉑	кітайскае, пісьмо, ідэаграма «прыняць» ў крузе
🈸	запыт, заява, кітайскае, пісьмо, ідэаграма «заяўка» у квадраце
🈴	згода, кітайскае, пісьмо, японскае, ідэаграма «пагадненне» ў квадраце
🈳	кітайскае, пісьмо, японскае, ідэаграма «свабодна» ў квадраце
㊗️	віншаванні, віншую, вітанні, кітайскае, пісьмо, японскае, ідэаграма, ідэаграма «віншаванні» ў квадраце
㊙️	кітайскае, пісьмо, сакрэт, сакрэтна, японскае, ідэаграма, ідэаграма «сакрэтна» ў крузе
🈺	адкрыта, кітайскае, пісьмо, час працы, японскае, ідэаграма «працуе» ў квадраце
🈵	поўны бак, пісьмо, сто працэнтаў, японскае, ідэаграма «поўны» ў квадраце
🔴	аб’ект, геаметрычны, круг, чырвоны, чырвоны круг
🟠	аранжавы, аранжавы круг, круг
🟡	жоўты, жоўты круг, круг
🟢	зялёны, зялёны круг, круг
🔵	аб’ект, геаметрычны, круг, сіні, сіні круг
🟣	круг, фіялетавы, фіялетавы круг
🟤	карычневы, карычневы круг, круг
⚫️	аб’ект, геаметрычны, круг, чорны, чорны круг
⚪️	аб’ект, белы, белы круг, геаметрычны, круг
🟥	квадрат, чырвоны, чырвоны квадрат
🟧	аранжавы, аранжавы квадрат, квадрат
🟨	жоўты, жоўты квадрат, квадрат
🟩	зялёны, зялёны квадрат, квадрат
🟦	квадрат, сіні, сіні квадрат
🟪	квадрат, фіялетавы, фіялетавы квадрат
🟫	карычневы, карычневы квадрат, квадрат
⬛️	аб’ект, вялікі чорны квадрат, геаметрычны, квадрат
⬜️	аб’ект, вялікі белы квадрат, геаметрычны, квадрат
◼️	аб’ект, геаметрычны, квадрат, чорны сярэдні квадрат
◻️	аб’ект, белы сярэдні квадрат, геаметрычны, квадрат
◾️	аб’ект, геаметрычны, квадрат, невялікі чорны квадрат
◽️	аб’ект, геаметрычны, квадрат, невялікі белы квадрат
▪️	аб’ект, геаметрычны, квадрат, малы чорны квадрат
▫️	аб’ект, геаметрычны, квадрат, малы белы квадрат
🔶	аб’ект, вялікі аранжавы ромб, геаметрычны, ромб
🔷	аб’ект, вялікі сіні ромб, геаметрычны, ромб, сіні
🔸	аб’ект, геаметрычны, малы аранжавы ромб, ромб
🔹	аб’ект, геаметрычны, малы сіні ромб, ромб
🔺	аб’ект, геаметрычны, чырвоны, чырвоны трохвугольнік вяршыняй уверх
🔻	аб’ект, геаметрычны, чырвоны, чырвоны трохвугольнік вяршыняй уніз
💠	аб’ект, геаметрычны, кропка, ромб, ромб з кропкай
🔘	аб’ект, выбар, геаметрычны, кнопка, пераключальнік
🔳	аб’ект, белая квадратная кнопка, белы, геаметрычны, квадрат, кнопка
🔲	аб’ект, геаметрычны, квадрат, кнопка, чорная квадратная кнопка, чорны
🏁	Формула адзін, Формула-1, гонкі, клятчасты сцяг, у клетку, фініш
🚩	гольф, лунка, поле, трохвугольны сцяг
🎌	свята, скрыжаванне, скрыжаваныя сцягі, сцяг, японскі
🏴	развяванне, сцяг, чорны, чорны сцяг развяваецца
🏳️	белы, белы сцяг развяваецца, развяванне, сцяг
🏳‍🌈	вясёлка, вясёлкавы сцяг, сцяг
🏴‍☠	Вясёлы Роджар, пірат, пірацкі сцяг, разбой, скарбы
🇦🇨	сцяг, сцяг: Востраў Узнясення
🇦🇩	сцяг, сцяг: Андора
🇦🇪	сцяг, сцяг: Аб’яднаныя Арабскія Эміраты
🇦🇫	сцяг, сцяг: Афганістан
🇦🇬	сцяг, сцяг: Антыгуа і Барбуда
🇦🇮	сцяг, сцяг: Ангілья
🇦🇱	сцяг, сцяг: Албанія
🇦🇲	сцяг, сцяг: Арменія
🇦🇴	сцяг, сцяг: Ангола
🇦🇶	сцяг, сцяг: Антарктыка
🇦🇷	сцяг, сцяг: Аргенціна
🇦🇸	сцяг, сцяг: Амерыканскае Самоа
🇦🇹	сцяг, сцяг: Аўстрыя
🇦🇺	сцяг, сцяг: Аўстралія
🇦🇼	сцяг, сцяг: Аруба
🇦🇽	сцяг, сцяг: Аландскія астравы
🇦🇿	сцяг, сцяг: Азербайджан
🇧🇦	сцяг, сцяг: Боснія і Герцагавіна
🇧🇧	сцяг, сцяг: Барбадас
🇧🇩	сцяг, сцяг: Бангладэш
🇧🇪	сцяг, сцяг: Бельгія
🇧🇫	сцяг, сцяг: Буркіна-Фасо
🇧🇬	сцяг, сцяг: Балгарыя
🇧🇭	сцяг, сцяг: Бахрэйн
🇧🇮	сцяг, сцяг: Бурундзі
🇧🇯	сцяг, сцяг: Бенін
🇧🇱	сцяг, сцяг: Сен-Бартэльмі
🇧🇲	сцяг, сцяг: Бермудскія астравы
🇧🇳	сцяг, сцяг: Бруней
🇧🇴	сцяг, сцяг: Балівія
🇧🇶	сцяг, сцяг: Карыбскія Нідэрланды
🇧🇷	сцяг, сцяг: Бразілія
🇧🇸	сцяг, сцяг: Багамскія астравы
🇧🇹	сцяг, сцяг: Бутан
