😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🦠	ಅಮೀಬಾ, ಬ್ಯಾಕ್ಟೀರಿಯಾ, ವೈರಸ್, ಸೂಕ್ಷ್ಮಜೀವಿ
💐	ಪುಷ್ಪಗುಚ್ಛ, ಹೂವು
🌸	ಚೆರ್ರಿ, ಚೆರ್ರಿ ಹೂವು
💮	ಬಿಳಿ ಹೂವು, ಹೂವಿನ ಚೀಟಿ, ಹೂವು
🏵️	ಗಿಡ, ರೊಸೆಟ್
🌹	ಗುಲಾಬಿ, ಸಸ್ಯ, ಹೂ
🥀	ಬಾಡಿದ ಹೂವು, ಬಾಡುವಿಕೆ, ಹೂವು
🌺	ದಾಸವಾಳ, ಹೂವು
🌻	ಸೂರ್ಯಕಾಂತಿ, ಹೂವು
🌼	ಅರಳಿದ ಹೂವು, ಅರಳುವ ಹೂವು
🌷	ಟುಲಿಪ್, ಹೂ
🌱	ಚಿಕ್ಕ ಸಸ್ಯ, ಮೊಳಕೆ ಒಡೆಯುತ್ತಿರುವ ಸಸ್ಯ
🌲	ಮರ, ಸದಾ ಹಚ್ಚಹಸುರಾದ ಮರ, ಹಚ್ಚಹಸಿರಿನ ಮರ
🌳	ಉದುರುವ ಮರ, ಮರ
🌴	ತಾಳೆ, ತಾಳೆ ಮರ, ಪಾಮ್ ಟ್ರೀ
🌵	ಕಳ್ಳಿ, ಕ್ಯಾಕ್ಟಸ್, ಸಸ್ಯ
🌾	ಧಾನ್ಯ, ಭತ್ತದ ತೆನೆ
🌿	ಎಲೆ, ಮೂಲಿಕೆ
☘️	ಗಿಡ, ಶಾಮ್ರಾಕ್
🍀	ಎಲೆ, ನಾಲ್ಕು ಎಲೆಯ ಗರಿಕೆ
🍁	ಬಿದ್ದ ಎಲೆ, ಮ್ಯಾಪಲ್ ಲೀಫ್
🍂	ಉದುರಿದ ಎಲೆ, ಬಿದ್ದ ಎಲೆಗಳು, ಬೀಳುವ ಎಲೆಗಳು
🍃	ಗಾಳಿ ಊದುವ, ಗಾಳಿಯಲ್ಲಿ ಎಲೆ, ಗಾಳಿಯಲ್ಲಿ ತೇಲುತ್ತಿರುವ ಎಲೆ
🍇	ದ್ರಾಕ್ಷಿ, ಹಣ್ಣು
🍈	ಕರಬೂಜ, ಕಲ್ಲಂಗಡಿ, ಹಣ್ಣು
🍉	ಕಲ್ಲಂಗಡಿ, ಹಣ್ಣು
🍊	ಕಿತ್ತಳೆ, ಹಣ್ಣು
🍋	ನಿಂಬೆ, ಸಿಟ್ರಸ್‌, ಹಣ್ಣು
🍌	ಬಾಳೆ, ಬಾಳೆಹಣ್ಣು, ಹಣ್ಣು
🍍	ಅನಾನಸ್, ಹಣ್ಣು
🥭	ಉಷ್ಣವಲಯ, ಮಾವಿನ ಹಣ್ಣು, ಹಣ್ಣು
🍎	ಕೆಂಪು ಸೇಬು, ಸೇಬು
🍏	ಸೇಬು, ಹಸಿರು ಸೇಬು
🍐	ಪೇರಲೆ ಹಣ್ಣು
🍑	ಪೀಚ್ ಹಣ್ಣು
🍒	ಚೆರ್ರಿ, ಚೆರ್ರಿಗಳು, ಹಣ್ಣು
🍓	ಬೆರ್ರಿ, ಸ್ಟ್ರಾಬೆರಿ
🥝	ಆಹಾರ, ಕಿವಿ, ಕಿವಿ ಹಣ್ಣು, ಹಣ್ಣು
🍅	ಟೊಮೆಟೊ, ಟೊಮೊಟೊ, ತರಕಾರಿ
🥥	ಅಂಗೈ, ತೆಂಗಿನಕಾಯಿ, ಪಿನಾ ಕೊಲೊಡಾ
🥑	ಅವಕಾಡೋ, ಆಹಾರ, ಹಣ್ಣು
🍆	ಅಬರ್ಗಿನ್, ತರಕಾರಿ, ಬದನೆಕಾಯಿ, ಬಿಳಿಬದನೆ
🥔	ಆಲೂಗಡ್ಡೆ, ಆಹಾರ, ತರಕಾರಿ
🥕	ಆಹಾರ, ಕ್ಯಾರೆಟ್, ತರಕಾರಿ
🌽	ಜೋಳ, ಬಿಡಿಸಿರುವ ಜೋಳ, ಮೆಕ್ಕೆಜೋಳ, ಹೊಟ್ಟು
🌶️	ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ, ಮೆಣಸಿನ ಕಾಯಿ
🥒	ಆಹಾರ, ಉಪ್ಪಿನಕಾಯಿ, ತರಕಾರಿ, ಸೌತೆ
🥬	ಕಾಲೆ, ಕೋಸು, ಬಾಕ್ ಚೋ, ಲೆಟೆಸ್, ಹಸಿರಿನ ಎಲೆ
🥦	ಬ್ರೊಕೋಲಿ, ವೈಲ್ಡ್ ಕ್ಯಾಬೇಜ್
🧄	ಫ್ಲೇವರಿಂಗ್, ಬೆಳ್ಳುಳ್ಳಿ
🧅	ಈರುಳ್ಳಿ, ಫ್ಲೇವರಿಂಗ್
🍄	ಅಣಬೆ, ಟೋಡ್‌ಸ್ಟೂಲ್‌
🥜	ಆಹಾರ, ತರಕಾರಿ, ಬೀಜ, ಶೇಂಗಾ
🌰	ಚೆಸ್ಟ್ ನಟ್, ಸಸ್ಯ
🍞	ಬ್ರೆಡ್, ಬ್ರೆಡ್ ತುಂಡುಗಳು
🥐	ಆಹಾರ, ಕ್ರ್ಯೆಸಾಂತ್ ರೋಲ್, ಕ್ರ್ವಾಸಾಂತ್, ಫ್ರೆಂಚ್, ಬ್ರೆಡ್
🥖	ಆಹಾರ, ಫ್ರೆಂಚ್, ಬಗೆಟ್, ಬಗೆಟ್ ಬ್ರೆಡ್, ಬ್ರೆಡ್
🥨	ತಿರುಚಿದ, ಪ್ರೆಟ್ಜೆಲ್
🥯	ಬೇಕರಿ, ಬೇಗಲ್, ಸ್ಕೆಮರ್
🥞	ಆಹಾರ, ಕ್ರೆಪೆ, ಪಾನ್‌ಕೇಕ್‌, ಪಾನ್‌ಕೇಕ್‌ಗಳು
🧇	ಕಬ್ಬಿಣ, ನಿರ್ಣಯಿಸದ, ವ್ಯಾಫಲ್
🧀	ಚೀಸ್, ಚೀಸ್ ವೆಡ್ಜ್
🍖	ಮಾಂಸ, ಮೂಳೆ ಮಾಂಸ, ಮೂಳೆ ಮೇಲಿನ ಮಾಂಸ
🍗	ಕೋಳಿ ಕಾಲು, ಕೋಳಿ ಮಾಂಸ
🥩	ಚೋಪ್, ಪೋರ್ಕ್‌ಚೋಪ್, ಮಾಂಸದ ತುಂಡು, ಲ್ಯಾಂಬ್‌ಚೋಪ್, ಸ್ಟೀಕ್
🥓	ಆಹಾರ, ಬೆಕಾನ್, ಮಾಂಸ
🍔	ಬರ್ಗರ್, ಹ್ಯಾಂಬರ್ಗರ್
🍟	ಫ್ರೆಂಚ್ ಫ್ರೈ, ಫ್ರೈಸ್
🍕	ಪಿಜ್ಜಾ, ಪಿಜ್ಜಾ ಸ್ಲೈಸ್
🌭	ಫ್ರಾಂಕ್‌ಫರ್ಟರ್, ಹಾಟ್ ಡಾಗ್
🥪	ಬ್ರೆಡ್, ಸ್ಯಾಂಡ್‌ವಿಚ್
🌮	ಟ್ಯಾಕೊ, ಮೆಕ್ಸಿಕನ್
🌯	ಬುರಿಟೊ, ಮೆಕ್ಸಿಕನ್
🥙	ಆಹಾರ, ಕಬಾಬ್, ಗೈರೋ, ತುಂಬಿದ ಬ್ರೆಡ್, ಫಲಾಫೆಲ್, ಬ್ರೆಡ್
🧆	ಚಿಕ್‌ಪೀ, ಫಲಾಫೆಲ್, ಮೀಟ್‌ಬಾಲ್
🥚	ಆಹಾರ, ಮೊಟ್ಟೆ
🍳	ಅಡುಗೆ, ಹುರಿಯುವ ಪ್ಯಾನ್
🥘	ಆಹಾರ, ಕ್ಯಾಸ್‌ರೋಲ್, ಪಾನ್, ಪಾಯೆಲ್ಲಾ, ಶಾಲೋ, ಶಾಲೋ ಪಾನ್ ಆಹಾರ
🍲	ಮಡಿಕೆ, ಮಡಿಕೆ ಆಹಾರ, ಸ್ಟೀವ್
🥣	ಉಪಹಾರ, ಗಂಜಿ, ಧಾನ್ಯ, ಸ್ಪೂನ್‌ನೊಂದಿಗೆ ಬೌಲ್
🥗	ಆಹಾರ, ತರಕಾರಿ, ತರಕಾರಿ ಸಲಾಡ್, ಸಲಾಡ್
🍿	ಜೋಳದ ಅರಳು, ಪಾಪ್‌ಕಾರ್ನ್
🧈	ಡೈರಿ, ಬೆಣ್ಣೆ
🧂	ಉಪ್ಪು, ಕಾಂಡಿಮೆಂಟ್, ಶೇಕರ್
🥫	ಕ್ಯಾನ್, ಕ್ಯಾನ್ ಆಹಾರ
🍱	ಬೆಂಟೊ, ಬೆಂಟೊ ಬಾಕ್ಸ್
🍘	ಅಕ್ಕಿ, ಅಕ್ಕಿ ಕ್ರ್ಯಾಕರ್, ಒಡೆದ ಅಕ್ಕಿ
🍙	ಅನ್ನದ ಉಂಡೆ, ಒನಿಗ್ರೀ
🍚	ಅನ್ನ, ಬೇಯಿಸಿದ ಅಕ್ಕಿ
🍛	ಮೇಲೋಗರ, ಮೇಲೋಗರ ಅನ್ನ, ಮೇಲೋಗರ ಮತ್ತು ಅನ್ನ
🍜	ಆವಿಯಲ್ಲಿ ಬೇಯಿಸುವ ಬಟ್ಟಲು, ನೂಡಲ್ಸ್‌ನ ಬಟ್ಟಲು, ರಾಮೆನ್
🍝	ಪಾಸ್ತಾ, ಸ್ಪಾಗೆಟ್ಟಿ
🍠	ಗೆಣಸು, ಹುರಿದ ಆಲೂಗಡ್ಡೆ, ಹುರಿದ ಗೆಣಸು
🍢	ಓಡನ್, ಕಡ್ಡಿ, ಸಮುದ್ರಾಹಾರ
🍣	ಚಿತ್ರಾನ್ನ
🍤	ಸೀಗಡಿ, ಹುರಿದ ಸೀಗಡಿ
🍥	ಮೀನಿನ ಕೇಕ್, ಸುಳಿಯ ಮೀನಿನ ಕೇಕ್
🥮	ಚಂದ್ರಾಕಾರದ ಕೇಕ್, ಯಿಬಿಂಗ್, ಶರತ್ಕಾಲ, ಹಬ್ಬ
🍡	ಕಟ್ಟಿಗೆಯ ಮೋಚಿ, ಡ್ಯಾಂಗೊ, ಮೋಚಿ, ಮೋಚ್ ಬಾಲ್ಸ್
🥟	ಗ್ಯೋಜಾ, ಜಿಯಾಜಿ, ಡಂಪ್ಲಿಂಗ್, ಪಾಟ್‌ಸ್ಟಿಕರ್, ಪಿರೋಗಿ
🥠	ಪ್ರೊಫೆಸಿ, ಫಾರ್ಚ್ಯೂನ್ ಕುಕೀ
🥡	ಓಯೆಸ್ಟರ್ ಪೆಯ್ಲ್, ಟೇಕ್‌ಔಟ್ ಬಾಕ್ಸ್
🦀	ಏಡಿ, ಕರ್ಕ
🦞	ಪಂಜಗಳು, ಬಿಸ್ಕ್, ಲೋಬ್‌ಸ್ಟರ್, ಸಮುದ್ರಾಹಾರ
🦐	ಆಹಾರ, ಚಿಕ್ಕದು, ಶೆಲ್ ಮೀನು, ಶ್ರಿಂಪ್
🦑	ಆಹಾರ, ಮೊಲುಸ್ಕ್, ಸ್ಕ್ವಿಡ್
🦪	ಡೈವಿಂಗ್, ಮುತ್ತು, ಸಿಂಪಿ
🍦	ಐಸ್ ಕ್ರೀಮ್, ಮೆತ್ತಗಿನ ಐಸ್ ಕ್ರೀಮ್, ಸಾಫ್ಟ್ ಐಸ್ ಕ್ರೀಮ್
🍧	ಐಸ್, ಕತ್ತರಿಸಿದ ಐಸ್
🍨	ಐಸ್, ಐಸ್ ಕ್ರೀಮ್
🍩	ಡೋನಟ್, ಮಿಠಾಯಿ
🍪	ಕುಕೀ, ಸಿಹಿ, ಸಿಹಿತಿಂಡಿ
🎂	ಜನ್ಮದಿನ, ಜನ್ಮದಿನದ ಕೇಕ್
🍰	ಚಿಕ್ಕ ಕೇಕ್, ಶಾರ್ಟ್‌ಕೇಕ್, ಸ್ಲೈಸ್ ಮಾಡಿದ ಕೇಕ್
🧁	ಕಪ್ ಕೇಕ್, ಬೇಕರಿ, ಸಿಹಿ
🥧	ಪೇಸ್ಟ್ರಿ, ಪೈ, ಫಿಲಿಂಗ್
🍫	ಚಾಕೊಲೇಟ್ ಬಾರ್, ಚಾಕೋಲೇಟ್
🍬	ಕ್ಯಾಂಡಿ, ಸಿಹಿ, ಸಿಹಿತಿಂಡಿ
🍭	ಕ್ಯಾಂಡಿ, ಲಾಲಿಪಪ್
🍮	ಕಸ್ಟರ್ಡ್, ಪುಡ್ಡಿಂಗ್
🍯	ಜೇನುತುಪ್ಪ, ಜೇನುತುಪ್ಪದ ಮಡಿಕೆ, ಹನಿಪಾಟ್
🍼	ಬೇಬಿ ಬಾಟಲ್, ಹಾಲು
🥛	ಒಂದು ಲೋಟ ಹಾಲು, ಕುಡಿ, ಲೋಟ, ಹಾಲು
☕️	ಕಾಫಿ, ಪಾನೀಯ, ಬಿಸಿ ಪಾನೀಯ
🍵	ಚಹಾಕಪ್, ಚಹಾದ ಕಪ್, ಹ್ಯಾಂಡ್‌ಲ್ ಇಲ್ಲದ ಚಹಾ ಕಪ್
🍶	ಅಕ್ಕಿ ಮಧ್ಯದ ಬಾಟಲ್ ಮತ್ತು ಕಪ್, ಜಪಾನೀಯರ ಅಕ್ಕಿ ಮಧ್ಯ, ಸೇಕ್
🍾	ಪಾಪ್ಪಿಂಗ್ ಕಾರ್ಕ್‌ನ ಬಾಟಲ್, ಬಾಟಲ್, ಬಾರ್
🍷	ವೈನ್, ವೈನ್ ಗ್ಲಾಸ್, ವೈನ್‌‌ನ ಲೋಟ
🍸️	ಕಾಕ್‌ಟೇಲ್, ಕಾಕ್‌ಟೇಲ್ ಗ್ಲಾಸ್, ಕಾಕ್‌ಟೇಲ್ ಲೋಟ
🍹	ಉಷ್ಣವಲಯದ ಪಾನೀಯ, ಪಾನೀಯ
🍺	ಬಿಯರ್, ಬಿಯರ್‌ ಮಗ್‌
🍻	ಖಣಖಣಿಸುತ್ತಿರುವ ಬಿಯರ್‌ ಮಗ್‌ಗಳು, ಬಿಯರ್, ಬಿಯರ್ ಮಗ್‌ಗಳು
🥂	ಕುಡಿ, ಖಣಖಣಿಸು, ಖಣಖಣಿಸುವ ಗ್ಲಾಸುಗಳು, ಗ್ಲಾಸು, ಸಂಭ್ರಮಿಸು
🥃	ಗ್ಲಾಸು, ಟಂಬ್ಲರ್, ಟಂಬ್ಲರ್ ಗ್ಲಾಸುಗಳು, ಪೆಗ್, ವಿಸ್ಕಿ, ಸರಾಯಿ
🥤	ಜೂಸ್, ಸೋಡಾ, ಸ್ಟ್ರಾ ಜೊತೆಗೆ ಕಪ್
🧃	ಜ್ಯೂಸ್ ಬಾಕ್ಸ್, ಪಾನೀಯದ ಬಾಕ್ಸ್
🧉	ಪಾನೀಯ, ಮೇಟ್
🧊	ಐಸ್ ಕ್ಯೂಬ್, ಐಸ್‌ಬರ್ಗ್, ತಣ್ಣಗೆ
🥢	ಚೋಪ್‌ಸ್ಟಿಕ್ಸ್, ಹಶಿ
🍽️	ಅಡಿಗೆ, ಊಟ, ಪ್ಲೇಟ್‌ನಲ್ಲಿ ಫೋರ್ಕ್ ಮತ್ತು ಚಾಕು
🍴	ಪೋರ್ಕ್ ಮತ್ತು ಚಾಕು, ಫೋರ್ಕ್ ಮತ್ತು ಚಾಕು
🥄	ಚಮಚ, ಟೇಬಲ್ ಮೇಲಿರುವುದು
🔪	ಅಡುಗೆ ಚಾಕು, ಅಡುಗೆಮನೆ ಚಾಕು, ಚಾಕು
🏺	ಅಂಫೋರಾ, ಆಯುಧ, ಜಗ್
🌍	ಜಗತ್ತು, ಭೂಮಿ, ಯೂರೋಪ್-ಆಫ್ರಿಕಾ ತೋರಿಸುತ್ತಿರುವ ಜಗತ್ತು
🌎️	ಅಮೆರಿಕ ತೋರಿಸುತ್ತಿರುವ ಜಗತ್ತು, ಗೋಳ, ಭೂಮಿ
🌏	ಏಷಿಯಾ-ಆಸ್ಟ್ರೇಲಿಯಾ ತೋರಿಸುತ್ತಿರುವ ಜಗತ್ತು, ಗೋಳ, ಭೂಮಿ
🌐	ಜಗತ್ತು, ಮೆರಿಡಿಯನ್‌ಗಳೊಂದಿಗೆ ಜಗತ್ತು
🗺️	ನಕ್ಷೆ, ಪ್ರಪಂಚ, ಪ್ರಪಂಚ ನಕ್ಷೆ
🗾	ಜಪಾನ್ ನಕ್ಷೆ, ನಕ್ಷೆ
🧭	ಓರಿಯಂಟಿರಿಂಗ್, ದಿಕ್ಸೂಚಿ, ನ್ಯಾವಿಗೇಶನ್, ಮ್ಯಾಗ್ನೆಟಿಕ್
🏔️	ಪರ್ವತ, ಹಿಮ, ಹಿಮ ಆವೃತ ಪರ್ವತ
⛰️	ಪರ್ವತ
🌋	ಜ್ವಾಲಾಮುಖಿ, ಜ್ವಾಲಾಮುಖಿ ಸ್ಪೋಟ
🗻	ಪರ್ವತ, ಮೌಂಟ್ ಫುಜಿ
🏕️	ಕ್ಯಾಂಪಿಂಗ್, ಶಿಬಿರಗಳು
🏖️	ಕೊಡೆ, ಕೊಡೆಯೊಂದಿಗೆ ಬೀಚ್, ಬೀಚ್
🏜️	ಮರಭೂಮಿ
🏝️	ದ್ವೀಪ, ಮರಳುಗಾಡು, ಮರಳುಗಾಡು ದ್ವೀಪ
🏞️	ಉದ್ಯಾನ, ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನ
🏟️	ಆಟದ ಬಯಲು, ಕ್ರೀಡಾಂಗಣ
🏛️	ಕಟ್ಟಡ, ಕ್ಲಾಸಿಕಲ್, ಮಾದರಿ ಕಟ್ಟಡ
🏗️	ಕಟ್ಟಡ, ಕಟ್ಟಡ ನಿರ್ಮಾಣ
🧱	ಇಟ್ಟಿಗೆ, ಇಟ್ಟಿಗೆಗಳು, ಗಾರೆ, ಗೋಡೆ, ಜೇಡಿಮಣ್ಣು
🏘️	ಕಟ್ಟಡ, ಮನೆ, ಮನೆ ಕಟ್ಟಡಗಳು
🏚️	ಕಟ್ಟಡ, ಡೆರ್ಲಿಕ್ಟ್ ಮನೆ ಕಟ್ಟಡ, ನಿವಾಸ
🏠️	ಕಟ್ಟಡ, ಮನೆ, ಮನೆ ಕಟ್ಟಡ
🏡	ಉದ್ಯಾನದೊಂದಿಗೆ ಮನೆ, ಮನೆ
🏢	ಕಛೇರಿ, ಕಛೇರಿ ಕಟ್ಟಡ
🏣	ಅಂಚೆ ಕಛೇರಿ, ಚಾಪನೀಸ್ ಅಂಚೆ ಕಛೇರಿ, ಜಪಾನೀಸ್ ಅಂಚೆ ಕಛೇರಿ, ಜಪಾನೀಸ್ ಪೋಸ್ಟ್ ಆಫೀಸ್
🏤	ಅಂಚೆ ಕಛೇರಿ, ಯುರೋಪಿಯನ್ ಪೋಸ್ಟ್ ಆಫೀಸ್
🏥	ಆಸ್ಪತ್ರೆ, ಕಟ್ಟಡ
🏦	ಕಟ್ಟಡ, ಬ್ಯಾಂಕ್
🏨	ಕಟ್ಟಡ, ಹೋಟೆಲ್
🏩	ಪ್ರೀತಿ, ಪ್ರೀತಿಯ ಹೋಟೆಲ್
🏪	ಅಂಗಡಿ ಮಳಿಗೆ, ಅನುಕೂಲಕರ ಅಂಗಡಿ
🏫	ಶಾಲಾ ಕಟ್ಟಡ, ಶಾಲೆ
🏬	ಅಂಗಡಿ ಮಳಿಗೆ, ಡಿಪಾರ್ಟ್‌ಮೆಂಟಲ್ ಸ್ಟೋರ್, ಸರಕಿನ ಮಳಿಗೆ
🏭️	ಕಟ್ಟಡ, ಕಾರ್ಖಾನೆ
🏯	ಕ್ಯಾಸ್ಟಲ್, ಜಪಾನೀಸ್ ಕ್ಯಾಸ್ಟಲ್, ಜಾಪನೀಸ್ ಕ್ಯಾಸ್ಟಲ್
🏰	ಕ್ಯಾಸ್ಟಲ್, ಯುರೋಪಿಯನ್ ಕ್ಯಾಸ್ಟಲ್
💒	ವಿವಾಹ, ವಿವಾಹ ದೇಗುಲ
🗼	ಟೋಕಿಯೊ, ಟೋಕಿಯೊ ಟವರ್
🗽	ಪ್ರತಿಮೆ, ಲಿಬರ್ಟಿ ಪ್ರತಿಮೆ
⛪️	ಕ್ರಿಶ್ಚಿಯನ್, ಚರ್ಚ್, ಧರ್ಮ, ಶಿಲುಬೆ
🕌	ಇಸ್ಲಾಂ, ಧರ್ಮ, ಮಸೀದಿ
🛕	ದೇವಾಲಯ, ಹಿಂದೂ, ಹಿಂದೂ ದೇವಾಲಯ
🕍	ಜುವಿಶ್, ಮಂದಿರ, ಸಿನಗಾಗ್
⛩️	ಧರ್ಮ, ಶಿಂಟೊ, ಶಿಂಟೊ ದೇವಾಲಯ
🕋	ಇಸ್ಲಾಂ, ಕಾಬಾ, ಮುಸ್ಲಿಂ
⛲️	ಕಾರಂಜಿ, ನೀರು ಚಿಮ್ಮುವ ಕುಂಡ
⛺️	ಕ್ಯಾಂಪಿಂಗ್, ಟೆಂಟ್
🌁	ಮಂಜಿನ, ಮಂಜು
🌃	ನಕ್ಷತ್ರ ತುಂಬಿದ ರಾತ್ರಿ, ನಕ್ಷತ್ರಗಳು
🏙️	ನಗರ, ನಗರದೃಶ್ಯ, ನಗರಸ್ಕೇಪ್
🌄	ಪರ್ವತಗಳ ಮೇಲೆ ಸೂರ್ಯೋದಯ, ಬೆಳಗಿನ ಸೂರ್ಯ, ಸೂರ್ಯೋದಯ
🌅	ಬೆಳಗಿನ ಸೂರ್ಯ, ಸೂರ್ಯೋದಯ
🌆	ಮುಸ್ಸಂಜೆ, ಮುಸ್ಸಂಜೆಯ ನಗರ, ಮುಸ್ಸಂಜೆಯಲ್ಲಿ ನಗರದ ದೃಶ್ಯ, ಸೂರ್ಯಾಸ್ತದಲ್ಲಿ ಕಟ್ಟಡಗಳದೃಶ್ಯ
🌇	ಮುಸ್ಸಂಜೆಯ, ಸೂರ್ಯಾಸ್ತ
🌉	ರಾತ್ರಿಯ ಸೇತುವೆ, ರಾತ್ರಿಯಲ್ಲಿ ಸೇತುವೆ
♨️	ಆವಿ, ಬಿಸಿ, ಬಿಸಿನೀರಿನ ಬುಗ್ಗೆಗಳು, ಹಾಟ್ ಸ್ಪ್ರಿಂಗ್‌ಗಳು
🎠	ಏರಿಳಿಕೆ, ಕುದುರೆ, ಕ್ಯರೋಸೆಲ್ ಕುದುರೆ
🎡	ಚಕ್ರ, ಫೆರಿಸ್, ಫೆರಿಸ್ ವೀಲ್, ಫೆರ್ರೀಸ್ ವ್ಹೀಲ್, ಮನರಂಜನಾ ಪಾರ್ಕ್
🎢	ಮನರಂಜನಾ ಪಾರ್ಕ್, ರೋಲರ್ ಕೋಸ್ಟರ್
💈	ಕ್ಷೌರಿಕ ಅಂಗಡಿ, ಕ್ಷೌರಿಕ ಕಂಬ, ಬಾರ್ಬರ್ ಪೋಲ್
🎪	ಸರ್ಕಸ್, ಸರ್ಕಸ್ ಟೆಂಟ್
🚂	ಉಗಿಬಂಡಿ ಎಂಜಿನ್, ರೈಲು, ಲೋಕೊಮೋಟಿವ್
🚃	ರೈಲು, ರೈಲು ಬೋಗಿ, ವಿದ್ಯುತ್ ರೈಲು
🚄	ವೇಗದ ರೈಲು, ವೇಗದ ರೈಲ್ವೆ, ಶಿಂಕಾನ್ಸೆನ್
🚅	ಬುಲೆಟ್, ಬುಲೆಟ್ ಮೂಗಿನ ವೇಗದ ರೈಲು, ಬುಲೆಟ್ ರೈಲು, ರೈಲು, ರೈಲ್ವೆ, ವೇಗ
🚆	ರೈಲು, ರೈಲ್ವೇ
🚇️	ಮೆಟ್ರೋ, ಸುರಂಗ
🚈	ರೈಲು, ಲಘು ರೈಲು
🚉	ನಿಲ್ದಾಣ, ರೈಲು
🚊	ಟ್ರಾಮ್, ಟ್ರಾಲಿಬಸ್, ವಾಹನ
🚝	ಮೋನೊರೈಲು, ಮೋನೋರೈಲ್
🚞	ಪರ್ವತ ಕೇಬಲ್ ಕಾರ್, ಪರ್ವತ ರೈಲುಮಾರ್ಗ
🚋	ಟ್ರಾಮ್, ಟ್ರಾಮ್ ಕಾರು, ಟ್ರಾಮ್ ಬೋಗಿ
🚌	ಬಸ್, ವಾಹನ
🚍️	ಬಸ್, ಮುಂದೆ ಬರುತ್ತಿರುವ ಬಸ್, ಮುನ್ನುಗ್ಗಿ ಬರುವ ಬಸ್
🚎	ಟ್ರಾಲಿ ಬಸ್, ಬಸ್
🚐	ಬಸ್, ಮಿನಿ ಬಸ್, ಮಿನಿಬಸ್
🚑️	ಆಂಬುಲೆನ್ಸ್, ವಾಹನ
🚒	ಅಗ್ನಿಶಾಮಕ ಟ್ರಕ್, ಅಗ್ನಿಶಾಮಕ ದಳ
🚓	ಆರಕ್ಷಕ ಕಾರು, ಗಸ್ತು ಕಾರು, ಪೊಲೀಸ್ ಕಾರು
🚔️	ಆರಕ್ಷಕ ಕಾರು, ಮುಂಂದೆ ಬರುತ್ತಿರುವ ಪೊಲೀಸ್ ಕಾರು, ಮುನ್ನುಗ್ಗಿ ಬರುವ ಆರಕ್ಷಕ ಕಾರು
🚕	ಟ್ಯಾಕ್ಸಿ, ವಾಹನ
🚖	ಟ್ಯಾಕ್ಸಿ, ಮುಂದೆ ಬರುತ್ತಿರುವ ಟ್ಯಾಕ್ಸಿ, ಮುನ್ನುಗ್ಗಿ ಬರುವ ಟ್ಯಾಕ್ಸಿ
🚗	ಆಟೊಮೊಬೈಲ್, ಕಾರು, ವಾಹನ
🚘️	ಮುಂದೆ ಬರುತ್ತಿರುವ ಆಟೊಮೊಬೈಲ್, ಮುನ್ನುಗ್ಗಿ ಬರುವ ಕಾರು, ಮುನ್ನುಗ್ಗಿ ಬರುವ ವಾಹನ
🚙	ಕ್ರೀಡಾ ಯುಟಿಲಿಟಿ ವಾಹನ, ಕ್ರೀಡಾ ಸೌಲಭ್ಯ, ಮನರಂಜನೆ, ಮನರಂಜನೆ ವಾಹನ
🚚	ಟ್ರಕ್, ಡೆಲಿವರಿ ಟ್ರಕ್
🚛	ಅರ್ಧ, ಆರ್ಟಿಕ್ಯುಲೇಟೆಡ್ ಲಾರಿ, ಲಾರಿ
🚜	ಟ್ರಾಕ್ಟರ್, ಟ್ರ್ಯಾಕ್ಟರ್, ವಾಹನ
🏎️	ಕಾರು, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕಾರು
🏍️	ಮೋಟರ್ ಸೈಕಲ್, ಮೋಟಾರು, ರೇಸಿಂಗ್, ಸೈಕಲ್
🛵	ಮೋಟಾರು, ಮೋಟಾರು ಸ್ಕೂಟರ್, ಸ್ಕೂಟರ್
🦽	ಪ್ರವೇಶಿಸುವಿಕೆ, ಸಾಮಾನ್ಯ ಗಾಲಿಕುರ್ಚಿ
🦼	ಪ್ರವೇಶಿಸುವಿಕೆ, ಮೋಟರ್ ಹೊಂದಿದ ಗಾಲಿಕುರ್ಚಿ
🛺	ಆಟೋ ರಿಕ್ಷಾ, ಟಕ್ ಟಕ್
🚲️	ಬೈಕ್, ಬೈಸಿಕಲ್
🛴	ಕಿಕ್, ಕಿಕ್ ಸ್ಕೂಟರ್, ಸ್ಕೂಟರ್
🛹	ಬೋರ್ಡ್, ಸ್ಕೇಟ್‌ಬೋರ್ಡ್
🚏	ನಿಲುಗಡೆ, ಬಸ್ ನಿಲ್ದಾಣ
🛣️	ಮೋಟರ್ ಹಾದಿ, ರಸ್ತೆ, ಹೈವೇ
🛤️	ರೈಲು, ರೈಲುಹಾದಿ, ರೈಲ್ವೆ
🛢️	ಎಣ್ಣೆ, ಡ್ರಮ್, ತೈಲ ಡ್ರಮ್
⛽️	ಇಂಧನ ಪಂಪ್, ಇಂಧನ ಪಂಪ್‌ಗಳು, ಗ್ಯಾಸ್ ಸ್ಟೇಶನ್
