😀	față, față încântată, încântare
👩🏼‍🤝‍👩🏻	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑deschis al pielii, ton deschis al pielii, mână, ton deschis al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👭🏼	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑deschis al pielii, mână, ton semi‑deschis al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👩🏻	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton mediu al pielii, ton deschis al pielii, mână, ton deschis al pielii, ton mediu al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👩🏼	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton mediu al pielii, ton semi‑deschis al pielii, mână, ton mediu al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👭🏽	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton mediu al pielii, mână, ton mediu al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👩🏻	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑închis al pielii, ton deschis al pielii, mână, ton deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👩🏼	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑închis al pielii, ton semi‑deschis al pielii, mână, ton semi‑deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👩🏽	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑închis al pielii, ton mediu al pielii, mână, ton mediu al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👭🏾	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton semi‑închis al pielii, mână, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👩🏻	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton închis al pielii, ton deschis al pielii, mână, ton deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👩🏼	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton închis al pielii, ton semi‑deschis al pielii, mână, ton semi‑deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👩🏽	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton închis al pielii, ton mediu al pielii, mână, ton mediu al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👩🏾	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton închis al pielii, ton semi‑închis al pielii, mână, ton semi‑închis al pielii, ton închis al pielii, ține, ținându-se de mână
👭🏿	cuplu, femei, femei ținându-se de mână, femei ținându-se de mână: ton închis al pielii, mână, ton închis al pielii, ține, ținându-se de mână
👫	bărbat, bărbat și femeie ținându-se de mână, cuplu, femeie, mână, ține, ținându-se de mână
👫🏻	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ține, ținându-se de mână
👩🏻‍🤝‍👨🏼	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton deschis al pielii, ton semi‑deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👩🏻‍🤝‍👨🏽	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton deschis al pielii, ton mediu al pielii, cuplu, femeie, mână, ton deschis al pielii, ton mediu al pielii, ține, ținându-se de mână
👩🏻‍🤝‍👨🏾	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton deschis al pielii, ton semi‑închis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏻‍🤝‍👨🏿	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton deschis al pielii, ton închis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏼‍🤝‍👨🏻	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑deschis al pielii, ton deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👫🏼	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑deschis al pielii, cuplu, femeie, mână, ton semi‑deschis al pielii, ține, ținându-se de mână
👩🏼‍🤝‍👨🏽	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑deschis al pielii, ton mediu al pielii, cuplu, femeie, mână, ton mediu al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👩🏼‍🤝‍👨🏾	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑deschis al pielii, ton semi‑închis al pielii, cuplu, femeie, mână, ton semi‑deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏼‍🤝‍👨🏿	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑deschis al pielii, ton închis al pielii, cuplu, femeie, mână, ton semi‑deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👨🏻	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton mediu al pielii, ton deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton mediu al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👨🏼	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton mediu al pielii, ton semi‑deschis al pielii, cuplu, femeie, mână, ton mediu al pielii, ton semi‑deschis al pielii, ține, ținându-se de mână
👫🏽	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton mediu al pielii, cuplu, femeie, mână, ton mediu al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👨🏾	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton mediu al pielii, ton semi‑închis al pielii, cuplu, femeie, mână, ton mediu al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏽‍🤝‍👨🏿	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton mediu al pielii, ton închis al pielii, cuplu, femeie, mână, ton mediu al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👨🏻	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑închis al pielii, ton deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👨🏼	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑închis al pielii, ton semi‑deschis al pielii, cuplu, femeie, mână, ton semi‑deschis al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👨🏽	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑închis al pielii, ton mediu al pielii, cuplu, femeie, mână, ton mediu al pielii, ton semi‑închis al pielii, ține, ținându-se de mână
👫🏾	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑închis al pielii, cuplu, femeie, mână, ton semi‑închis al pielii, ține, ținându-se de mână
👩🏾‍🤝‍👨🏿	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton semi‑închis al pielii, ton închis al pielii, cuplu, femeie, mână, ton semi‑închis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👨🏻	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton închis al pielii, ton deschis al pielii, cuplu, femeie, mână, ton deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👨🏼	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton închis al pielii, ton semi‑deschis al pielii, cuplu, femeie, mână, ton semi‑deschis al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👨🏽	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton închis al pielii, ton mediu al pielii, cuplu, femeie, mână, ton mediu al pielii, ton închis al pielii, ține, ținându-se de mână
👩🏿‍🤝‍👨🏾	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton închis al pielii, ton semi‑închis al pielii, cuplu, femeie, mână, ton semi‑închis al pielii, ton închis al pielii, ține, ținându-se de mână
👫🏿	bărbat, bărbat și femeie ținându-se de mână, bărbat și femeie ținându-se de mână: ton închis al pielii, cuplu, femeie, mână, ton închis al pielii, ține, ținându-se de mână
👬	Gemeni, bărbat, bărbați ținându-se de mână, cuplu, doi bărbați ținându-se de mână, zodiac
👬🏻	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton deschis al pielii, zodiac
👨🏼‍🤝‍👨🏻	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑deschis al pielii, ton deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton deschis al pielii, ton semi‑deschis al pielii, zodiac
👬🏼	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton semi‑deschis al pielii, zodiac
👨🏽‍🤝‍👨🏻	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton mediu al pielii, ton deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton deschis al pielii, ton mediu al pielii, zodiac
👨🏽‍🤝‍👨🏼	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton mediu al pielii, ton semi‑deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton mediu al pielii, ton semi‑deschis al pielii, zodiac
👬🏽	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton mediu al pielii, cuplu, doi bărbați ținându-se de mână, ton mediu al pielii, zodiac
👨🏾‍🤝‍👨🏻	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑închis al pielii, ton deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton deschis al pielii, ton semi‑închis al pielii, zodiac
👨🏾‍🤝‍👨🏼	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑închis al pielii, ton semi‑deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton semi‑deschis al pielii, ton semi‑închis al pielii, zodiac
👨🏾‍🤝‍👨🏽	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑închis al pielii, ton mediu al pielii, cuplu, doi bărbați ținându-se de mână, ton mediu al pielii, ton semi‑închis al pielii, zodiac
👬🏾	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton semi‑închis al pielii, cuplu, doi bărbați ținându-se de mână, ton semi‑închis al pielii, zodiac
👨🏿‍🤝‍👨🏻	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton închis al pielii, ton deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton deschis al pielii, ton închis al pielii, zodiac
👨🏿‍🤝‍👨🏼	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton închis al pielii, ton semi‑deschis al pielii, cuplu, doi bărbați ținându-se de mână, ton semi‑deschis al pielii, ton închis al pielii, zodiac
👨🏿‍🤝‍👨🏽	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton închis al pielii, ton mediu al pielii, cuplu, doi bărbați ținându-se de mână, ton mediu al pielii, ton închis al pielii, zodiac
👨🏿‍🤝‍👨🏾	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton închis al pielii, ton semi‑închis al pielii, cuplu, doi bărbați ținându-se de mână, ton semi‑închis al pielii, ton închis al pielii, zodiac
👬🏿	Gemeni, bărbat, bărbați ținându-se de mână, bărbați ținându-se de mână: ton închis al pielii, cuplu, doi bărbați ținându-se de mână, ton închis al pielii, zodiac
💏	cuplu, iubire, sărut
👩‍❤‍💋‍👨	bărbat, cuplu, femeie, iubire, sărut, sărut: femeie, bărbat
👨‍❤‍💋‍👨	bărbat, cuplu, iubire, sărut, sărut: bărbat, bărbat
👩‍❤‍💋‍👩	cuplu, femeie, iubire, sărut, sărut: femeie, femeie
💑	cuplu, cuplu cu inimă, dragoste, iubire
👩‍❤‍👨	bărbat, cuplu, cuplu cu inimă, cuplu cu inimă: femeie, bărbat, dragoste, femeie, iubire
👨‍❤‍👨	bărbat, cuplu, cuplu cu inimă, cuplu cu inimă: bărbat, bărbat, dragoste, iubire
👩‍❤‍👩	cuplu, cuplu cu inimă, cuplu cu inimă: femeie, femeie, dragoste, femeie, iubire
👪️	familie
👨‍👩‍👦	băiat, bărbat, familie, familie: bărbat, femeie, băiat, femeie
👨‍👩‍👧	bărbat, familie, familie: bărbat, femeie, fată, fată, femeie
👨‍👩‍👧‍👦	băiat, bărbat, familie, familie: bărbat, femeie, fată, băiat, fată, femeie
👨‍👩‍👦‍👦	băiat, bărbat, familie, familie: bărbat, femeie, băiat, băiat, femeie
👨‍👩‍👧‍👧	bărbat, familie, familie: bărbat, femeie, fată, fată, fată, femeie
👨‍👨‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, băiat
👨‍👨‍👧	bărbat, familie, familie: bărbat, bărbat, fată, fată
👨‍👨‍👧‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, fată, băiat, fată
👨‍👨‍👦‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, băiat, băiat
👨‍👨‍👧‍👧	bărbat, familie, familie: bărbat, bărbat, fată, fată, fată
👩‍👩‍👦	băiat, familie, familie: femeie, femeie, băiat, femeie
👩‍👩‍👧	familie, familie: femeie, femeie, fată, fată, femeie
👩‍👩‍👧‍👦	băiat, familie, familie: femeie, femeie, fată, băiat, fată, femeie
👩‍👩‍👦‍👦	băiat, familie, familie: femeie, femeie, băiat, băiat, femeie
👩‍👩‍👧‍👧	familie, familie: femeie, femeie, fată, fată, fată, femeie
👨‍👦	băiat, bărbat, familie, familie: bărbat, băiat
👨‍👦‍👦	băiat, bărbat, familie, familie: bărbat, băiat, băiat
👨‍👧	bărbat, familie, familie: bărbat, fată, fată
👨‍👧‍👦	băiat, bărbat, familie, familie: bărbat, fată, băiat, fată
👨‍👧‍👧	bărbat, familie, familie: bărbat, fată, fată, fată
👩‍👦	băiat, familie, familie: femeie, băiat, femeie
👩‍👦‍👦	băiat, familie, familie: femeie, băiat, băiat, femeie
👩‍👧	familie, familie: femeie, fată, fată, femeie
👩‍👧‍👦	băiat, familie, familie: femeie, fată, băiat, fată, femeie
👩‍👧‍👧	familie, familie: femeie, fată, fată, fată, femeie
🗣️	cap, cap vorbitor, față, profil, siluetă, vorbi, vorbire, vorbitor
👤	bust, siluetă, siluetă bust
👥	bust, siluete busturi, siluetă
👣	talpă, urme de pași, urmă
🦰	păr roșcat, roșcat, roșcată
🦱	afro, bucle, creț, cârlionți, păr creț
🦳	alb, bătrân, grizonat, păr, păr alb
🦲	chelie, chimioterapie, fără păr, ras
🐵	față, față de maimuță, maimuță
🐒	maimuță
🦍	animal sălbatic, gorilă
🦧	primat, primate, urangutan
🐶	animal de companie, animal domestic, câine, față, față de câine
🐕️	animal de companie, animal domestic, câine
🦮	accesibilitate, câine ghid, ghid, nevăzător, orb
🐕‍🦺	accesibilitate, asistență, câine, câine de asistență, servicii
🐩	câine, pudel, rasă
🐺	față, lup
🦊	față, vulpe
🦝	curios, raton, ursuleț spălător, șmecher
🐱	animal de companie, animal domestic, față, față de pisică, pisică
🐈️	animal de companie, animal domestic, pisică
🦁	față, leu, zodiac
🐯	față, față de tigru, tigru
🐅	animal sălbatic, felină, tigru
🐆	animal sălbatic, felină, leopard
🐴	animal domestic, cal, față, față de cal
🐎	cal, cal de curse, echitație
🦄	față, unicorn
🦓	animal sălbatic, dungi, zebră
🦌	animal sălbatic, cerb
🐮	animal domestic, cap de vacă, față, vacă
🐂	animal domestic, bou, taur, zodiac
🐃	animal domestic, bivol
🐄	animal domestic, vacă
🐷	animal domestic, cap de porc, față, porc
🐖	animal domestic, porc, scroafă
🐗	animal sălbatic, mistreț, porc
🐽	față, nas, porc, rât
🐏	animal domestic, berbec, zodiac
🐑	animal domestic, mioară, oaie
🐐	Capricorn, animal domestic, capră, zodiac
🐪	cocoașă, deșert, dromader
🐫	cocoașe, cămilă, deșert
🦙	alpaca, lamă, lână
🦒	girafă, pete
🐘	animal sălbatic, elefant
🦏	animal sălbatic, rinocer
🦛	hipo, hipopotam
🐭	față, față de șoarece, șoarece
🐁	rozător, șoarece, șoricel
🐀	șobolan
🐹	animal de companie, față, hamster
🐰	animal de companie, față, față de iepure, iepuraș, iepure
🐇	animal de companie, iepuraș, iepure, rozător
🐿️	rozător, veveriță
🦔	arici, țepos
🦇	liliac, vampir
🐻	față, urs
🐨	koala, ursuleț
🐼	față, panda
🦥	leneș, lent, trândav
🦦	alunecos, jucăuș, vidră
🦨	mirositor, puți, sconcs
🦘	Australia, cangur, marsupial, salt, țopăit
🦡	bursuc, viezure
🐾	labe, picioare, urme, urme de lăbuțe
🦃	curcan, pasăre
🐔	găină, pasăre
🐓	cocoș, pasăre
🐣	eclozare, ou, pui, pui în găoace, puișor
🐤	pasăre, pui, pui de găină
🐥	pasăre, pui, pui de găină din față
🐦️	pasăre
🐧	frig, gheață, pasăre, pinguin
🕊️	pace, pasăre, porumbel, porumbiță, zbor
🦅	pasăre, vultur
🦆	pasăre, rață
🦢	lebădă, pasăre, rățușca cea urâtă
🦉	bufniță, de noapte, pasăre, înțelept
🦩	flamboaiant, flamingo, tropical
🦚	mândrie, orgoliu, ostentație, pasăre, păun
🦜	papagal mare, pasăre, pirat, vorbit
🐸	broască, față, față de broască
🐊	crocodil, reptilă
🐢	broască țestoasă, carapace, țestoasă
🦎	reptilă, târâtoare, șopârlă
🐍	ofiucus, reptilă, zodiac, șarpe
🐲	balaur, basm, fantastic, față, față de dragon, poveste
🐉	balaur, dragon, poveste
🦕	brahiozaur, brontozaur, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	apă, balenă, balenă împroșcând apă, jet
🐋	balenă, mamifer acvatic, uriaș
🐬	delfin, inteligent, mamifer acvatic
🐟️	pește, pești, zodiac
🐠	exotic, pește tropical, pești, tropical
🐡	pește, pește balon, pește țepos
🦈	pește, rechin
🐙	caracatiță, tentacule
🐚	cochilie, cochilie spiralată, spirală
🐌	melc
🦋	fluture, frumos, insectă
🐛	gândac, insectă
🐜	colonie, furnică, hărnicie, insectă
🐝	albină, aripi, insectă, miere
🐞	buburuză, buline, insectă, roșu
🦗	greier, lăcustă
🕷️	arahnidă, insectă, pânză, păianjen
🕸️	capcană, pânză, pânză de păianjen, păianjen
🦂	insectă, scorpion, venin, zodiac
🦟	boală, febră, insectă, malarie, înțepătură, țânțar
🦠	amibă, bacterie, microb, virus
💐	buchet de flori, cadou, flori
🌸	cireș, floare, floare de cireș, parfum, pom
💮	floare, floare albă, puritate
🏵️	plantă, rozetă
🌹	floare, trandafir
🥀	floare, floare ofilită, ofilire
🌺	floare, hibiscus
🌻	floare, floarea soarelui, galben, plantă, soare
🌼	boboc, eforescență, floare, înflorire
🌷	floare, lalea, plantă, primăvară
🌱	plantă, răsad, tânără
🌲	arbore conifer, brad, conifer, copac
🌳	arbore foios, copac, frunze căzătoare
🌴	copac, palmier
🌵	cactus, plantă
🌾	cereală, snop, snop de orez, spic
🌿	plantă, plantă aromatică
☘️	plantă, trifoi
🍀	frunze, patru, trifoi, trifoi cu patru foi
🍁	arțar, frunză, frunză de arțar, frunză în cădere
🍂	cădere, frunză, frunză în cădere
🍃	frunză, frunză plutind în aer, plutire, vânt
🍇	boabe, fruct, struguri, viță de vie
🍈	fruct, pepene, pepene galben
🍉	fruct, pepene, pepene verde
🍊	citrice, fruct, mandarină
🍋	citrice, fruct, lămâie
🍌	banană, fruct
🍍	ananas, fruct
🥭	fruct, mango, tropical
🍎	fruct, măr, măr roșu, roșu
🍏	fruct, măr, măr verde, verde
🍐	fruct, pară
🍑	fruct, piersică
🍒	cireașă, cireșe, fruct, roșu
🍓	bacă, căpșună, fruct
🥝	fructe, kiwi, mâncare
🍅	fruct, legumă, roșie, tomată
🥥	cocotier, nucă de cocos, palmier
🥑	avocado, fruct, mâncare
🍆	legumă, vânătă
🥔	cartof, cartofi, legume, mâncare
🥕	legume, morcov, mâncare
🌽	cereală, porumb, știulete, știulete de porumb
🌶️	ardei, ardei iute, iute, legumă
🥒	castravete, legume, murătură, mâncare
🥬	lăptucă, salată, varză, varză chinezească, varză kale, verdețuri
🥦	broccoli, conopidă
🧄	aromă, condiment, usturoi
🧅	aromă, ceapă, condiment
🍄	ciupercă, ciupercă otrăvitoare
🥜	alune, arahide, legumă, mâncare
🌰	castană, plantă
🍞	aliment, franzelă, pâine
🥐	corn, croasant, croissant, mâncare, pâine
🥖	baghetă, baghetă de pâine, franțuzească, mâncare, pâine
🥨	covrig, covrigei, covrigel, covrigi
🥯	bagel, covrig moale, patiserie
🥞	clătite, clătită, crepe, mâncare
🧇	fier de călcat, gofră, nehotărât
🧀	brânză, bucată de brânză, cașcaval
🍖	carne, os, os cu carne
🍗	ciocănel, pasăre, pulpă, pulpă de pasăre
🥩	antricot, bucată de carne, cotlet, friptură
🥓	bacon, carne, jambon, mâncare, șuncă
🍔	burger, carne, fast food, hamburger
🍟	cartofi, cartofi prăjiți, fast food
🍕	fast food, felie, pizza
🌭	cârnat, fast food, hot dog, muștar
🥪	fast food, sandvici, sandviș
🌮	fast food, lipie, mexican, taco
🌯	burrito, lipie, mexican, sandvici rulat, sandviș rulat
🥙	falafel, giros, kebab, lipie, lipie umplută, mâncare, șaorma
🧆	chifteluță, falafel, năut
🥚	mâncare, ou
🍳	gătit, tigaie
🥘	cratiță, cratiță cu mâncare, mâncare, paella, tigaie, tigaie cu mâncare
🍲	oală, oală cu mâncare, tocană
🥣	castron cu lingură, cereale, mic dejun, terci
🥗	mâncare, salată, salată verde, verde
🍿	floricele, floricele de porumb, pop-corn, popcorn, porumb
🧈	lactate, unt
🧂	condiment, sare, solniță
🥫	conservă, mâncare la conservă
🍱	bento, japonia, mâncare, mâncare japoneză la pachet, pachet
🍘	biscuit, biscuit de orez, orez
🍙	Japonia, chifteluțe, chifteluțe de orez, orez, perișoare
🍚	orez, orez gătit, preparare
🍛	condiment, curry, orez, orez cu curry
🍜	castron, castron aburind, fierbinte, tăiței
🍝	paste, spaghete
🍠	cartof, cartof dulce copt, copt, dulce
🍢	băț, frigăruie japoneză, fructe de mare, oden
🍣	sushi
🍤	crevete, crevete prăjit, prăjire, tempura
🍥	paste, pește, ruladă, ruladă japoneză cu pește
🥮	festival, prăjitura lunii, prăjitură chinezească, toamnă
🍡	Japonia, băț, desert, dulce, găluște japoneze pe băț
🥟	empanada, găluște chinezești, jiaozi, pierogi, potsticker
🥠	profeție, prăjiturele cu răvaș
🥡	mâncare chinezească la pachet, mâncare la pachet
🦀	rac, zodiac
🦞	clești, fructe de mare, homar
🦐	crevete, fructe de mare, mic, mâncare
🦑	calamar, calmar, moluscă, mâncare
🦪	perlă, scufundare, stridie
🍦	cornet, desert, înghețată, înghețată cremă
🍧	desert, desert din fulgi de gheață, dulce, gheață, înghețată
🍨	cremă, desert, dulce, înghețată
🍩	desert, dulce, glazură, gogoașă, gogoașă americană
🍪	desert, dulce, fursec
🎂	aluat, aniversare, desert, dulce, sărbătoare, tort, tort aniversar
🍰	aluat, desert, dulce, felie, tartă
🧁	brioșă, dulce, patiserie
🥧	aluat, plăcintă, umplutură
🍫	baton, baton de ciocolată, ciocolată, desert, dulce
🍬	bomboană, desert, dulce
🍭	acadea, bomboană, băț, desert, dulce
🍮	budincă, desert, dulce, șarlotă
🍯	borcan, borcan cu miere, dulce, miere
🍼	bebeluș, biberon, lapte, sticlă, suzetă
🥛	băutură, lapte, pahar, pahar cu lapte
☕️	băutură, băutură fierbinte, cafea, ceai, ceașcă, fierbinte
🍵	băutură, ceai, ceașcă, ceașcă fără mâner
🍶	bar, băutură, ceașcă, sake, sticlă
🍾	bar, băutură, dop, sticlă, sticlă căreia îi sare dopul, sărbătoare
🍷	bar, băutură, pahar, pahar de vin, vin
🍸️	bar, băutură, cocktail, pahar, pahar de cocktail
🍹	bar, băutură, băutură tropicală, exotic, tropical
🍺	bar, bere, băutură, halbă, halbă de bere
🍻	bar, bere, băutură, ciocnit, halbe, halbe de bere ciocnite, halbă
🥂	băutură, ciocnit, ciocnit de pahare, pahar, pahare ciocnite, sărbătorire
🥃	lichior, pahar, pahar de whisky, shot, whisky
🥤	pahar cu pai, sifon, suc
🧃	cutie de băutură, cutie de suc
🧉	băutură, mate
🧊	aisberg, cub de gheață, rece
🥢	bețișoare de mâncat, bețișoare japoneze
🍽️	cuțit, farfurie, furculiță și cuțit cu farfurie, gătit, tacâmuri
🍴	cuțit, furculiță, furculiță și cuțit, gătit
🥄	lingură, tacâmuri
🔪	armă, cuțit, cuțit de bucătărie, gătit, instrument
🏺	Vărsător, amforă, băut, gătit, ulcior, zodiac
🌍	Africa, Europa, Europa și Africa pe glob, Pământ, glob, lume
🌎️	Americi, Americile pe glob, Pământ, glob, lume
🌏	Asia, Asia și Australia pe glob, Australia, glob, lume
🌐	Pământ, glob, glob cu meridiane, lume, meridiane
🗺️	harta lumii, hartă, lume
🗾	Japonia, harta Japoniei, hartă
🧭	busolă, magnetic, navigație, orientare
🏔️	frig, munte, vârf, vârf de munte înzăpezit, zăpadă
⛰️	masiv, munte, stâncă
🌋	erupție, lavă, munte, vulcan
🗻	Fuji, munte, muntele Fuji
🏕️	camping, cort
🏖️	plajă, umbrelă, umbrelă pe plajă
🏜️	deșert, nisip
🏝️	insulă, insulă pustie, pustiu
🏞️	național, parc național, park
🏟️	public, sport, stadion
🏛️	clasic, clădire, clădire clasică, stil
🏗️	clădire, clădire în construcție, construcție
🧱	argilă, cărămidă, cărămizi, mortar, zid
🏘️	case, construcție
🏚️	abandonată, casă, casă părăsită
🏠️	casă, locuință
🏡	casă, casă cu grădină, grădină, locuință, verdeață
🏢	birouri, clădire, clădire de birouri
🏣	Japonia, oficiu poștal japonez, poștă
🏤	Europa, oficiu poștal, poștă
🏥	doctor, medicină, spital, sănătate
🏦	bancă, clădire
🏨	cazare, clădire, hotel
🏩	cazare, clădire, hotel de dragoste, iubire
🏪	magazin, magazin non-stop, mic magazin de cartier, mixt, non-stop
🏫	clădire, învățământ, școală
🏬	magazin, magazin universal, mare, raioane, universal
🏭️	clădire, fabrică, producție
🏯	Japonia, castel, castel japonez, clădire
🏰	Japonia, castel, clădire
💒	capelă, inimă, nuntă
🗼	Tokio, turn, turnul Tokio
🗽	Statuia Libertății, libertate, statuie
⛪️	biserică, clădire, creștin, creștinism, cruce, rugăciune
🕌	cult, islam, moschee, musulman, religie
🛕	hindus, templu, templu hindus
🕍	cult, evreiesc, religie, sinagogă, templu
⛩️	altar, altar shinto, cult, religie, sanctuar, shinto, templu
🕋	cult, islam, kaaba, lăcaș de cult islamic kaaba, religie
⛲️	apă, fântână, fântână arteziană
⛺️	camping, cort
🌁	ceață, vreme, încețoșat
🌃	noapte, noapte înstelată, stele
🏙️	oraș, orizont citadin, peisaj urban, zgârie-nori
🌄	dimineață, munți, răsărit, răsărit după munți, soare
🌅	dimineață, răsărit, soare
🌆	apus, oraș, peisaj urban la apus, seară, soare, zgârie-nori
🌇	amurg, apus, crepuscul, soare
