😀	মুখ, হাঁহি, হাস্য মুখী
👩‍❤‍👩	তিৰোতা, দম্পতি, প্ৰেম, হাৰ্টৰ সৈতে দম্পতি, হাৰ্টৰ সৈতে দম্পতি: তিৰোতা, তিৰোতা
👪️	পৰিয়াল
👨‍👩‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: মুনিহ, তিৰোতা, ল’ৰা, মুনিহ, ল’ৰা
👨‍👩‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: মুনিহ, তিৰোতা, ছোৱালী, মুনিহ
👨‍👩‍👧‍👦	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: মুনিহ, তিৰোতা, ছোৱালী, ল’ৰা, মুনিহ, ল’ৰা
👨‍👩‍👦‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: মুনিহ, তিৰোতা, ল’ৰা, ল’ৰা, মুনিহ, ল’ৰা
👨‍👩‍👧‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: মুনিহ, তিৰোতা, ছোৱালী, ছোৱালী, মুনিহ
👨‍👨‍👦	পৰিয়াল, পৰিয়াল: মুনিহ, মুনিহ, ল’ৰা, মুনিহ, ল’ৰা
👨‍👨‍👧	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, মুনিহ, ছোৱালী, মুনিহ
👨‍👨‍👧‍👦	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, মুনিহ, ছোৱালী, ল’ৰা, মুনিহ, ল’ৰা
👨‍👨‍👦‍👦	পৰিয়াল, পৰিয়াল: মুনিহ, মুনিহ, ল’ৰা, ল’ৰা, মুনিহ, ল’ৰা
👨‍👨‍👧‍👧	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, মুনিহ, ছোৱালী, ছোৱালী, মুনিহ
👩‍👩‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, তিৰোতা, ল’ৰা, ল’ৰা
👩‍👩‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, তিৰোতা, ছোৱালী
👩‍👩‍👧‍👦	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, তিৰোতা, ছোৱালী, ল’ৰা, ল’ৰা
👩‍👩‍👦‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, তিৰোতা, ল’ৰা, ল’ৰা, ল’ৰা
👩‍👩‍👧‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, তিৰোতা, ছোৱালী, ছোৱালী
👨‍👦	পৰিয়াল, পৰিয়াল: মুনিহ, ল’ৰা, মুনিহ, ল’ৰা
👨‍👦‍👦	পৰিয়াল, পৰিয়াল: মুনিহ, ল’ৰা, ল’ৰা, মুনিহ, ল’ৰা
👨‍👧	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, ছোৱালী, মুনিহ
👨‍👧‍👦	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, ছোৱালী, ল’ৰা, মুনিহ, ল’ৰা
👨‍👧‍👧	ছোৱালী, পৰিয়াল, পৰিয়াল: মুনিহ, ছোৱালী, ছোৱালী, মুনিহ
👩‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, ল’ৰা, ল’ৰা
👩‍👦‍👦	তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, ল’ৰা, ল’ৰা, ল’ৰা
👩‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, ছোৱালী
👩‍👧‍👦	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, ছোৱালী, ল’ৰা, ল’ৰা
👩‍👧‍👧	ছোৱালী, তিৰোতা, পৰিয়াল, পৰিয়াল: তিৰোতা, ছোৱালী, ছোৱালী
🗣️	কথা কোৱা, কথা কোৱা মুখ, চিলহুট, মুখ, মুৰ
👤	আবক্ষ মূর্তি, ছিলুয়েট, ছিলুয়েটত আবক্ষ মূৰ্তি
👥	আবক্ষ মূর্তি, ছিলুয়েট, ছিলুয়েটত আবক্ষ মূৰ্তিবোৰ
👣	কাপোৰ, চিহ্ন, পদচিহ্ন, পদচিহ্নবোৰ
🦰	ৰঙচুৱা চুলি, ৰঙা চুলি, ৰঙা চুলিৰ লোক
🦱	আফ্ৰ’, কেঁকোৰা, কেঁকোৰা চুলি, জঁট লগা চুলি
🦳	চুলি, পকা চুলি, বগা, বগা চুলি, বয়স্ক
🦲	কেম’থেৰাপী, চুলি নোহোৱা, চুলিবিহীন, টপা মূৰীয়া, মুণ্ডন কৰা
🐵	বান্দৰ, বান্দৰৰ মুখ, মুখ
🐒	বান্দৰ
🦍	গৰিলা
🦧	ওৰাংউটান, বনমানুহ
🐶	কুকুৰ, কুকুৰৰ মুখ, জন্তু, মুখ
🐕️	কুকুৰ, জন্তু
🦮	অন্ধ, দিব্যাংগ, দিব্যাংগ লোকক পথ-প্ৰদৰ্শন কৰা কুকুৰ, পথ-প্ৰদৰ্শক
🐕‍🦺	কুকুৰ, দিব্যাংগ, দিব্যাংগ লোকক সহায় কৰা কুকুৰ, সহায়, সেৱা
🐩	কুকুৰ, কেকোৰা নোমৰ কুকুৰ
🐺	কুকুৰনেচীয়া বাঘ, মুখমণ্ডল
🦊	মুখমণ্ডল, শিয়াল
🦝	অদ্ভূত, চতুৰ, ৰেকুন
🐱	জন্তু, মুখ, মেকুৰী, মেকুৰীৰ মুখ
🐈️	পোহনীয়া জন্তু, মেকুৰী
🦁	মুখমণ্ডল, সিংহ, সিংহ ৰাশি, ৰাশিফল
🐯	বাঘ, বাঘৰ মুখ, মুখ
🐅	বাঘ
🐆	নাহৰফুটুকী বাঘ
🐴	ঘোঁৰা, ঘোঁৰাৰ মুখ, মুখ
🐎	অশ্বাৰোহণ, ঘোঁৰা, ঘোৰা, দৌৰৰ ঘোৰা, ৰেচিং
🦄	ইউনিকৰ্ণ, মুখমণ্ডল
🦓	জেব্ৰা, ৰঙীণ ফিটা
🦌	হৰিণ
🐮	গৰু, গৰুৰ মুখ, মুখ
🐂	বলদ, বৃষৰাশি, ষাঁড়, ষাঁড় গৰু, ৰাশিচক্ৰ
🐃	পানী, পানী ম’হ, ম’হ
🐄	গৰু
🐷	গাহৰি, গাহৰিৰ মুখ, মুখ
🐖	গাহৰি, মাইকী গাহৰি
🐗	গাহৰি, বনগাহৰি
🐽	গাহৰি, গাহৰিৰ নাক, নাক, মুখ
🐏	পুৰুষ, ভেড়া, মেষ ৰাশি, ৰাম ছাগলী, ৰাশি
🐑	ভেড়া, মাইকী, মাইকী ভেড়া
🐐	ছাগলী, মকৰ ৰাশি, ৰাশি
🐪	উট, এটা কুজ থকা উট, কুজ
🐫	উট, কুজ, দুটা কুজ থকা উট
🦙	আলপাকা, ঊল, গুৱানাকো, ভিকুনা, লামা
🦒	জিৰাফ, দাগ
🐘	হাতী
🦏	গঁড়
🦛	জলহস্তী, হিপ্প’
🐭	নিগনি, নিগনি মুখ, নিগনিৰ মুখ, মুখ
🐁	নিগনি
🐀	এন্দুৰ
🐹	পোহনীয়া জন্তু, মুখমণ্ডল, হামষ্টাৰ
🐰	পোহনীয়া জন্তু, মুখ, শহাপহু, শহাপহুৰ মুখ
🐇	পোহনীয়া জন্তু, শহা, শহাপহু
🐿️	কাঠবিড়ালী, চিপমাংক
🦔	কণ্টকপূৰ্ণ, কেটেলা পহু
🦇	তেজপিয়া, বাদুলি
🐻	ভালুক, মুখমণ্ডল
🐨	কোৱালা, ভালুক
🐼	পাণ্ডা, মুখমণ্ডল
🦥	ঢিলা, লেহেমীয়া, শ্ল’থ
🦦	উদ, কৌতুকপূৰ্ণ, মাছ ধৰা
🦨	ষ্টিংক, স্কাংক
🦘	অষ্ট্ৰেলিয়া, কাংগাৰু, কাংগাৰু পোৱালী, জাপ, মাৰ্ছুপিয়েল
🦡	পেষ্টাৰ, বেজাৰ, হ’নি বেজাৰ
🐾	চিহ্ন, জন্তুৰ ভৰিৰ পটা, জন্তুৰ ভৰিৰ পটাৰ চিহ্ন, ভৰি
🦃	টাৰ্কি, পক্ষী
🐔	পক্ষী, মাইকী মূৰ্গী, মূৰ্গী
🐓	চৰাই, মতা মূৰ্গী
🐣	কণি ফুটি ওলোৱা চৰাই পোৱালী, কণী ফুটি ওলোৱা চৰাই পোৱালী, পক্ষী, পোৱালী, মূৰ্গী
🐤	পক্ষী, পোৱালী, পোৱালী মূৰ্গী, মূৰ্গী পোৱালী
🐥	পক্ষী, পোৱালী, মূৰ্গী, সন্মুখৰ ফালে মুখ কৰি থকা মূৰ্গী পোৱালী, সন্মুখৰ ফালে মুখ কৰি থলা মূৰ্গীৰ পোৱালী
🐦️	চৰাই
🐧	চৰাই, পেংগুইন
🕊️	উৰা, চৰাই, পাৰ, শান্তি
🦅	ঈগল, চৰাই
🦆	চৰাই, হাঁহ
🦢	কুৰূপা হাঁহ, চিগনেট, চৰাই, ৰাজহাঁহ
🦉	চৰাই, জ্ঞানী, ফেঁচা
🦩	গ্ৰীষ্মপ্ৰধান, ফ্লেমব’য়েণ্ট, ফ্লেমিংগ’
🦚	আড়ম্বৰপূৰ্ণ, গৰ্ব, চৰাই, ময়ুৰ পখী, ময়ূৰী
🦜	কথাবাৰ্তা, চৰাই, জলদস্যু, ভাটৌ
🐸	ভেকুলী, মুখমণ্ডল
🐊	ঘৰিয়াল
🐢	কচ্ছপ, কাছ, নদীত চৰা কাছ
🦎	জেঠী, সৰীসৃপ
🐍	অফিউকাচ, বাহক, সাপ, ৰাশি
🐲	ড্ৰেগন, ড্ৰেগনৰ মুখ, পৰীৰ সাধু, মুখ
🐉	ড্ৰেগন, পৰীৰ সাধু
🦕	চৰ’পড, ডিপ্ল’ড’কাচ, ব্ৰণ্ট’চৰাচ, ব্ৰেকিঅ’চৰাচ
🦖	টি-ৰেক্স, ট্ৰাইৰেনচৰাচ ৰেক্স
🐳	তিমি মাছ, ফোঁৱাৰা মৰা, ফোঁৱাৰা মৰা তিমি মাছ, মুখ
🐋	তিমি, তিমি মাছ
🐬	ডলফিন, ফ্লিপাৰ
🐟️	মাছ, মীন ৰাশি, ৰাশি
🐠	গ্ৰীষ্মমণ্ডলীয়, গ্ৰীষ্মমণ্ডলীয় মাছ, মাছ
🐡	ব্লোফিছ, মাছ
🦈	মাছ, শ্বাৰ্ক
🐙	অক্টোপাছ
🐚	খোলা, শামুক, শামুকৰ খোলা
🐌	শামুক
🦋	পখিলা, পোক, মোহনীয়
🐛	পতঙ্গ, পোক
🐜	পোক, পৰুৱা
🐝	পতঙ্গ, মাখি, মৌমাখি
🐞	গুবৰুৱা, পতঙ্গ, ভোমোৰা, সোণ পোক
🦗	উইচিৰিঙা, ফৰিং
🕷️	পতঙ্গ, মকৰা
🕸️	জাল, মকৰা, মকৰা জাল
🦂	বৃশ্চিক, বৃশ্চিকৰাশি, ৰাশি
🦟	জ্বৰ, পতংগ, ভাইৰাছ, মহ, মেলেৰিয়া, ৰোগ
🦠	এমিবা, জীবাণু, বেক্টেৰিয়া, ভাইৰাছ
💐	তোৰা, ফুল
🌸	চেৰী, চেৰী পুষ্প, পুষ্প, ফুল
💮	ফুল, বগা ফুল
🏵️	গছ, ৰ’চেট
🌹	গোলাপ, ফুল
🥀	ফুল, ৰঙা ফুল
🌺	জবাফুল, ফুল
🌻	ফুল, সূৰ্য্য, সূৰ্য্যমুখী
🌼	পুষ্প, ফুল
🌷	টিউলিপ, ফুল
🌱	অংকুৰ, পুলি
🌲	গছ, চিৰসেউজ বৃক্ষ
🌳	গছ, ছাঁ দিয়া, পৰ্ণপাতী, পৰ্ণপাতী গছ
🌴	গছ, তাল, তাল গছ
🌵	উদ্ভিদ, কেক্টাছ
🌾	কৰ্ণ, চাউল, ধান, ধানৰ চিৰা
🌿	ঔষধি, পাত
☘️	উদ্ভিদ, শ্বামৰক
🍀	চাৰি, চাৰি পাতৰ ঘাঁহ, চাৰিখিলা পাতৰ ঘাঁহ, পাত, ৪
🍁	পাত, মেপল, মেপলৰ পাত, সৰি পৰা
🍂	পাত, সৰা পাত, সৰি পৰা
🍃	পাত, বতাহ, বতাহ বলা, বতাহত উৰা পাত
🍇	আঙুৰ, ফল
🍈	খৰভুজ, ফল
🍉	তৰমুজ, ফল
🍊	কমলা, কমলা টেঙা, ফল
🍋	চাইট্ৰাছ, নেমু, ফল
🍌	কল, ফল
🍍	আনাৰস, ফল
🥭	আম, গৰম দিনৰ ফল, ফল
🍎	আপেল, পকা আপেল, ফল, ৰঙা
🍏	আপেল, কেঁচা আপেল, ফল, সেউজীয়া
🍐	নাচপতি, ফল
🍑	নৰাবগৰি, ফল
🍒	চেৰী, জামু, ফল, ৰঙা
🍓	জামু, ফল, ষ্ট্ৰ’বেৰী, ষ্ট’বেৰী
🥝	কিৱি, কিৱি ফল, খাদ্য, ফল
🍅	পাচলি, ফল, বিলাহী
🥥	নাৰিকল, পাম, পিনা কোলাডা
🥑	এভোকাডো, খাদ্য, ফল
🍆	গছ, পাচলি, বেঙেনা
🥔	আলু, খাদ্য, পাচলি
🥕	খাদ্য, গাজৰ, পাচলি
🌽	কাণ, গোমধান, মাকৈ
🌶️	গৰম, জলকীয়া, জ্বলা জলকীয়া
🥒	আচাৰ, খাদ্য, তিয়হ, পাচলি
🥬	কবি, বন্ধা কবি, বোক চয়, লেটুছ, সেউজীয়া পাতৰ পাচলি
🥦	বনৰীয়া বন্ধা কবি, ব্ৰ’কলি
🧄	নহৰু, মছলা
🧅	পিয়াঁজ, সুস্বাদু কৰা
🍄	কাঠফুলা, বেংচটা
🥜	খাদ্য, চীনা বাদাম, পাচলি, বাদাম
🌰	উদ্ভিদ, বাদাম
🍞	পাউৰুটী, লোফ
🥐	ক্ৰইচেণ্ট, ক্ৰিচেণ্ট, খাদ্য, পাওৰুটী, ফ্ৰেন্স
🥖	খাদ্য, পাওৰুটী, ফ্ৰেন্স, বাগেট, বাগেট পাওৰুটী
🥨	পকোৱা, প্ৰিটজেল
🥯	চেমিয়াৰ, বেকাৰী, বেগ’ল
🥞	ক্ৰেপ, খাদ্য, পেনকেক, হটকেক
🧇	অনিৰ্ণীত, লোহা, ৱাফল
🧀	চিজ, চিজ ৱেজ
🍖	মাংস, হাড়, হাড় সহ মাংস
🍗	কুকুৰা, কুকুৰা মাংসৰ ঠেং, ঠেং, হাড়
🥩	কটা মাংস, কাটি থোৱা, পৰ্কচপ, লেম্বচপ, ষ্টেক
🥓	খাদ্য, বেকন, মাংস
🍔	বাৰ্গাৰ, হামবাৰ্গাৰ
🍟	ফ্ৰাই, ফ্ৰেন্স, ফ্ৰেন্স ফ্ৰাই
🍕	চীজ, টুকুৰা, পিজ্জা
🌭	চচেজ, ফ্ৰেংকফাৰ্টাৰ, হট ডগ, হটডগ
🥪	চেণ্ডৱিচ, পাওৰুটী
🌮	টাকো, মেক্সিকান
🌯	বৰিটো, মেক্সিকান, ৰেপ
🥙	কবাব, খাদ্য, গাইৰো, ফলাফেল, ফ্লেটব্ৰেড, ষ্টাফড, ষ্টাফড ফ্লেটব্ৰেড
🧆	ফলাফেল, বুট, মিটবল
🥚	কণী, খাদ্য
🍳	কণী, পেন, ফ্ৰাই কৰা, ৰন্ধন
🥘	কেছৰোল, কেৰাহী, খাদ্য, পাত্ৰ, পেল্লা, শ্বেল্লো
🍲	খাদ্যৰ পাত্ৰ, খাদ্যৰ বাতি, পাত্ৰ, ষ্টিউ
🥣	কঙ্গী, খাদ্য, চামোচ সহ বাতি, ৰাতিপুৱাৰ আহাৰ
🥗	খাদ্য, চালাদ, সেউজীয়া, সেউজীয়া চালাদ
🍿	পপকৰ্ণ
🧈	দুগ্ধজাত, মাখন
🧂	আচাৰ, নিমখ, মিশ্ৰপাত্ৰ
🥫	কেন, কেনত ৰখা খাদ্য
🍱	বাকচ, বেণ্টু বক্স, বেন্টু, বেন্টু বক্স
🍘	খুন্দনা, চাউল, চাউল খুন্দা খুন্দনা
🍙	চাউল, চাউলৰ বল, জাপানিজ, বল
🍚	চাউল, ভাত, ৰন্ধা
🍛	আঞ্জা, আঞ্জা আৰু ভাত, চাউল
🍜	নুডল, বাতি, ভাপ ওলাই থকা, ভাপত সিজোৱা বাতি, ৰামেন
🍝	পাষ্টা, স্পাঘেটি
🍠	আলু, পোৰা, পোৰা মিঠা আলু, মিঠা
🍢	অ’ডেন, অ’ডেন সাগৰীয় খাদ্য, কাবাব, ষ্টিক, স্কিৱাৰ
🍣	চুচি
🍤	টেম্পুৰা, ভজা, ভজা মাছ, ভজা মিছামাছ, মিছামাছ, শিঙি মাছ
🍥	কেক, ঘুৰণীয়া, ঘুৰণীয়া ডিজাইনৰ সৈতে মাছৰ কেক, পেষ্ট্ৰী, মাছ
🥮	ইউৱেবিং, উৎসৱ, চন্দ্ৰাকৃতিৰ কেক, শৰৎ
🍡	জাপানিজ, ডেঙ্গো, মিঠা, ষ্টিক, স্কিৱাৰ
🥟	এম্পানাডা, গিঅ’জা, জিঅ’জি, ডাম্পলিং, পতষ্টিকাৰ, পাইৰ’গী
🥠	ফৰ্চুন কুকি, ভৱিষ্যতবাণী
🥡	অইষ্টাৰ পেইল, টেকআউট বক্স
🦀	কেকোৰা, কৰ্কট, ৰাশি
🦞	জন্তুৰ নখ, বিস্ক, মিছামাছ, সাগৰীয় খাদ্য
🦐	খাদ্য, শিঙি, শ্বেলফিচ, সৰু
🦑	খাদ্য, মোলস্ক, স্কুইড
🦪	ঐষ্টাৰ, ডাইভিং, মুক্তা
🍦	আইচ, আইচক্ৰীম, কোমল, ক্ৰীম, চ’ফ্ট আইচ ক্ৰীম, ডেজাৰ্ট, মিঠা
🍧	আইচ, চেভড, চেভড আইচ, ডেজাৰ্ট, মিঠা
🍨	আইচ, আইচ ক্ৰীম, ক্ৰীম, মিঠা, মিঠাই
🍩	ড’নাট, মিঠা, মিঠাই
🍪	কুঁকি, মিঠা, মিঠাই
🎂	উদযাপন, কেক, জন্মদিন, জন্মদিনৰ কেক, ডেজাৰ্ট, পেষ্ট্ৰী, মিঠা
🍰	কটা, কেক, চৰ্টকেক, ডেজাৰ্ট, পেষ্ট্ৰী, মিঠা
🧁	কাপকেক, বেকাৰী, মিঠাই
🥧	পাই, পেষ্ট্ৰী, ফিলিং
🍫	চকলেট, চকলেট বাৰ, বাৰ, মিঠা, মিঠাই
🍬	কেণ্ডী, মিঠা, মিঠাই
🍭	কেণ্ডী, মিঠা, মিঠাই, ললিপপ
🍮	কাষ্টাৰ্ড, পুডিং, মিঠা, মিঠাই
🍯	বাতি, মিঠা, মৌ, মৌ বাতি, মৌৰ বাতি
🍼	কেঁচুৱাৰ বটল, গাখীৰ, পানীয়, বটল, শিশু
🥛	গাখীৰ, গাখীৰৰ গিলাচ, গিলাচ, পানীয়
☕️	কফি, গৰম, গৰম পানীয়, চাহ, পানীয়, ভাপ
🍵	কাপ, চাহ, চাহৰ পিয়লা, পানীয়, হেণ্ডেল নথকা চাহৰ পিয়লা
🍶	কাপ, পানীয়, বটল, বাৰ, শ্বেক
🍾	কৰ্ক, পপিং, পপিং কৰ্কৰ সৈতে বটল, পপিং কৰ্কৰে বটল, বটল
🍷	গিলাচ, পানীয়, বাৰ, ৱাইন, ৱাইনৰ গিলাচ
🍸️	ককটেইল, ককটেইল গিলাচ, গিলাচ, পানীয়, বাৰ
🍹	ট্ৰ’পিকেল, ট্ৰ’পিকেল ড্ৰিংক, পানীয়, বাৰ
🍺	পানীয়, বাৰ, বীয়েৰ, বীয়েৰৰ মগ, মাগ
🍻	উত্তম ধৰণৰ বীয়েৰৰ মগ, ঠুং ঠুং আৱাজ কৰা, পানীয়, বাৰ, বিয়েৰ, মগ
🥂	উদযাপন, গিলাচ, চিয়াৰ্চ কৰিবৰ কাৰণে গিলাচত খুণ্ডিওৱা, ঠুং ঠুং আৱাজ কৰা, পানীয়
🥃	গিলাচ, টাম্বলাৰ, টাম্বলাৰ গিলাচ, পানীয়, শ্বট, হুইস্কি
🥤	ছ’ডা, জুচ, ষ্ট্ৰ’ দিয়া কাপ
🧃	পানীয় বাকচ, ফলৰ ৰসৰ বাকচ
🧉	পানীয়, মে’ট
🧊	ঠাণ্ডা, পানী-শিল, বৰফৰ টুকুৰা
🥢	চপষ্টিক, হেচি
🍽️	কটাৰী, কাটা চামোচ, প্লেট, প্লেটৰ সৈতে কাটা চামোচ আৰু কটাৰী, ৰন্ধন
🍴	কটাৰী, কাটা চামোচ আৰু কটাৰী, কাটাচামোচ, কাটাচামোচ আৰু কটাৰী, ৰন্ধন
🥄	কাটাচামোচ, চামোচ
🔪	অস্ত্ৰ, কটাৰী, সঁজুলি, হ’চ্চ’, ৰন্ধন, ৰান্ধনী ঘৰৰ কটাৰী
🏺	এম্ফোৰা, কুম্ভ ৰাশি, জগ, পানীয়, ৰন্ধন, ৰাশি
🌍	আফ্ৰিকা, ইউৰোপ, গ্ল’ব, গ্ল’বত ইউৰোপ-আফ্ৰিকা দেখুৱাইছে, পৃথিৱী, বিশ্ব
🌎️	আমেৰিকা, গ্ল’ব, গ্ল’বত আমেৰিকা দেখুৱাইছে, পৃথিৱী, বিশ্ব
🌏	অষ্ট্ৰেলিয়া, এছিয়া, গ্ল’ব, গ্ল’বত এছিয়া-অষ্ট্ৰেলিয়া দেখুৱাইছে, পৃথিৱী, বিশ্ব
🌐	গ্ল’ব, পৃথিৱী, বিশ্ব, মেৰিডিয়ান, মেৰিডিয়ানৰ সৈতে গ্ল’ব
🗺️	বিশ্ব, বিশ্ব মানচিত্ৰ, মানচিত্ৰ
🗾	জাপান, জাপানৰ মানচিত্ৰ, মানচিত্ৰ
🧭	অ’ৰিয়েণ্টাৰিং, কম্পাছ, চুম্বকীয়, নেভিগেশ্বন
🏔️	ঠাণ্ডা, তুষাৰ, পৰ্ব্বত, বৰফাবৃত পৰ্ব্বত
⛰️	পৰ্ব্বত
🌋	আগ্নেয়গিৰি, উদ্গীৰণ, পৰ্ব্বত
🗻	পৰ্ব্বত, ফুজি, মাউণ্ট ফুজি
🏕️	কেম্পিং
🏖️	ছাতি, ছাতি সহ সমুদ্ৰতীৰ, সমুদ্ৰতীৰ
🏜️	মৰুভূমি
🏝️	দ্বীপ, মৰুভূমি, মৰুভূমি দ্বীপ
🏞️	উদ্যান, ৰাষ্ট্ৰীয় উদ্যান
🏟️	ষ্টেডিয়াম
🏛️	ক্লাছিকেল, ক্লাছিকেল বিল্ডিং
🏗️	নিৰ্মাণ, ভৱন নিৰ্মাণ
🧱	ইটা, বেৰ, বোকামাটি, ম’ৰ্টাৰ
🏘️	ঘৰবোৰ
🏚️	ঘৰ, পৰিত্যক্ত, পৰিত্যক্ত ঘৰ
🏠️	গৃহ, ঘৰ
🏡	ঘৰ, বাগিচা, বাগিচাৰ সৈতে ঘৰ
🏢	কাৰ্যালয়ৰ ভৱন, ভৱন
🏣	জাপানী, জাপানী ডাক ঘৰ, ডাক
🏤	ইউৰোপীয়ান, ডাক, ডাক ঘৰ
🏥	ঔষধ, চিকিৎসক, চিকিৎসালয়
🏦	বেংক, ভৱন
🏨	ভৱন, হোটেল
🏩	প্ৰেম, লাভ হোটেল, হোটেল
🏪	দোকান, সুবিধা, সুবিধাযুক্ত দোকান
🏫	বিদ্যালয়, ভৱন
🏬	ডিপাৰ্টমেণ্ট ষ্ট’ৰ, দোকান, বিভাগ
🏭️	ফেক্টৰী, ভৱন
🏯	জাপানী, জাপানী দুৰ্গ, দুৰ্গ
🏰	ইউৰোপীয়ান, দুৰ্গ
💒	চেপল, বিবাহ, ৰোমাঞ্চ
🗼	টকিঅ’, টকিঅ’ টাৱাৰ, টাৱাৰ
🗽	মুৰ্তি, লিবাৰ্টি, ষ্টেচু অৱ লিবাৰ্টি
⛪️	ক্ৰছ, খ্ৰীষ্টান, গীৰ্জাঘৰ, ধৰ্ম
🕌	ইছলাম, ধৰ্ম, মছজিদ, মুছলমান
🛕	মন্দিৰ, হিন্দু, হিন্দু মন্দিৰ
🕍	আৰাধনালয়, ইহুদি, ধৰ্ম, মন্দিৰ
⛩️	চিণ্টো, চিণ্টো মন্দিৰ, ধৰ্ম, মন্দিৰ
🕋	ইছ্লাম, কাবা, ধৰ্ম, মুছলমান
⛲️	ফোৱাৰা
⛺️	কেম্পিং, টেণ্ট
🌁	কুঁৱলি, কুঁৱলিময়
🌃	তৰা, তৰাৰে ভৰি থকা ৰাতি, ৰাতি
🏙️	চহৰ, চিটীস্কেপ
🌄	পৰ্ব্বত, পৰ্ব্বতৰ ওপৰত সূৰ্যোদয়, সূৰ্যোদয়, সূৰ্য্য, ৰাতিপুৱা
🌅	সূৰ্যোদয়, সূৰ্য্য, ৰাতিপুৱা
🌆	আবেলি, চহৰ, পৰিদৃশ্য, সন্ধিয়া বেলিকা চহৰৰ দৃশ্য, সন্ধ্যা, সূৰ্যাস্ত, সূৰ্য্য
🌇	সন্ধ্যা, সূৰ্যাস্ত, সূৰ্য্য
🌉	নিশা, নিশাৰ সেতু, সেতু
♨️	ষ্টিমিং, স্প্ৰিং, হট, হট স্প্ৰিং
🎠	কৰোজেল, কৰোজেল হৰ্চ, ঘোৰা
🎡	চকা, ফেৰি, ফেৰিৰ চকা, বিনোদন উদ্যান
🎢	কষ্টাৰ, বিনোদন উদ্যান, ৰ’লাৰ, ৰ’লাৰ ক’ষ্টাৰ
💈	চুলি কটা, নাপিত, নাপিতৰ পোল, পোল
🎪	চাকাৰ্চৰ টেণ্ট, চাৰ্কাচ, চাৰ্কাচৰ টেণ্ট, টেণ্ট
🚂	ইঞ্জিন, ট্ৰেইন, ল’ক’মটিভ, ষ্টিম, ৰেইলৱে
🚃	ইলেক্ট্ৰিক, গাড়ী, ট্ৰলিবাচ, ট্ৰাম, ট্ৰেইন, ৰেইলৱে, ৰেইলৱেৰ গাড়ী
🚄	গতি, চিংকানচেন, ট্ৰেইন, তীব্ৰ গতিৰ ট্ৰেইন, ৰেইলৱে
🚅	গতি, চিংকানচেন, ট্ৰেইন, বুলেট, বুলেট ট্ৰেইন, ৰেইলৱে
🚆	ট্ৰেইন, ৰেইলৱে
🚇️	উপপথ, মেট্ৰো
🚈	পাতল ৰেইল, ৰেইলৱে
🚉	ট্ৰেইন, ষ্টেচন, ৰেইলৱে
🚊	ট্ৰাম, ট্ৰ’লীবাছ
🚝	বাহন, ম’ন’ৰেইল
🚞	গাড়ী, পাহাৰ, পাহাৰৰ ৰেইলৱে, ৰেইলৱে
🚋	গাড়ী, ট্ৰাম, ট্ৰাম গাড়ী, ট্ৰ’লীবাছ
🚌	বাছ, বাহন
🚍️	আহিবলগীয়া, আহিবলগীয়া বাছ, বাছ
🚎	ট্ৰাম, ট্ৰ’লী, ট্ৰ’লীবাছ, বাছ
🚐	বাছ, মিনিবাছ
🚑️	এম্বুলেঞ্চ, বাহন
🚒	ইঞ্জিন, জুই, ট্ৰাক, ফায়াৰ ইঞ্জিন
🚓	গাড়ী, পুলিচ, পুলিচৰ গাড়ী, পেট্ৰ’ল
🚔️	আহি থকা, আহি থকা পুলিচৰ গাড়ী, গাড়ী, পুলিচ
🚕	টেক্সি, বাহন
🚖	আহি থকা, আহি থকা টেক্সি, টেক্সি
🚗	অট’মোবাইল, গাড়ী
🚘️	অট’মোবাইল, আহি থকা, আহি থকা অট’মোবাইল, গাড়ী
🚙	বিনোদন, বিনোদনমূলক বাহন, মনোৰঞ্জন
🚚	ট্ৰাক, ডেলিভাৰী, ডেলিভাৰী ট্ৰাক
🚛	আৰ্টিকুলেটেড লৰি, ছেমি, ট্ৰাক, লৰি
🚜	ট্ৰেক্টৰ, বাহন
🏎️	গাড়ী, ৰেচিং, ৰেচিং গাড়ী
