😀	cerenje, lice
👨‍👦	dijete, dječak, majka, muškarac, otac, porodica, porodica: muškarac i dječak
👨‍👦‍👦	dijete, dječak, majka, muškarac, otac, porodica, porodica: muškarac, dječak i dječak
👨‍👧	dijete, djevojčica, majka, muškarac, otac, porodica, porodica: muškarac i djevojčica
👨‍👧‍👦	dijete, djevojčica, dječak, majka, muškarac, otac, porodica, porodica: muškarac, djevojčica i dječak
👨‍👧‍👧	dijete, djevojčica, majka, muškarac, otac, porodica, porodica: muškarac, djevojčica i djevojčica
👩‍👦	dijete, dječak, majka, otac, porodica, porodica: žena i dječak, žena
👩‍👦‍👦	dijete, dječak, majka, otac, porodica, porodica: žena, dječak i dječak, žena
👩‍👧	dijete, djevojčica, majka, otac, porodica, porodica: žena i djevojčica, žena
👩‍👧‍👦	dijete, djevojčica, dječak, majka, otac, porodica, porodica: žena, djevojčica i dječak, žena
👩‍👧‍👧	dijete, djevojčica, majka, otac, porodica, porodica: žena, djevojčica i djevojčica, žena
🗣️	glava, govor, silueta, silueta glave koja govori
👤	glava, ramena, silueta, silueta glave s ramenima
👥	glava, ramena, silueta, siluete glave s ramenima
👣	dio tijela, otisak, otisci stopala, stopala
🦰	crvena kosa, crvenokos, crvenokosa, riđa, riđast
🦱	afro, kovrdžav, kovrdžava, kovrdžava kosa, kovrdže, uvojci
🦳	sijed, sijeda, sijeda kosa, sivo, star, stara
🦲	bez kose, hemoterapija, obrijan, obrijana, obrijano, ćelavo
🐵	glava, glava majmuna, majmun
🐒	majmun
🦍	gorila, životinja
🦧	bezrepi majmun, majmun, orangutan
🐶	glava, glava psa, ljubimac, pas
🐕️	ljubimac, pas
🦮	pas vodič, pristup, slijep, vodič
🐕‍🦺	pas, pas sluga, pomoć, pristup, sluga
🐩	pas, pudlica
🐺	glava, glava vuka, vuk
🦊	glava lisice, lice, lisica, životinja
🦝	lisica, lukav, rakun, znatiželjan
🐱	glava, glava mačke, ljubimac, mačka
🐈️	ljubimac, mačka
🦁	glava, glava lava, lav
🐯	glava, glava tigra, tigar
🐅	tigar
🐆	leopard
🐴	glava, glava konja, konj
🐎	konj, trkanje, trkači konj
🦄	glava, glava jednoroga, jednorog
🦓	linije, zebra
🦌	jelen, životinja
🐮	glava, glava krave, krava
🐂	bik, vo
🐃	bivo
🐄	krava
🐷	glava, glava svinje, svinja
🐖	krmača, svinja
🐗	svinja, vepar
🐽	nos, svinja, svinjski nos
🐏	ovan
🐑	ovca
🐐	jarac, koza
🐪	grba, jednogrba kamila, kamila
🐫	dvogrba kamila, grba, kamila
🦙	alpaka, guanaco, lama, vicuna, vuna
🦒	tačke, žirafa
🐘	slon
🦏	nosorog, životinja
🦛	hippo, hippopotamus, nilski konj
🐭	glava, glava miša, miš
🐁	miš
🐀	pacov
🐹	glava hrčka, hrčak, ljubimac
🐰	glava zeca, ljubimac, zec, zeko
🐇	ljubimac, zec, zeko
🐿️	vjeverica
🦔	bodlje, jež
🦇	vampir, šišmiš, životinja
🐻	glava medvjeda, lice, medvjed
🐨	koala
🐼	glava pande, lice, panda
🦥	lijen, ljenivac, spor, trom
🦦	lovljenje riba, razigranost, vidra
🦨	smrad, tvor
🦘	Australia, kengur, skok, torbar
🦡	jazavac, medojedni jazavac, štetočina
🐾	otisak, otisci šapa, stopalo, šapa
🦃	ćurka
🐔	kokoš
🐓	pijetao
🐣	beba, izleglo, izleglo pile, pile
🐤	beba, pile
🐥	beba, pile, portet pileta
🐦️	ptica
🐧	pingvin
🕊️	golubica, let, mir, ptica
🦅	orao, ptica
🦆	patka, ptica
🦢	labud, mladi labud, ptica, ružno pače
🦉	mudrost, ptica, sova
🦩	flamingo, kitnjast, tropska ptica, tropski
🦚	hvalisav, paun, ponosan, ptica, šepurenje
🦜	papagaj, papiga, pričanje, ptica
🐸	glava žabe, lice, žaba
🐊	krokodil
🐢	kornjača
🦎	gušter, reptil
🐍	horoskopski znak, nositelj, zmija, zmijonosac
🐲	bajka, glava zmaja, lice, zmaj
🐉	bajka, zmaj
🦕	brahiosaurus, brontosaurus, diplodok, sauropod
🦖	T-Rex, Tiranosaurus Reks
🐳	izdiše, kit, kit koji izdiše, pljuje, vodu
🐋	kit
🐬	delfin
🐟️	riba, ribe
🐠	riba, tropska, tropska riba
🐡	napuhača, riba
🦈	ajkula, riba
🐙	hobotnica
🐚	spirala, spiralna školjka, školjka
🐌	puž
🦋	insekt, leptir, ljepota
🐛	buba, insekt
🐜	insekt, mrav
🐝	insekt, pčela
🐞	buba, bubamara, insekt
🦗	cvrčak, skakavac
🕷️	insekt, pauk
🕸️	mreža, pauk, paukova mreža
🦂	horoskopski znak, škorpija, škorpion
🦟	bolest, groznica, insekt, komarac, malarija, virus
🦠	ameba, bakterija, mikrob, virus
💐	biljka, buket, cvijet
🌸	behar, biljka, cvijet, cvijet višnje, trešna
💮	bijeli cvijet, cvijet
🏵️	biljka, rozeta
🌹	biljka, cvijet, ruža
🥀	cvijet, uveli cvijet, uvelo
🌺	biljka, cvijet, hibiskus
🌻	biljka, cvijet, sunce, suncokret
🌼	biljka, cvijet, procvjetati
🌷	biljka, cvijet, tulipan
🌱	biljka, rasad, sjeme
🌲	biljka, drvo, zimzelen
🌳	bjelogorica, bjelogorično drvo, drvo, hrast, listopadno
🌴	biljka, drvo, palma
🌵	biljka, kaktus
🌾	biljka, riža, snop, snop riže, zrno
🌿	bijka, list, ljekovita biljka
☘️	biljka, djetelina
🍀	biljka, djetelina, djetelina sa četiri lista, list, četiri
🍁	hrast, javor, javorov list, list, opada
🍂	biljka, lišče, opada, opao list
🍃	lepršanje, list, list leprša, puhanje, vjetar
🍇	biljka, grozd, grožđe, voće
🍈	biljka, dinja, voće
🍉	biljka, lubenica, voće
🍊	biljka, mandarina, narandža, voće
🍋	biljka, citrus, limun, voće
🍌	banana, biljka, voće
🍍	ananas, biljka, voće
🥭	mango, tropsko, voće
🍎	biljka, crvena, crvena jabuka, jabuka, voće
🍏	biljka, jabuka, voće, zelena, zelena jabuka
🍐	biljka, kruška, voće
🍑	biljka, breskva, voće
🍒	biljka, trešnja, trešnje, voće
🍓	biljka, bobica, jagoda, voće
🥝	hrana, kivi, kiwi, voće
🍅	biljka, paradajz, povrće
🥥	kokos, palma, pinja kolada
🥑	avokado, hrana, voće
🍆	biljka, patlidžan, plavi, povrće
🥔	hrana, krompir, povrće
🥕	hrana, mrkva, povrće
🌽	biljka, klas, kukuruz
🌶️	biljka, feferon, ljuta, ljuti feferon, paprika
🥒	hrana, kiseli krastavac, krastavac, povrće
🥬	kelj, kupus, lisnato povrće, zelena salata
🥦	brokoli, divlji kupus
🧄	bijeli luk, začinjavanje hrane
🧅	luk, začinjavanje hrane
🍄	biljka, gljiva
🥜	grickalice, hrana, kikiriki, povrće
🌰	biljka, kesten
🍞	hljeb, štruca
🥐	francusko, hljeb, hrana, kifla, kroasan
🥖	baget, francuski hljeb, francusko, hljeb, hrana
🥨	perec, savijeno
🥯	pecivo, zemička, đevrek
🥞	crepe, hrana, palačinke
🧇	blebetanje, neodlučnost, vafl
🧀	komad sira, sir
🍖	kost, meso, meso na kostima
🍗	batak, kost, noga, perad, piletina
🥩	janjeći odrezak, odrezak, odrezak mesa, stejk, svinjski odrezak
🥓	hrana, meso, slanina
🍔	burger, hamburger
🍟	pomfrit
🍕	komad, pizza, sir
🌭	hot dog, hrenovka, kobasica
🥪	hljeb, sendvič
🌮	meksička, tortilja
🌯	burito, meksička
🥙	falafel, giros, hrana, kebab, lepinja
🧆	falafel, leblebije, okruglice od leblebija
🥚	hrana, jaja, jaje
🍳	jaje, kuhanje, pečenje, tava
🥘	hrana, plitko, tava, tava s hranom, tepsija
🍲	lonac, lonac hrane, paprikaš
🥣	doručak, zdjela s kašikom, žitarice
🥗	hrana, salata, zelena salata, zeleno
🍿	kokice
🧈	mliječni proizvodi, puter
🧂	slanik, so, začin
🥫	konzerva, konzervirana hrana
🍱	bento, bento kutija, kutija
🍘	kreker, kreker od riže, riža
🍙	japanska, kugla, kugla od riže, riža
🍚	kuhana, kuhana riža, riža
🍛	kari, kari riža, riža
🍜	knedla, posuda, posuda na paru, rezanci, činija
🍝	pasta, špageti
🍠	krompir, pečeni, slatki, slatki pečeni krompir
🍢	kebab, oden, plodovi mora, ražnjić
🍣	suši
🍤	prženi škampi, prženo, škampi
🍥	kolač, riba, riblji rolat, smotuljak, spirala
🥮	festival, jesen, mjesečev kolač, yuebing
🍡	dango, desert, japanski, slatko, štapić
🥟	knedla, okruglica
🥠	kolačić sreće, proročanstvo
🥡	kutija, kutija s hranom za ponijeti, pakovanje
🦀	horoskopski znak, rak
🦞	jastog, klješta, morski plodovi
🦐	hrana, račić, škamp, školjka
🦑	hrana, lignja, mekušac
🦪	biser, kamenica, ronjenje, školjka
🍦	desert, krema, led, sladoled, sladoled na točenje
🍧	desert, havajski sladoled, led, obrijani, sladoled
🍨	desert, krema, led, sladoled, slatko
🍩	desert, krofna, slatko
🍪	desert, kolačić, slatko
🎂	desert, rođendan, rođendanska torta, slavlje, torta
🍰	kolač, kolač sa biskvitom, komad, slatko, torta
🧁	kolači, mafin, slatkiši
🥧	fil, kolač, pecivo, slatka pita
🍫	desert, slatko, čokolada
🍬	bombona, desert, slatko
🍭	desert, lizalo, slatkiš, slatko
🍮	desert, puding, slatko
🍯	med, slatko, tegla, tegla meda
🍼	beba, flašica, flašica za bebu, mlijeko, piće
🥛	mlijeko, piće, čaša
☕️	kafa, napitak, para, topli napitak, toplo, čaj
🍵	napitak, čaj, šolja, šolja za čaj, šolja za čaj bez drške
🍶	boca, napitak, piće, sake, šolja
🍾	boca, boca sa plutanim čepom koji iskače, piće, čep, šank
🍷	piće, vino, čaša, čaša vina, šank
🍸️	koktel, piće, čaša, šank
🍹	piće, tropsko, tropsko piće, šank
🍺	krigla, krigla piva, pivo, piće, šank
🍻	krigla, kuckanje, nazdravljanje kriglama piva, pivo, piće
🥂	kucnuti, piće, slavlje, uzdravlje, čaša
🥃	piće, viski, čaša, čašica za žestoko piće, žestoko
🥤	sok, čaša sa slamkom
🧃	gusti sok u tetrapaku, sok u tetrapaku
🧉	mate čaj, topli napitak
🧊	kocka leda, ledeno
🥢	haši, štapići
🍽️	kuhanje, nož, tanjir, viljuška, viljuška i nož uz tanjir
🍴	kuhanje, nož, viljuška, viljuška i nož
🥄	escajg, kašika
🔪	alat, kuhanje, kuhinjski nož, nož, oružje
🏺	amfora, horoskopski znak, kuhanje, piće, ćup
🌍	Zemlja, globus, globus prikazuje Evropu i Afriku, kugla, svijet
🌎️	Amerika, Zemlja, globus prikazuje Sjevernu i Južnu Ameriku, svijet, zemaljska kugla
🌏	Zemlja, globus, globus pokazuje Aziju i Australiju, svijet, zemaljska kugla
🌐	Zemlja, globus sa meridijanima, meridijani, svijet, zemaljska kugla
🗺️	karta, karta svijeta, svijet
🗾	Japan, karta, karta Japana
🧭	kompas, navigacija, orijentacija
🏔️	hladan, planina, snijeg, sniježni planinski vrh
⛰️	planina
🌋	erupcija, planina, vrijeme, vulkan
🗻	fudži, fudži planina, planina
🏕️	kamp, kampovanje
🏖️	plaža, plaža sa suncobranom, suncobran
🏜️	pustinja
🏝️	otok, pusti otok, pustinja
🏞️	nacionalni park, park
🏟️	stadion
🏛️	klasika, klasična zgrada, zgrada
🏗️	građevina, zgrada
🧱	cigla, cigle, glina, malter, zid
🏘️	kuća, kuće, zgrada
🏚️	kuća, napuštena, napuštena kuća, zgrada
🏠️	dom, kuća, zgrada
🏡	bašta, dom, kuća, kuća sa okućnicom, zgrada
🏢	poslovna zgrada, zgrada
🏣	japanska, japanska pošta, pošta, zgrada
🏤	evropska, pošta, zgrada
🏥	bolnica, doktor, medicina, zgrada
🏦	banka, zgrada
🏨	hotel, zgrada
🏩	hotel, javna kuća, ljubav, zgrada
🏪	dragstor, prodavnica, zgrada
🏫	zgrada, škola
🏬	kuća, robna, robna kuća, zgrada
🏭️	fabrika, tvornica, zgrada
🏯	japanski, japanski zamak, zamak, zgrada
🏰	dvorac, europski, zgrada
💒	kapela, romantika, vjenčanje
🗼	tokijski toranj, tokio, toranj
🗽	kip, kip slobode, sloboda
⛪️	crkva, katolicizam, križ, religija, zgrada
🕌	džamija, islam, musliman, religija
🛕	hinduistički hram, hinduizam, hram
🕍	hram, religija, sinagoga, židov
⛩️	oltar, religija, shinto, shinto oltar
🕋	islam, kaba, musliman, religija
⛲️	fontana
⛺️	kampovanje, šator
🌁	magla, maglovito, vrijeme
🌃	noć, vrijeme, zvijezda, zvjezdana noć
🏙️	grad, pogled na grad, zgrada
🌄	izlazak sunca, izlazak sunca preko planina, jutro, planina, sunce
🌅	izlazak sunca, jutro, sunce, vrijeme
🌆	grad, pejzaž, pogled na grad u sumrak, sumrak, večer
🌇	sumrak, sunce, vrijeme, zalazak sunca, zgrada
🌉	most, most noću, noć, vrijeme
♨️	izvor, izvori vruće vode, para, vruć, vrućina
🎠	konjić, vrteška
🎡	ringišpil, zabavni park
🎢	tobogan smrti, voz, voz smrti, zabavni park
💈	berbernica, oznaka berbernice, znak, šišanje
🎪	cirkus, cirkuski šator, šator
🚂	lokomotiva, motor, para, pruga, voz
🚃	pruga, vagon, voz, šina, željeznica
🚄	brzi voz, brzina, voz, vozilo, željeznica
🚅	brzi voz metak, brzi voz-metak, pruga, voz, vozilo, željeznica
🚆	voz, vozilo, željeznica
🚇️	metro, podzemna, željeznica
🚈	svjetlosna pruga, vozilo, željeznica
🚉	stanica, voz, vozilo, željeznica
🚊	tramvaj, trolejbus, vozilo
🚝	pruga sa jednom tračnicom, vozilo
🚞	planina, pruga kroz tunel, voz, vozilo, željeznica
🚋	pruga, tramvajska kola, trolejbus, vozilo, željeznica
🚌	autobus, vozilo
🚍️	autobus, dolazeći autobus, dolazi, vozilo
🚎	trolejbus, vozilo
🚐	bus, minibus
🚑️	sanitet, vozilo
🚒	kamion, vatra, vatrogasna kola, vozilo
🚓	auto, patrola, policija, policijska kola, vozilo
🚔️	auto, dolazeća policijska kola, policija, vozilo
🚕	taksi, vozilo
🚖	dolazeći taksi, taksi, vozilo
🚗	auto, automobil, vozilo
🚘️	auto, automobil, dolazeći automobil, vozilo
🚙	džip, terenac, terensko, terensko vozilo, vozilo
🚚	dostava, dostavno vozilo, kamion, vozilo
🚛	kamion, teret, teretni kamion, vozilo
🚜	traktor, vozilo
🏎️	auto, trkaći automobil, utrka
🏍️	motor, utrka
🛵	motor, skuter
🦽	pomagalo, ručna invalidska kolica
🦼	elektromotorna invalidska kolica, elektromotorno pomagalo
🛺	auto-rikša, tuk-tuk vozilo
🚲️	biciklo, vozilo
🛴	noga, romobil
🛹	daska, skateboard
🚏	autobuska stanica, bus, stajalište, stanica
🛣️	autoput, cesta
🛤️	pruga, voz, željeznica
🛢️	bačva, bure, ulje
⛽️	benzin, benzinska pumpa, gorivo, pumpa, stanica
🚨	auto, policija, rotacija, sijalica, vozilo
🚥	horizontalni semafor, saobraćaj, signalizacija, svjetlo
🚦	saobraćaj, semafor, signalizacija, svjetlo
🛑	osmougao, stop, znak
🚧	barijera, konstrukcija
⚓️	alat, brod, sidro
⛵️	jahta, jedrilica, more, odmaralište, čamac
🛶	kanu, čamac
🚤	gliser, vozilo, čamac
🛳️	brod, putnik, putnički brod, vozilo
⛴️	brod, trajekt, čamac
🛥️	motor, motorni čamac, vozilo, čamac
🚢	brod, vozilo
✈️	avion, vozilo
🛩️	avion, mali avion, vozilo
🛫	avion, odlazak, prijavljivanje, uzlijetanje, vozilo
🛬	avion, dolazak, slijetanje, vozilo
🪂	letenje zmajem, padobran, parasailing, skakanje padobranom
💺	sjedalo, sjedište
🚁	helikopter, vozilo
🚟	viseća, viseći voz, vozilo, željeznica
🚠	gondola, kabl, planina, vozilo, žičara
🚡	kabl, tramvaj, uže, vozilo, zračni, zračni tramvaj
🛰️	satelit, svemir, vozilo
🚀	raketa, svemir, vozilo
🛸	NLO, leteći tanjir
🛎️	hotel, ručno zvono, zvono
🧳	pakovanje, prtljag, putovanje
⌛️	pijesak, pješčani sat, tajmer
⏳️	pijesak, pješčani sat, pješčani sat sa tekućim pijeskom, tajmer
⌚️	ručni sat, sat
⏰	alarm, budilnik, sat
⏱️	sat, štoperica
⏲️	sat, tajmer
🕰️	drveni sat, sat
🕛️	00:00, 12:00, dvanaest sati, sat, sati
🕧	00:30, 12:30, dvanaest i trideset, sat, sati
🕐️	01:00, 13:00, jedan sat, sat, sati
🕜	01:30, 13:30, jedan i trideset, sat, sati
🕑️	02:00, 14:00, dva sata, sat, sati
🕝	02:30, 14:30, dva i trideset, sat, sati
🕒️	03:00, 15:00, sat, sati, tri sata
🕞	03:30, 15:30, sat, sati, tri i trideset
🕓️	04:00, 16:00, sat, sati, četiri sata
🕟	04:30, 16:30, sat, sati, četiri i trideset
🕔️	05:00, 17:00, pet sati, sat, sati
🕠	05:30, 17:30, pet i trideset, sat, sati
🕕️	06:00, 18:00, sat, sati, šest sati
🕡	06:30, 18:30, sat, sati, šest i trideset
🕖️	07:00, 19:00, sat, sati, sedam sati
🕢	07:30, 19:30, sat, sati, sedam i trideset
🕗️	08:00, 20:00, osam sati, sat, sati
🕣	08:30, 20:30, osam i trideset, sat, sati
🕘️	09:00, 21:00, devet sati, sat, sati
🕤	09:30, 21:30, devet i trideset, sat, sati
🕙️	10:00, 22:00, deset sati, sat, sati
🕥	10:30, 22:30, deset i trideset, sat, sati
🕚️	11:00, 23:00, jedanaest sati, sat, sati
🕦	11:30, 23:30, jedanaest i trideset, sat, sati
🌑	mjesec, mjesečeve mijene, mladi mjesec, svemir
🌒	mjesec, mjesečeve mijene, svemir, uzdižući mjesec
🌓	mjesec, mjesečeve mijene, prva četvrtina, svemir
🌔	do punog mjeseca, mjesec, mjesečeve mijene, svemir
🌕️	mjesec, mjesečeve mijene, pun mjesec, svemir
🌖	mjesec, mjesečeve mijene, padajući mjesec, svemir
🌗	mjesec, mjesečeve mijene, svemir, zadnja četvrtina
🌘	do mladog mjeseca, mjesec, mjesečeve mijene, svemir
🌙	mjesec, polumjesec, svemir
🌚	lice, mjesec, mladi mjesec lice, svemir
🌛	lice, mjesec, prva četvrtina lice, svemir
🌜️	lice, mjesec, svemir, zadnja četvrtina lice
🌡️	termometar, vrijeme
☀️	prognoza, sunce, sunčano, vrijeme
🌝	lice, mjesec, puni mjesec lice, svemir
🌞	lice, prognoza, sunce, sunce lice, sunčano, vrijeme
🪐	planeta s prstenom, pod uticajem saturna, saturn
⭐️	svijetložuta zvijezda, zvijezda
🌟	blistavo, sjajna zvijezda, sjajno, svemir, zvijezda
🌠	padalica, svemir, zvijezda, zvijezda padalica
🌌	mliječni put, svemir, vrijeme
☁️	oblaci, oblačno, prognoza, vrijeme
⛅️	oblaci, prognoza, sunce, umjereno oblačno, vrijeme
⛈️	grmljavina, kiša, oblačno s grmljavinom i kišom, prognoza, vrijeme
🌤️	oblaci, pretežno sunčano, prognoza, sunce, vrijeme
🌥️	oblaci, pretežno oblačno, prognoza, vrijeme
🌦️	kiša, oblaci, prognoza, umjereno oblačno s kišom, vrijeme
🌧️	kiša, oblaci, oblačno s kišom, prognoza, vrijeme
🌨️	oblaci, oblačno sa snijegom, prognoza, snijeg, vrijeme
🌩️	grmljavina, oblaci, oblačno s grmljavinom, prognoza, vrijeme
🌪️	oblaci, prognoza, tornado, vihor, vrijeme
🌫️	magla, oblaci, prognoza, vrijeme
🌬️	lice, lice u vjetru, prognoza, vjetar, vrijeme
🌀	ciklon, prognoza, tajfun, vrijeme
🌈	duga, kiša, vrijeme
🌂	asesoar, kiša, kišobran, vrijeme, zatvoren kišobran
☂️	asesoar, kiša, kišobran, vrijeme
☔️	asesoar, kiša, kiša s kišobranom, kišobran, vrijeme
⛱️	kišobran na zemlji, sunce, suncobran, suncobran na zemlji, vrijeme
⚡️	munja, napon, opasnost, struja, visoki napon
❄️	hladnoća, pahuljica snijega, snijeg, vrijeme
☃️	hladnoća, snijeg, snješko bijelić, vrijeme
⛄️	hladnoća, snijeg, snješko bijelić bez snijega, vrijeme
☄️	kometa, svemir
🔥	plamen, vatra
💧	kapljica, kapljica vode, stripovi, vrijeme, znoj
🌊	more, okean, talas, val, voda
🎃	bundeva, bundevina glava, glava, noć vještica, praznik
🎄	božić, božićno drvce, drvo, praznik
🎆	proslava, vatromet, zabava
🎇	proslava, prskalica, vatromet, zabava
🧨	dinamit, eksploziv, petarda, vatromet
✨	iskre, iskrice, zvjezdice
🎈	balon, proslava, zabava
🎉	proslava, pucanje i konfete, zabava
🎊	konfete, proslava, zabava
🎋	japan, proslava, stablo, tanabata stablo, zabava
🎍	bambus, japan, proslava, stablo, ukras od borovine
🎎	festival, japan, japanske lutke, proslava
🎏	koinobori, proslava, zabava, zastavica, šaran
🎐	proslava, vjetar, vjetreno zvono, zvono
🎑	ceremonija, ceremonija punog mjeseca, mjesec, obred, proslava
🧧	crvena koverta, hongbao, lai see, novac, poklon, za sreću
🎀	mašnica, proslava
🎁	kutija, mašna, poklon, proslava, zapakovan poklon
🎗️	počast, proslava, simbolična traka
🎟️	karta, ulaznica
🎫	karta, ulaznica
🎖️	medalja, proslava, vojna medalja, vojska
🏆️	nagrada, trofej
🏅	medalja, sportska medalja
🥇	medalja, prva, prvi, prvo mjesto, zlato
🥈	druga, drugi, drugo mjesto, medalja, srebro
🥉	bronza, medalja, treća, treće mjesto, treći
⚽️	fudbal, fudbalska lopta, lopta
⚾️	bejzbol, lopta, sport
🥎	lopta, loptica, pazuh, rukavica, softbol
🏀	koš, košarka, lopta
🏐	lopta, odbojka, sport
🏈	američki, američki fudbal, fudbal, lopta, sport
🏉	lopta, ragbi, sport
🎾	loptica, reket, sport, tenis
🥏	krajnji cilj, leteći disk
🎳	igra, kugla, kuglanje, sport
🏏	bat, kriket, loptica, palica, sport
🏑	hokej, hokej na travi, loptica, palica, sport
🏒	hokej, hokej na ledu, pak, palica, pločica
🥍	cilj, lakros, lopta, štap
🏓	loptica, reket, sport, sto, stoni tenis
🏸	badminton, loptica za badminton, reket, sport
🥊	boks, rukavica, sport
🥋	borilačke vještine, borilački sportovi, džudo, karate, odijelo, tekvondo
🥅	gol, mreža, sport
⛳️	golf, igra, sport
⛸️	klizaljke, klizanje, led
🎣	pecanje, ribe, ribolov, štap za pecanje
🤿	gnjurenje, maska za ronjenje, ronjenje
🎽	majica za trčanje, oprema, trčanje
🎿	skijanje, skije, snijeg, sport
🛷	sanke, spuštanje
🥌	igra, kamen, kamen za karling
🎯	cilj, igra, pikado, strjelica, tabla
🪀	gibanje, igračka, yo-yo
🪁	lebdjenje, letenje, zmaj od papira
🎱	bilijar, igra, osmica, sport
🔮	bajka, fantazija, gatanje, kristalna, kristalna kugla, kugla
🧿	Fatimino oko
🎮️	igre, upravljač, video igre
🕹️	džojstik, igre, video igre
🎰	aparat, automat za kockanje, igra, kocka
🎲	društvene igre, igre, kockica, kockica za igru
🧩	dio, međusobno povezano, puzle, slagalica, trag
🧸	igračka, medo, plišana
♠️	igra, karte, pik, znak
♥️	igra, karte, srce, znak
♦️	igra, karo, karte, znak
♣️	igra, karte, tref, znak
♟️	pijun, pješak, potrošni, šah
🃏	džoker, igra, karte
🀄️	igra, mahjong, mahjong crveni zmaj
🎴	igra, igranje, japanske, japanske karte za igranje, karte
🎭️	izvedba, maska, pozorište, scenske umjetnosti, umjetnina
🖼️	izvedba, maska, pozorište, umjetnost, uramljena slika
🎨	muzej, paleta, slika, slikarska paleta, umjetnost
🧵	igla, konac, šivanje, šivenje, šplulna
🧶	hekleraj, klupko, pletivo, predivo
👓️	asesoar, naočale, oči, predmet
🕶️	asesoar, naočale, oči, predmet, sunčane naočale
🥽	plivanje, zavarivanje, zaštita za oči, zaštitne naočale
🥼	doktor, doktorica, eksperiment, laboratorijski mantil, naučnica, naučnik
🦺	opasnost, prsluk, sigurnosni prsluk, sigurnost
👔	kravata, odjevni predmet
👕	majica, majica kratkih rukava, odjevni predmet
👖	farmerke, hlače, odjevni predmet, pantalone
🧣	vrat, šal
🧤	ruka, rukavice
🧥	jakna, kaput
🧦	čarapa, čarape
👗	haljina, odjevni predmet
👘	kimono, odjevni predmet
🥻	haljina, odjeća, sari odjeća
🩱	jednodijelni kupaći kostim, kupaći kostim
🩲	donji veš, gaće, jednodijelni, kupaće gaće, kupaći kostim
🩳	donji veš, kupaći kostim, kupaći šorc, šorc
👙	bikini, kupaći, odjevni predmet
👚	odjeća, žena, ženska odjeća
👛	asesoar, odjevni predmet, tašna
👜	asesoar, odjevni predmet, ručna torba, torba
👝	neseser, odjevni predmet, torbica
🛍️	kupovina, vrećica, vrećice za kupovinu, šoping
🎒	ruksak, torba, škola
👞	cipela, muška cipela, muškarac, obuća
👟	atletika, obuća, patika
🥾	gojzerica, kampovanje, pješačenje, planinarenje, čizma
🥿	baletanka, cipela s ravnim đonom, papuča
👠	cipela, cipela s visokim potpeticama, visoka peta, štikla, žena
👡	obuća, sandala, žena, ženska sandala
🩰	balet, baletske cipele, ples
👢	obuća, čizma, žena, ženska čizma
👑	asesoar, kralj, kraljica, kruna
👒	asesoar, šešir, žena, ženski šešir
🎩	asesoar, cilindar, šešir
🎓️	asesoar, diploma, kapa, matura, maturska kapa
🧢	kapa za bejzbol, kačket
⛑️	krst, pomoć, prva pomoć, šljem, šljem s bijelim krstom
📿	brojanica, molitva, perle, tespih
💄	karmin, kozmetika, šminka
💍	dijamant, prsten
💎	dijamant, dragi kamen, nakit
🔇	jačina zvuka, nečujno, zvuk isključen
🔈️	blago, zvučnik tiho
🔉	srednje, zvučnik srednja glasnoća
🔊	jako, zvučnik glasno
📢	glasno, razglas, zvučnik
📣	megafon
📯	pošta, poštanski rog, rog, sirena
🔔	zvono
🔕	bez zvuka, nečujno, prekriženo zvono, utišano, zabranjeno
🎼	muzika, note, notni zapis, partitura
🎵	muzika, nota
🎶	muzika, note
🎙️	mikrofon, pjevanje, studijski mikrofon, studio
🎚️	klizač, klizni potenciometar, muzika, nivo
🎛️	dugmad, kontrola, muzika, potenciometar
🎤	mikrofon, pjevanje
🎧️	bubice, slušalice
📻️	radio, video
🎷	instrument, muzika, saksofon
🎸	gitara, instrument, muzika
🎹	instrument, klavijature, klavir, muzika
🎺	instrument, muzika, truba
🎻	instrument, muzika, violina
🪕	bendžo, muzika, žičani instrument
🥁	bubanj, muzika, palice
📱	mobilni, mobitel, telefon
📲	mobilni, poziv, strjelica, strjelica pokazuje mobitel, telefon
☎️	telefon
📞	slušalica, telefon
📟️	pejdžer
📠	faks
🔋	baterija
🔌	eletrični utikač, struja, utikač
💻️	laptop, računar
🖥️	računar, sto
🖨️	printer, računar, štampač
⌨️	računar, tastatura
🖱️	miš, miš za računar, računar
🖲️	kuglica za kretanje, računar, trackball
💽	disk, minidisk, optički, računar
💾	disk, disketa, floppy, računar
💿️	blu-ray, cd, disk, optički, računar
📀	blu-ray, disk, dvd, optički, računar
🧮	računaljka, računanje
🎥	film, kamera, kino
🎞️	film, kadar, kino
📽️	film, kino, projektor, video
🎬️	film, filmska klapa, klapa
📺️	televizor, tv, video
📷️	fotoaparat, kamera
📸	blic, fotoaparat sa blicom, kamera, video
📹️	digitalna kamera, kamera, video
📼	kaseta, vhs, video, video-kaseta
🔍	alat, povećalo, povećalo okrenuto ulijevo, staklo, traženje
🔎	alat, povećalo, povećalo okrenuto udesno, staklo, traženje
🕯️	svijeća, svjetlo
💡	elektrika, ideja, sijalica, stripovi, svjetlo
🔦	alat, baterijska lampa, elektrika, lampa, svjetlo
🏮	crveni papirni fenjer, crveno, kineska lampa, svjetlo
🪔	diya, diya lampa, lampa, ulje
📔	knjiga, korice, sveska, sveska sa ukrasnim koricama, ukrasne
📕	knjiga, zatvorena, zatvorena knjiga
