😀	դեմք, ծիծաղող դեմք, քմծիծաղել
👥	կիսանդրի, ուրվագիծ, ուրվագծված կիսանդրիներ
👣	հագուստ, հետք, մարմին, ոտնահետք, ոտնահետքեր
🦰	կարմրագույն, կարմրահեր, շիկագույն, շիկակարմիր
🦱	աֆրո, գանգուր, գանգուր մազեր, խոպոպներ
🦳	ալեհեր, ծեր, մազեր, սպիտակ, սպիտակ մազեր
🦲	անմազ, ճաղատ, սափրված, քաչալ
🐵	դեմք, կապիկ, կապիկի դեմք
🐒	կապիկ
🦍	գորիլա, կենդանի
🦧	մարդակապիկ, օրանգուտան
🐶	դեմք, ընտանի կենդանի, շան դեմք, շուն
🐕️	ընտանի կենդանի, շուն
🦮	կույր, հաշմանդամ, ուղեկցող շուն, ուղեվար
🐕‍🦺	ծառայողական շուն, հաշմանդամ, շուն, օգնություն
🐩	շուն, պուդել
🐺	գայլ, դեմք, մռութ
🦊	աղվես, դեմք, մռութ
🦝	խորամանկ, հետաքրքրասեր, ջրարջ
🐱	դեմք, ընտանի կենդանի, կատու, կատվի դեմք
🐈️	ընտանի կենդանի, կատու
🦁	առյուծ, առյուծի դեմք, դեմք, կենդանակերպ
🐯	դեմք, վագր, վագրի դեմք
🐅	վագր
🐆	ընձառյուծ
🐴	դեմք, ձի, ձիու դեմք
🐎	ձի, մրցավազք, մրցավազքային ձի
🦄	դեմք, միաեղջյուր, մռութ
🦓	բիծ, զեբր
🦌	եղնիկ, եղջերու, կենդանի
🐮	դեմք, կով, կովի դեմք
🐂	կենդանակերպ, ցուլ, ցուլիկ
🐃	ջուր, ջրագոմեշ
🐄	կով
🐷	դեմք, խոզ, խոզի դեմք
🐖	էգ խոզ, խոզ
🐗	խոզ, վարազ
🐽	դեմք, խոզ, խոզի քիթ, քիթ
🐏	արու ոչխար, խոյ, կենդանակերպ, ոչխար
🐑	մաքի, ոչխար
🐐	այծ, այծեղջյուր, կենդանակերպ
🐪	կուզ, միասապատ, ուղտ
🐫	երկսապատանի, երկսապատավոր ուղտ, կուզ, ուղտ
🦙	ալպակա, բուրդ, գուանակո, լամա
🦒	ընձուղտ, պուտեր
🐘	փիղ
🦏	կենդանի, ռնգեղջյուր
🦛	գետաձի
🐭	դեմք, մկան դեմք, մուկ
🐁	մուկ
🐀	առնետ
🐹	գերմանամուկ, դեմք, ընտանի կենդանի, մռութ
🐰	դեմք, ընտանի կենդանի, ճագար, ճագարի դեմք, նապաստակ
🐇	ընտանի կենդանի, ճագար, նապաստակ
🐿️	շերտասկյուռ
🦔	ոզնի, փշավոր
🦇	կենդանի, չղջիկ
🐻	արջ, դեմք, մռութ
🐨	արջ, կոալա
🐼	դեմք, մռութ, պանդա
🦥	դանդաղաշարժ, ծույլ, համրուկ
🦦	ժիր, ձկնորս, ջրասամույր
🦨	գարշահոտ, ժանտաքիս
🦘	Ավստրալիա, ագեվազ, պարկավոր, ցատկող
🦡	գորշուկ, ձանձրացնել, փորսուղ
🐾	թաթ, թաթերի հետքեր, հետք, ոտքեր
🦃	հնդկահավ
🐔	հավ
🐓	աքաղաղ, աքաղաք
🐣	ձագ, ձվից դուրս եկող, ձվից դուրս եկող ճուտիկ, ճուտիկ
🐤	ձագ, ճուտիկ
🐥	դեմքով կանգնած ճուտիկ, ձագ, ճուտիկ
🐦️	թռչուն
🐧	պինգվին
🕊️	աղավնի, թռչել, թռչուն, խաղաղություն
🦅	արծիվ, թռչուն
🦆	բադ, թռչուն
🦢	անճոռնի ճուտիկ, թռչուն, կարապ
🦉	բու, թռչուն, իմաստուն
🦩	արևադարձային, ցայտուն, ֆլամինգո
🦚	թռչուն, հպարտ, սիրամարգ, սնապարծ
🦜	թութակ, թռչուն, խոսոց, ծովահեն
🐸	գորտ, դեմք, մռութ
🐊	կոկորդիլոս
🐢	կրիա
🦎	մողես, սողուն
🐍	կենդանակերպ, օձ
🐲	դեմք, հեքիաթ, վիշապ, վիշապի դեմք
🐉	հեքիաթ, վիշապ
🦕	բրախիոզավր, բրոնտոզավր, դիպլոդոկ, զավրոպոդ
🦖	տիրանոզավր ռեքս
🐳	դեմք, կետաձուկ, ջուր ցայտեցնող կետաձուկ, ցայտում
🐋	կետ
🐬	դելֆին
🐟️	կենդանակերպ, ձկներ, ձուկ
🐠	արևադարձային, արևադարձային ձուկ, ձուկ
🐡	ձուկ, փքաձուկ
🦈	ձուկ, շնաձուկ
🐙	ութոտնուկ
🐚	խխունջ, պարույր, պարուրաձև խխունջախեցի
🐌	խխունջ
🦋	գեղեցիկ, թիթեռ, միջատ
🐛	միջատ
🐜	միջատ, մրջյուն
🐝	մեղու, միջատ
🐞	բզեզ, զատիկ, միջատ
🦗	ծղրիդ, մորեխ
🕷️	միջատ, սարդ
🕸️	ոստայն, սարդ, սարդոստայն
🦂	կարիճ, կենդանակերպ, շագանակագույն կարիճ
🦟	հիվանդություն, մալարիա, միջատ, մոծակ, վարակ, տենդ
🦠	ամեոբա, բակտերիա, մանրէ, վիրուս
💐	բույս, ծաղիկ, ծաղկեփունջ, սիրավեպ
🌸	բալ, բալենու ծաղիկ, բույս, ծաղիկ
💮	ծաղիկ, սպիտակ ծաղիկ
🏵️	բույս, վարդանախշ
🌹	բույս, ծաղիկ, վարդ
🥀	թառամած, թառամած ծաղիկ, ծաղիկ
🌺	բույս, ծաղիկ, հիբիսկուս
🌻	արև, արևածաղիկ, բույս, ծաղիկ
🌼	բույս, ծաղիկ
🌷	բույս, ծաղիկ, կակաչ
🌱	բույս, ծիլ, մատղաշ
🌲	բույս, եղևնի, ծառ
🌳	բույս, ծառ, սաղարթավոր, սաղարթավոր ծառ
🌴	արմավենի, բույս, ծառ
🌵	բույս, կակտուս
🌾	ականջ, բույս, բրինձ, բրնձի հասկեր
🌿	բույս, խոտաբույս, տերև
☘️	բույս, երեքնուկ
🍀	4, բույս, երեքնուկ, չորս, տերև, քառատերև երեքնուկ
🍁	բույս, ընկնող, թխկի, թխկու տերև, տերև
🍂	բույս, ընկած տերև, ընկնող, տերև
🍃	բույս, թրթռալ, ճախրող տերևներ, տերև, փչել, քամի
🍇	բույս, խաղող, պտուղ
🍈	բույս, պտուղ, սեխ
🍉	բույս, ձմերուկ, պտուղ
🍊	բույս, մանդարին, նարինջ, պտուղ
🍋	բույս, կիտրոն, պտուղ, ցիտրուս
🍌	բանան, բույս, պտուղ
🍍	արքայախնձոր, բույս, պտուղ
🥭	արևադարձային, մանգո, միրգ
🍎	բույս, խնձոր, կարմիր, կարմիր խնձոր, պտուղ
🍏	բույս, խնձոր, կանաչ, կանաչ խնձոր, պտուղ
🍐	բույս, պտուղ, տանձ
🍑	բույս, դեղձ, պտուղ
🍒	բալ, բույս, պտուղ
🍓	բույս, ելակ, հատապտուղ, պտուղ
🥝	կիվի, միրգ, ուտելիք
🍅	բանջարեղեն, բույս, լոլիկ
🥥	արմավենի, կոկոս, պինյա կոլադա
🥑	ավոկադո, միրգ, ուտելիք
🍆	բանջարեղեն, բույս, սմբուկ
🥔	բանջարեղեն, կարտոֆիլ, ուտելիք
🥕	բանջարեղեն, գազար, ուտելիք
🌽	ականջ, բույս, եգիպտացորեն
🌶️	բույս, կծու, կծու պղպեղ, պղպեղ
🥒	բանջարեղեն, ուտելիք, վարունգ
🥬	կաղամբ, հազար, մարոլ
🥦	բրոկկոլի, վայրի կաղամբ
🧄	համեմունք, սխտոր
🧅	համեմունք, սոխ
🍄	բույս, սունկ
🥜	գետնանուշ, ընդեղեն, ընկույզ, ուտելիք
🌰	բույս, շագանակ
🍞	բոքոն, հաց
🥐	խմորեղեն, կրուասան, հաց, ուտելիք, ֆրանսիական
🥖	բագետ, հաց, ուտելիք, ֆրանսիական
🥨	բոկեղ, ոլորաբլիթ, ոլորած, սիմիթ
🥯	բեյգլ, բուլկի, թխվածք
🥞	բլիթ, կրեպ, ձիթաբլիթ, ուտելիք
🧇	աղանդեր, նախաճաշ, վաֆլի
🧀	պանիր, պանրի կտոր
🍖	միս, ոսկոր, ոսկորով միս
🍗	բուդ, թռչնամիս, հավ, հավի բուդ, ոսկոր
🥩	կրծքամիս, մսի կտոր, ոսկրամիս, տավար, փափկամիս
🥓	բեկոն, միս, ուտելիք
🍔	բուրգեր, համբուրգեր
🍟	կարտոֆիլ, տապակած կարտոֆիլ, ֆրի
🍕	կտոր, պանիր, պիցցա
🌭	հոթդոգ, նրբերշիկ, ֆրանկֆուրտեր
🥪	հաց, սենդվիչ
🌮	մեքսիկական, տակո
🌯	բուրիտո, մեքսիկական
🥙	բրդուճ, գիրոս, լավաշ, լավաշով բրդուճ, շաուրմա
🧆	մսագնդիկ, սիսեռ, ֆալաֆել
🥚	ձու, ուտելիք
🍳	թավա, թավայով ձվածեղ, ձու, տապակել
🥘	թավա, ուտելիք, տապակա, տապակած, տափակ
🍲	թաս, թասով ճաշ, ճաշ
🥣	գդալով աման, նախաճաշ, շիլա
🥗	աղցան, բանջարեղեն, ուտելիք
🍿	ադիբուդի
🧈	կաթնամթերք, կարագ
🧂	աղ, համեմունք, հավելում
🥫	պահածո
🍱	արկղիկ, բենտո, բենտո արկղիկ
🍘	բրինձ, բրնձի կրեկեր, կրեկեր
🍙	բրինձ, բրնձի գնդիկ, գնդիկ, ճապոնական
🍚	բրինձ, եփած, եփած բրինձ
🍛	բրինձ, կարրի, կարրիով բրինձ
🍜	թաս, լապշա, տաք, տաք ապուր
🍝	մակարոնեղեն, սպագետի
🍠	կարմրացրած, կարմրացրած քաղցր կարտոֆիլ, կարտոֆիլ, քաղցր
🍢	ծովամթերք, շամփուր, փայտիկ, քյաբաբ, օդեն
🍣	սուշի
🍤	ծովախեցգետին, տապակած, տապակած ծովախեցգետին
🍥	խմորեղեն, ձկնային տորթ պտտանախշով, ձուկ, պտտանախշ, տորթ
🥮	աշուն, չինական թխվածք, փառատոն
🍡	դանգո, դեսերտ, ճապոնական, շամփուր, փայտիկ, քաղցր
🥟	խինկալի, մանտի, պելմենի
🥠	գուշակություն, գուշակությունով բլիթ
🥡	ոստրեների տուփ, ուտելիքը տուն տանելու տուփ
🦀	խեցգետին, կենդանակերպ, կրաբ
🦞	խեցգետին, ծովամթերք, օմար
🦐	ծովախեցգետին, մանրածովախեցգետին, ուտելիք
🦑	կակղամորթ, կաղամար, ուտելիք
🦪	խեցի, մարգարիտ, ոստրե, սուզում
🍦	դեսերտ, լցնովի, լցնովի պաղպաղակ, կրեմ, պաղպաղակ, փափուկ, քաղցր
🍧	դեսերտ, մանրացված, մանրացված սառույց, սառույց, քաղցր
🍨	դեսերտ, կրեմ, պաղպաղակ, քաղցր
🍩	դեսերտ, դոնաթ, քաղցր
🍪	դեսերտ, թխվածքաբլիթ, քաղցր
🎂	դեսերտ, խմորեղեն, ծննդյան տորթ, տարեդարձ, տոն, տորթ, քաղցր
🍰	դեսերտ, խմորեղեն, կտոր, տորթ, տորթի կտոր, քաղցր
🧁	թխվածք, կեքս, քաղցրավենիք
🥧	լցոնած, խմորեղեն, կարկանդակ
🍫	դեսերտ, շոկոլադ, շոկոլադե սալիկ, սալիկ, քաղցր
🍬	դեսերտ, կոնֆետ, քաղցր
🍭	դեսերտ, կոնֆետ, սառնաշաքար, քաղցր
🍮	դեսերտ, պուդինգ, քաղցր
🍯	կճուճ, մեղր, մեղրի կճուճ, քաղցր
🍼	խմել, կաթ, մանկական, մանկական շիշ, շիշ
🥛	բաժակ, ըմպելիք, կաթ, մի բաժակ կաթ
☕️	ըմպելիք, թեյ, խմել, սուրճ, տաք, տաք ըմպելիք
🍵	բաժակ, ըմպելիք, թեյ, թեյի բաժակ, թեյի բաժակ առանց բռնակի, խմել
🍶	բաժակ, բար, ըմպելիք, խմել, շիշ, սակե
🍾	բար, դուրս թռչել, թռչող խցանով շիշ, խմել, խցան, շիշ
🍷	բաժակ, բար, գինի, գինու բաժակ, ըմպելիք, խմել
🍸️	բաժակ, բար, խմել, կոկտեյլ, կոկտեյլի բաժակ
🍹	արևադարձային, արևադարձային ընպելիք, բար, խմել
🍺	բար, գավաթ, գարեջուր, գարեջրի գավաթ, խմել
🍻	բար, գավաթ, գարեջուր, զրնգալ, զրնգացող գարեջրի գավաթներ, խմել
🥂	բաժակ, զնգացող բաժակներ, զնգոց, ծլնգոց, նշել, տոնել
🥃	բաժակ, գինի, թեյի բաժակ, կոնյակ, վիսկի, օղի
🥤	զովացուցիչ, ըմպելիք, կոլա, հյութ, ձողիկով բաժակ
🧃	խմիչքի տուփ, հյութի տուփ
🧉	ըմպելիք, խմիչք, մատե
🧊	սառը, սառույցի խորանարդիկ, սառցաբեկոր
🥢	հասի, փայտիկներ
🍽️	ափսե, դանակ, դանակ և պատառաքաղ ափսեի հետ, խոհարարություն, պատառաքաղ
🍴	դանակ, դանակ և պատառաքաղ, խոհարարություն, պատառաքաղ
🥄	գդալ, սպասք
🔪	գործիք, դանակ, եփել, զենք, խոհանոցային դանակ, խոհարար
🏺	գործիք, զենք, խմել, խոհարարություն, կենդանակերպ, ջրհոս, սափոր
🌍	աշխարհ, աֆրիկա, գլոբուս, եվրոպա, եվրոպան և աֆրիկան պատկերող գլոբուս, երկիր
🌎️	ամերիկաներ, ամերիկաները պատկերող գլոբուս, աշխարհ, գլոբուս, երկիր
🌏	աշխարհ, ասիա, ասիան և ավստրալիան պատկերող գլոբուս, ավստրալիա, գլոբուս, երկիր
🌐	աշխարհ, գլոբուս, երկիր, միջօրեականներ, միջօրեականներով գլոբուս
🗺️	աշխարհ, աշխարհի քարտեզ, քարտեզ
🗾	ճապոնիա, ճապոնիայի քարտեզը, քարտեզ
🧭	կողմնացույց, կողմնորոշում, մագնիսային, նավարկում
🏔️	լեռ, ձյուն, ձյունածածկ գագաթով լեռ, սառը
⛰️	լեռ, սար
🌋	եղանակ, ժայթքում, լեռ, հրաբուխ
🗻	լեռ, ֆուջի, ֆուջի լեռ
🏕️	ճամբար
🏖️	լողափ, լողափ հովանոցով, հովանոց
🏜️	անապատ
🏝️	անմարդաբնակ, անմարդաբնակ կղզի, կղզի
🏞️	ազգային պարկ, պարկ
🏟️	մարզադաշտ
🏛️	հունահռոմեական, հունահռոմեական շինություն, շինություն
🏗️	շենք, շենքի կառուցում, շինարարություն
🧱	աղյուս, աղյուսներ, կավ, շինանյութ, պատ
🏘️	շենք, տան շինարարություն, տուն
🏚️	լքված, լքված շինություն, շենք, տուն
🏠️	բնակարան, բնակելի տուն, շենք, տուն
🏡	այգի, այգիով տուն, բնակարան, շենք, տուն
🏢	գրասենյակային շենք, շենք
🏣	ճապոնական, ճապոնական փոստատուն, շենք, փոստատուն
🏤	եվրոպական, շենք, փոստատուն
🏥	բժիշկ, բժշկություն, հիվանդանոց, շենք
🏦	բանկ, շենք
🏨	հյուրանոց, շենք
🏩	հյուրանոց, շենք, սեր, սիրային հյուրանոց
🏪	խանութ, շենք, շուրջօրյա, շուրջօրյա խանութ
🏫	դպրոց, շենք
🏬	խանութ, հանրախանութ, շենք
🏭️	գործարան, շենք
🏯	դղյակ, ճապոնական, ճապոնական դղյակ, շենք
🏰	դղյակ, եվրոպական, շենք
💒	հարսանիք, մատուռ, սիրավեպ
🗼	աշտարակ, տոկիոյի աշտարակը, տոկյո
🗽	ազատության արձանը, ազատություն, արձան
⛪️	եկեղեցի, խաչ, կրոն, շենք, քրիստոնեական
🕌	իսլամ, կրոն, մզկիթ, մուսուլման
🛕	հինդուիստական տաճար, հինուիզմ, տաճար
🕍	կրոն, հրեա, հրեական, սինագոգ, տաճար
⛩️	կրոն, սինտոյական, սինտոյական տաճար, տաճար
🕋	իսլամ, կաաբա, կրոն, մուսուլման
⛲️	շատրվան
⛺️	ճամբար, վրան
🌁	եղանակ, մառախլապատ, մառախուղ
🌃	աստղ, աստղազարդ գիշեր, գիշեր, եղանակ
🏙️	շենք, քաղաք, քաղաքի համայնապատկեր
🌄	առավոտ, արև, արևածագ, արևածագը լեռներում, եղանակ, լեռ
🌅	առավոտ, արև, արևածագ, եղանակ
🌆	արև, եղանակ, երեկո, լանդշաֆտ, մայրամուտ, մթնշաղ, շենք, քաղաք, քաղաքի համայնապատկեր մթնշաղին
🌇	արև, եղանակ, մայրամուտ, մթնշաղ, շենք
🌉	գիշեր, եղանակ, կամուրջ, կամուրջը գիշերով
♨️	աղբյուրներ, հոսք, տաք, տաք աղբյուրներ
🎠	կարուսել, կարուսելի ձի, ձի
🎡	անիվ, զվարճանքների այգի, սատանայի, սատանայի անիվ
🎢	ամերիկյան, ամերիկյան բլուրներ, բլուրներ, զվարճանքների այգի
💈	ձող, սանրվածք, վարսավիր, վարսավիրի ձող
🎪	կրկես, կրկեսային վրան, վրան
🚂	գնացք, գոլորշի, երկաթուղի, շոգեքարշ, փոխադրամիջոց
🚃	գնացք, երկաթուղային վագոն, երկաթուղի, էլեկտրական, վագոն, տրամվայ, տրոլեյբուս, փոխադրամիջոց
🚄	արագություն, գնացք, երկաթուղի, ճեպընթաց գնացք, սինկանսեն, փոխադրամիջոց
🚅	արագություն, գնացք, երկաթուղի, կլոր քիթ, ճեպընթաց գնացք կլոր քթով, սինկանսեն, փոխադրամիջոց
🚆	գնացք, երկաթուղի, փոխադրամիջոց
🚇️	մետրո, փոխադրամիջոց
🚈	երկաթուղի, վերգետնյա մետրո, փոխադրամիջոց
🚉	գնացք, երկաթուղի, կայարան, փոխադրամիջոց
🚊	տրամվայ, տրոլեյբուս, փոխադրամիջոց
🚝	մոնոռելս, փոխադրամիջոց
🚞	երկաթուղի, լեռ, լեռնային երկաթուղի, վագոն, փոխադրամիջոց
🚋	վագոն, տրամվայ, տրամվայի վագոն, տրոլեյբուս, փոխադրամիջոց
🚌	ավտոբուս, փոխադրամիջոց
🚍️	ավտոբուս, մոտեցող, մոտեցող ավտոբուս, փոխադրամիջոց
🚎	ավտոբուս, տրամվայ, տրոլեյբուս, փոխադրամիջոց
🚐	ավտոբուս, միկրոավտոբուս, փոխադրամիջոց
🚑️	շտապօգնության մեքենա, փոխադրամիջոց
🚒	բեռնատար, հրդեք, հրշեջ մեքենա, փոխադրամիջոց, քարշակ
🚓	ավտոմեքենա, ոստիկանական մեքենա, ոստիկանություն, պարեկ, փոխադրամիջոց
🚔️	ավտոմեքենա, մոտեցող, մոտեցող ոստիկանական մեքենա, ոստիկանություն, փոխադրամիջոց
🚕	տաքսի, փոխադրամիջոց
🚖	մոտեցող, մոտեցող տաքսի, տաքսի, փոխադրամիջոց
🚗	ավտոմեքենա, փոխադրամիջոց
🚘️	ավտոմեքենա, մեքենա, մոտեցող, մոտեցող ավտոմեքենա, փոխադրամիջոց
🚙	ավտոֆուրգոն, փոխադրամիջոց
🚚	առաքում, բեռնատար, փոխադրամիջոց
🚛	բեռնատար, կցորդ, կցորդով բեռնատար, փոխադրամիջոց
🚜	տրակտոր, փոխադրամիջոց
🏎️	մեքենա, մրցարշավ, մրցարշավային մեքենա
🏍️	մոտոցիկլետ, մրցարշավ
🛵	մոպեդ, սկուտեր
🦽	հաշմանդամ, ձեռքով կառավարվող անվասայլակ
🦼	հաշմանդամ, մոտորասայլակ
🛺	ավտոռիկշա, թըխկ-թըխկ, ռիկշա, տաքսի
🚲️	հեծանիվ, փոխադրամիջոց
🛴	ինքնագլոր, սամոկատ
🛹	անվատախտակ, տախտակ
🚏	ավտոբուս, ավտոբուսի կանգառ, կանգառ
🛣️	ավտոմայրուղի, ճանապարհ, մայրուղի
🛤️	գնացք, երկաթուղի
🛢️	նավթ, նավթի տակառ, տակառ
⛽️	բենզալցակայան, բենզալցակայանի պոմպ, բենզին, կայան, պոմպ, վառելիք
🚨	ավտոմեքենա, լույս, ոստիկանական մեքենայի փարոս, ոստիկանություն, պտտվող, փարոս, փոխադրամիջոց
🚥	ազդանշան, երթևեկություն, լույս, հորիզոնական լուսակիր
🚦	ազդանշան, երթևեկություն, լույս, ուղղահայաց լուսակիր
🛑	նշան, ստոպ, ստոպ նշան
🚧	արգելապատնեշ, շինարարություն
⚓️	գործիք, խարիսխ, նավ
⛵️	առագաստանավ, զբոսանավ, ծով, հանգստավայր, նավակ, փոխադրամիջոց
🛶	կանոէ, մակույկ, նավակ
🚤	արագընթաց մոտորանավակ, նավակ, փոխադրամիջոց
🛳️	նավ, ուղևոր, ուղևորատար նավ, փոխադրամիջոց
⛴️	լաստանավ, նավակ
🛥️	մոտորանավ, նավակ, փոխադրամիջոց
🚢	նավ, փոխադրամիջոց
✈️	ինքնաթիռ, փոխադրամիջոց
🛩️	ինքնաթիռ, փոխադրամիջոց, փոքր ինքնաթիռ
🛫	գրանցում, ինքնաթիռ, մեկնում, փոխադրամիջոց, օդանավի մեկնում
🛬	ժամանող, ժամանում, վայրէջք, փոխադրամիջոց, օդանավ, օդանավի ժամանում
🪂	անկարգել, պարաշյուտ
💺	բազկաթոռ, նստատեղ
🚁	ուղղաթիռ, փոխադրամիջոց
🚟	երկաթուղի, կախովի, կախովի երկաթուղի, փոխադրամիջոց
🚠	գոնդոլա, լեռ, լեռնային ճոպանուղի, ճոպան, փոխադրամիջոց
🚡	գոնդոլա, ճոպան, ճոպանուղի, վագոն, տրամվայ, փոխադրամիջոց, օդային, օդային տրամվայ
🛰️	արբանյակ, տիեզերք, փոխադրամիջոց
🚀	հրթիռ, տիեզերք, փոխադրամիջոց
🛸	այլմոլորակային, թռչող ափսե
🛎️	զանգ, հյուրանոց, հյուրանոցային զանգ
🧳	ճամպրուկ, ճամփորդություն, ուղեբեռ
⌛️	ավազ, ավազի ժամացույց, ժամաչափ
⏳️	ավազ, ավազի ժամացույց, ավազի ժամացույց հոսող ավազով, ժամաչափ
⌚️	ժամացույց
⏰	զարթուցիչ, ժամացույց
⏱️	ժամացույց, վայրկյանաչափ
⏲️	ժամաչափ, ժամացույց
🕰️	բուխարու ժամացույց, ժամացույց
🕛️	00, 12, 12:00, ժամ, ժամացույց, ժամը տասներկուսը, տասներկու
🕧	12, 12:30, 30, երեսուն, ժամացույց, տասներկու, տասներկուսն անց կես
🕐️	00, 1, 1:00, ժամ, ժամացույց, ժամը մեկը, մեկ
🕜	1, 1:30, 30, երեսուն, ժամացույց, մեկ, մեկն անց կես
🕑️	00, 2, 2:00, երկու, ժամ, ժամացույց, ժամը երկուսը
🕝	2, 2:30, 30, երեսուն, երկու, երկուսն անց կես, ժամացույց
🕒️	00, 3, 3:00, երեք, ժամ, ժամացույց, ժամը երեքը
🕞	3, 30, 3:30, երեսուն, երեք, երեքն անց կես, ժամացույց
🕓️	00, 4, 4:00, ժամ, ժամացույց, ժամը չորսը, չորս
🕟	30, 4, 4:30, երեսուն, ժամացույց, չորս, չորսն անց կես
🕔️	00, 5, 5:00, ժամ, ժամացույց, ժամը հինգը, հինգ
🕠	30, 5, 5:30, երեսուն, ժամացույց, հինգ, հինգն անց կես
🕕️	00, 6, 6:00, ժամ, ժամացույց, ժամը վեցը, վեց
🕡	30, 6, 6:30, երեսուն, ժամացույց, վեց, վեցն անց կես
🕖️	00, 7, 7:00, ժամ, ժամացույց, ժամը յոթը, յոթ
🕢	30, 7, 7:30, երեսուն, ժամացույց, յոթ, յոթն անց կես
🕗️	00, 8, 8:00, ժամ, ժամացույց, ժամը ութը, ութ
🕣	30, 8, 8:30, երեսուն, ժամացույց, ութ, ութն անց կես
🕘️	00, 9, 9:00, ժամ, ժամացույց, ժամը ինը, ինը
🕤	30, 9, 9:30, երեսուն, ժամացույց, ինը, ինն անց կես
🕙️	00, 10, 10:00, ժամ, ժամացույց, ժամը տասը, տասը
🕥	10, 10:30, 30, երեսուն, ժամացույց, տասը, տասն անց կես
🕚️	00, 11, 11:00, ժամ, ժամացույց, ժամը տասնմեկը, տասնմեկ
🕦	11, 11:30, 30, երեսուն, ժամացույց, տասնմեկ, տասնմեկն անց կես
🌑	եղանակ, լուսին, մութ, նորալուսին, տիեզերք
🌒	աճող, աճող մահիկ, եղանակ, լուսին, մահիկ, տիեզերք
🌓	եղանակ, լուսին, լուսինն առաջին քառորդում, տիեզերք, քառորդ
🌔	աճող, աճող ուռուցիկ լուսին, եղանակ, լուսին, ուռուցիկ, տիեզերք
🌕️	եղանակ, լիալուսին, լուսին, տիեզերք
🌖	եղանակ, լուսին, նվազող, նվազող ուռուցիկ լուսին, ուռուցիկ, տիեզերք
🌗	եղանակ, լուսին, լուսինը երկրորդ քառորդում, տիեզերք, քառորդ
🌘	եղանակ, լուսին, մահիկ, նվազող, նվազող մահիկ, տիեզերք
🌙	եղանակ, լուսին, մահիկ, տիեզերք
🌚	դեմք, դեմքով նորալուսին, եղանակ, լուսին, տիեզերք
🌛	դեմք, եղանակ, լուսին, լուսինն առաջին քառորդում դեմքով, տիեզերք, քառորդ
🌜️	դեմք, եղանակ, լուսին, լուսինը երկրորդ քառորդում դեմքով, տիեզերք, քառորդ
🌡️	եղանակ, ջերմաչափ
☀️	արև, արևոտ, եղանակ, ճառագայթներ, պայծառ, տիեզերք
🌝	դեմք, դեմքով լիալուսին, եղանակ, լիալուսին, լուսին, պայծառ, տիեզերք
🌞	արև, դեմք, դեմքով արև, եղանակ, պայծառ, տիեզերք
🪐	Սատուրն, օղակներով մոլորակ
⭐️	աստղ, սպիտակավուն աստղ
🌟	աստղ, կայծ, փայլող, փայլող աստղ
🌠	աստղ, ընկնող, ընկնող աստղ, տիեզերք
🌌	եղանակ, ծիր կաթին, տիեզերք
☁️	ամպ, եղանակ
⛅️	ամպ, արև, արև ամպի հետևում, եղանակ
⛈️	ամպ, ամպրոպ, անձրև, եղանակ, կայծակով և անձրևով ամպ
🌤️	ամպ, արև, արև փոքր ամպի հետևում, եղանակ
🌥️	ամպ, արև, արև մեծ ամպի հետևում, եղանակ
🌦️	ամպ, անձրև, արև, արև անձրևով ամպի հետևում, եղանակ
🌧️	ամպ, անձրև, անձրևով ամպ, եղանակ
🌨️	ամպ, եղանակ, ձյուն, ձյունով ամպ, սառը
🌩️	ամպ, եղանակ, կայծակ, կայծակով ամպ
🌪️	ամպ, եղանակ, պտտահողմ
🌫️	ամպ, եղանակ, մառախուղ
🌬️	ամպ, դեմք, եղանակ, փչել, քամի, քամու երես
🌀	եղանակ, թայֆուն, պտտվող, ցիկլոն
🌈	անձրև, եղանակ, ծիածան
🌂	անձրև, անձրևանոց, եղանակ, հագուստ, փակ անձրևանոց
☂️	անձրև, անձրևանոց, եղանակ, հագուստ
☔️	անձրև, անձրևանոց, անձրևանոց անձրևի կաթիլներով, եղանակ, կաթիլ, հագուստ
⛱️	անձրև, անձրևանոց, անձրևանոց գետնի վրա, արև, եղանակ
⚡️	բարձր լարում, էլեկտրական, էլեկտրականություն, լարում, կայծակ, վտանգ
❄️	եղանակ, ձյան փաթիլ, ձյուն, սառը
☃️	եղանակ, ձյուն, ձնեմարդ, սառը
⛄️	եղանակ, ձյուն, ձնեմարդ, ձնեմարդ առանց ձյան, սառը
☄️	գիսաստղ, տիեզերք
🔥	բոց, գործիք, կրակ
💧	եղանակ, կաթիլ, կոմիքս, սառը, քրտինք
🌊	ալիք, եղանակ, ծովի ալիք, ջուր, օվկիանոս
🎃	լապտեր, հելոուին, ջեք, ջեքի լապտեր, տոն
🎄	ծառ, սուրբ ծնունդ, տոն, տոնածառ
🎆	հրավառություն, տոնակատարություն
🎇	բենգալյան կրակ, կայծ, հրավառություն, տոնակատարություն
🧨	դինամիտ, հրավարություն, ճայթռուկ, պայտուցիկ
✨	աստղ, կայծ, կայծեր
🎈	տոն, փուչիկ
🎉	երեկույթ, ճայթուկ, տոն
🎊	գունդ, կոնֆետի, տոն
🎋	դրոշակ, ծառ, ճապոնական, տանաբատա, տոն
🎍	բամբուկ, բամբուկից դեկորացիա, բույս, դեկորացիա, ճապոնական, տոն
🎎	ճապոնական, ճապոնական տիկնիկներ, տիկնիկ, տոն, փառատոն
