😀	seja, smaids, smiekli
👨🏿‍🤝‍👨🏾	divi vīrieši sadevušies rokās, divi vīrieši sadevušies rokās: tumšs ādas tonis un vidēji tumšs ādas tonis, dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, zodiaks
👬🏿	divi vīrieši sadevušies rokās, divi vīrieši sadevušies rokās: tumšs ādas tonis, dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vīrietis, zodiaks
💏	pāris, romantika, skūpsts
👩‍❤‍💋‍👨	pāris, romantika, sieviete, skūpsts, skūpsts: sieviete un vīrietis, vīrietis
👨‍❤‍💋‍👨	pāris, romantika, skūpsts, skūpsts: vīrietis un vīrietis, vīrietis
👩‍❤‍💋‍👩	pāris, romantika, sieviete, skūpsts, skūpsts: sieviete un sieviete
💑	mīlestība, pāris, pāris ar sirdi, romantika, sirds
👩‍❤‍👨	mīlestība, pāris, pāris ar sirdi, pāris ar sirdi: sieviete un vīrietis, romantika, sieviete, sirds, vīrietis
👨‍❤‍👨	mīlestība, pāris, pāris ar sirdi, pāris ar sirdi: vīrietis un vīrietis, romantika, sirds, vīrietis
👩‍❤‍👩	mīlestība, pāris, pāris ar sirdi, pāris ar sirdi: sieviete un sieviete, romantika, sieviete, sirds
👪️	bērns, māte, sieviete, tēvs, vīrietis, ģimene
👨‍👩‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, sieviete un zēns
👨‍👩‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis, sieviete un meitene
👨‍👩‍👧‍👦	bērns, meitene, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, sieviete, meitene un zēns
👨‍👩‍👦‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, sieviete, zēns un zēns
👨‍👩‍👧‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis, sieviete, meitene un meitene
👨‍👨‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, vīrietis un zēns
👨‍👨‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis, vīrietis un meitene
👨‍👨‍👧‍👦	bērns, meitene, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, vīrietis, meitene un zēns
👨‍👨‍👦‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, vīrietis, zēns un zēns
👨‍👨‍👧‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis, vīrietis, meitene un meitene
👩‍👩‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete, sieviete un zēns
👩‍👩‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: sieviete, sieviete un meitene
👩‍👩‍👧‍👦	bērns, meitene, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete, sieviete, meitene un zēns
👩‍👩‍👦‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete, sieviete, zēns un zēns
👩‍👩‍👧‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: sieviete, sieviete, meitene un meitene
👨‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis un zēns
👨‍👦‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, zēns un zēns
👨‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis un meitene
👨‍👧‍👦	bērns, meitene, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: vīrietis, meitene un zēns
👨‍👧‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: vīrietis, meitene un meitene
👩‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete un zēns
👩‍👦‍👦	bērns, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete, zēns un zēns
👩‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: sieviete un meitene
👩‍👧‍👦	bērns, meitene, māte, sieviete, tēvs, vīrietis, zēns, ģimene, ģimene: sieviete, meitene un zēns
👩‍👧‍👧	bērns, meitene, māte, sieviete, tēvs, vīrietis, ģimene, ģimene: sieviete, meitene un meitene
🗣️	galva, runājoša galva, runāt, siluets
👤	krūšutēla siluets, krūšutēls, siluets
👥	divu krūšutēlu silueti, krūšutēls, siluets
👣	nospiedumi, pēdu nospiedumi, ķermenis
🦰	rudi mati, sarkani mati
🦱	afrikāņu, sprogaini, sprogaini mati, sprogas
🦳	mati, pelēki, sirmi, sirmi mati, vecs
🦲	bez matiem, nav matu, skūts, ķīmijterapija
🐵	galva, pērtiķa galva, pērtiķis
🐒	mērkaķis
🦍	dzīvnieks, gorilla
🦧	orangutans, pērtiķis
🐶	galva, mājdzīvnieks, suns, suņa galva
🐕️	mājdzīvnieks, suns
🦮	akls, pavadonis, pieejamība, suns pavadonis
🐕‍🦺	atbalsts, dienesta suns, dienests, pieejamība, suns
🐩	mājdzīvnieks, pūdelis, suns
🐺	galva, vilka galva, vilks
🦊	galva, lapsa
🦝	jenots, viltīgs, ziņkārīgs
🐱	galva, kaķa galva, kaķis, mājdzīvnieks
🐈️	kaķis, mājdzīvnieks
🦁	Lauva, galva, lauva, zodiaks
🐯	galva, tīģera galva, tīģeris
🐅	tīģeris
🐆	leopards
🐴	galva, zirga galva, zirgs
🐎	sacīkstes, skriešana, zirgs
🦄	galva, vienradzis
🦓	svītra, zebra
🦌	briedis, dzīvnieks
🐮	galva, govs, govs galva
🐂	Vērsis, bullis, vērsis, zodiaks
🐃	bifelis, ūdens
🐄	govs
🐷	cūka, cūkas galva, galva, ruksis, sivēns
🐖	cūka, ruksis, sivēns
🐗	galva, mežacūka
🐽	cūka, ruksis, sivēns, šņukurs
🐏	Auns, aita, auns, zodiaks
🐑	aita, auns
🐐	kaza, mežāzis, zodiaks
🐪	kamielis, kupris
🐫	divkupru kamielis, kamielis, kupris
🦙	alpaka, gvanako, lama, vikunja, vilna
🦒	plankumi, žirafe
🐘	zilonis
🦏	degunradzis, dzīvnieks
🦛	begemots, nīlzirgs
🐭	galva, pele, peles galva
🐁	pele
🐀	žurka
🐹	galva, kāmis, mīļdzīvnieks
🐰	galva, mājdzīvnieks, trusis, truša galva
🐇	mājdzīvnieks, trusis
🐿️	burunduks
🦔	adatains, ezis
🦇	dzīvnieks, sikspārnis, vampīrs
🐻	galva, lācis
🐨	koala, lācis
🐼	galva, panda, pandas galva
🦥	lēns, slinks, sliņķis
🦦	rotaļāties, spēlēties, ūdrs
🦨	skunkss, smaka
🦘	Austrālija, lēciens, somainis, ķengura mazulis, ķengurs
🦡	medusāpsis, traucētājs, āpsis
🐾	nospiedums, ķepa, ķepu nospiedumi
🦃	putns, tītars
🐔	putns, vista
🐓	gailis, putns
🐣	cālis, cālis šķiļas, ola, putns, šķilties
🐤	cālis, galva, putns
🐥	cālis, cālis no priekšpuses, putns
🐦️	putns
🐧	pingvīns, putns
🕊️	balodis, dūja, lidot, miers, putns
🦅	putns, ērglis
🦆	putns, pīle
🦢	gulbis, jauns gulbis, neglītais pīlēns, putns
🦉	gudrs, putns, pūce, vieds
🦩	flamingo, spilgts, tropisks
🦚	iedomīgs, putns, pāvs, pāvu mātīte, ārišķīgs
🦜	papagailis, pirāts, putns, runāt
🐸	galva, varde
🐊	aligators, krokodils
🐢	bruņurupucis
🦎	rāpulis, ķirzaka
🐍	ziņnesis, zodiaks, čūska
🐲	galva, pūķa galva, pūķis
🐉	pasaka, pūķis
🦕	brahiozaurs, brontozaurs, diplodoks, zauropods
🦖	tiranozaurs, tiranozaurs rekss
🐳	valis, valis šļāc ūdeni, ūdens
🐋	valis
🐬	delfīns, peldpleznas
🐟️	zivis, zivs, zodiaks
🐠	tropi, tropu zivs, zivs
🐡	balonzivs, zivs
🦈	haizivs, zivs
🐙	astoņkājis
🐚	gliemežvāks, spirāle
🐌	gliemezis
🦋	insekts, skaists, taurenis
🐛	blakts, kukainis
🐜	kukainis, skudra
🐝	bite, kukainis
🐞	bizbizmārīte, kukainis, mārīte
🦗	circenis, sienāzis
🕷️	kukainis, zirneklis
🕸️	tīkls, zirneklis, zirnekļa tīkls
🦂	skorpions, zodiaks
🦟	drudzis, insekts, malārija, ods, slimība, vīruss
🦠	amēba, baktērija, mikrobs, vīruss
💐	pušķis, romantika, ziedi
🌸	augs, zieds, ķirši, ķiršu zieds
💮	augs, balts zieds, zieds
🏵️	augs, rozete, zieds
🌹	augs, roze, zieds
🥀	novītusi, novītusi puķe, puķe
🌺	augs, hibisks, zieds
🌻	augs, saulespuķe, zieds
🌼	augs, zieds
🌷	augs, tulpe, zieds
🌱	asns, augs
🌲	augs, koks, skujkoks
🌳	augs, koks, lapas, lapu koks
🌴	augs, koks, palma
🌵	augs, kaktuss
🌾	augs, rīsa augs, rīsi
🌿	augs, lapa
☘️	lapa, āboliņa lapa, āboliņš
🍀	4, augs, lapa, āboliņš, četrlapu āboliņš
🍁	augs, kļava, kļavas lapa, lapa
🍂	augs, krist, lapa, nokritusi lapa
🍃	augs, lapa, plīvot, vējā plīvojoša lapa, vējš
🍇	auglis, augs, vīnogas
🍈	auglis, augs, melone
🍉	arbūzs, auglis, augs
🍊	auglis, augs, citruss, mandarīns, oranžs
🍋	auglis, augs, citrons, citruss
🍌	auglis, augs, banāns
🍍	ananass, auglis, augs
🥭	auglis, mango, tropiskais
🍎	auglis, augs, sarkans, sarkans ābols, ābols
🍏	auglis, augs, zaļš, zaļš ābols, ābols
🍐	auglis, augs, bumbieris
🍑	auglis, augs, persiks
🍒	augs, oga, ķirsis, ķirši
🍓	augs, oga, zemene
🥝	auglis, kivi, kivi auglis, pārtika
🍅	dārzenis, tomāts
🥥	kokosrieksts, palma, pina colada
🥑	auglis, avokado, pārtika
🍆	augs, baklažāns, dārzenis
🥔	dārzenis, kartupelis, pārtika
🥕	burkāns, dārzenis, pārtika
🌽	augs, dārzenis, kukurūza, kukurūzas vālīte
🌶️	asais pipars, ass, augs, pipars
🥒	dārzenis, gurķis, pārtika, skābēts
🥬	kacenkāposts, kāposts, lapu dārzenis, lapu kāposts, Ķīnas kāposts
🥦	brokoļi, dārza kāposts
🧄	garšviela, ķiploks
🧅	garšviela, sīpols
🍄	augs, sēne
🥜	dārzenis, rieksti, zemesrieksti, ēdiens
🌰	augs, kastanis
🍞	kukulis, maize
🥐	franču, kruasāns, maize, ēdiens
🥖	bagete, franču, maize, ēdiens
🥨	kliņģeris, savīts
🥯	beigelis, maiznīca, smērējams
🥞	bliņa, pankūka, pankūkas, ēdiens
🧇	gludeklis, savienojošs, vafele
🧀	siera šķēle, siers
🍖	gaļa, kauls, kauls ar gaļu
🍗	gaļa, kauls, kāja, putna kāja, putns
🥩	cūkgaļas karbonāde, gaļas gabals, jēra karbonāde, karbonāde, steiks
🥓	bekons, gaļa, ēdiens
🍔	burgers, hamburgers
🍟	frī, frī kartupeļi, kartupeļi
🍕	pica, šķēle
🌭	desiņa, hotdogs
🥪	maize, sendvičs
🌮	meksikāņu, tako
🌯	burito, meksikāņu
🥙	giross, kebabs, lavašs, pildīts, pildīts lavašs, ēdiens
🧆	aunazirņi / frikadele, felāfels
🥚	ola, ēdiens
🍳	cept, ola, panna, ēdiena gatavošana
🥘	paelja, panna, sautējums, sautējums pannā, ēdiens
🍲	bļoda, ēdiena bļodiņa, ēdiens
🥣	brokastis, bļoda ar karoti, graudaugi, rīsu putra
🥗	salāti, zaļi, zaļie salāti, ēdiens
🍿	kukurūza, popkorns
🧈	piena produkti, sviests
🧂	garšviela, sāls, trauciņš
🥫	konservi, konservs
🍱	bento, bento kastīte, kastīte
🍘	galete, rīsi, rīsu galete
🍙	bumbiņa, japāņu, rīsi, rīsu bumbiņa
🍚	rīsi, vārīti rīsi, vārīts
🍛	karijs, rīsi, rīsu karijs
🍜	bļoda, karsts, kūpoša bļodiņa, ēdiens
🍝	pasta, spageti
🍠	cepti saldie kartupeļi, cepts, kartupeļi, salds
🍢	irbulīši, ēdiens, ēdiens uz irbulīšiem
🍣	suši, ēdiens
🍤	cepta garnele, cepts, garnele, ēdiens
🍥	pīrāgs, rotājums, zivju pīrāgs ar rotājumu, zivs
🥮	Mēness kūka, festivāls, rudens
🍡	dango, deserts, irbulīši, japāņu, salds
🥟	gioza, pelmeņi, vareņiki
🥠	laimes cepumiņš, pravietojums
🥡	kastīte līdzņemšanai, ķīniešu ēdienu kastīte līdzņemšanai
🦀	Vēzis, krabis, zodiaks
🦞	bisks, jūras veltes, omārs, spīles
🦐	garnele, mazs, ēdiens
🦑	kalmārs, molusks, ēdiens
🦪	austere, niršana, pērle
🍦	deserts, krēms, mīksts, salds, saldējums, saldējums vafeļu glāzītē
🍧	deserts, ledus, salds, smalcināts ledus ar sīrupu
🍨	deserts, krēms, salds, saldējums
🍩	deserts, salds, virtulis
🍪	cepums, deserts, salds
🎂	deserts, dzimšanas diena, dzimšanas dienas kūka, jubileja, kūka, svinības
🍰	deserts, kūka, salds, torte
🧁	kēksiņš, maiznīca, salds
🥧	mīkla, pildījums, pīrāgs
🍫	deserts, salds, šokolāde, šokolādes tāfelīte
🍬	konfekte, salds, saldumi
🍭	konfekte, konfekte uz kociņa, salds, saldumi
🍮	deserts, olu krēms, salds
🍯	medus, medus pods, pods, salds
🍼	bērna pudelīte, bērns, dzert, piens, pudele, zīdainis
🥛	dzert, glāze, piena glāze, piens
☕️	dzert, dzēriens, kafija, karsts, karsts dzēriens, tēja
🍵	dzert, dzēriens, tēja, tējas tase bez osiņas
🍶	bārs, dzert, dzēriens, pudele, sakē
🍾	bārs, dzert, dzēriens, korķis, pudele, pudele ar izšautu korķi, šampanietis
🍷	bārs, dzert, dzēriens, glāze, vīna glāze, vīns
🍸️	bārs, dzert, dzēriens, glāze, kokteilis, kokteiļa glāze, martini
🍹	bārs, dzert, dzēriens, glāze, kokteilis, tropu kokteilis
🍺	alus, alus kauss, bārs, dzert, dzēriens, kauss
🍻	alus, bārs, dzert, dzēriens, kauss, saskandināti alus kausi
🥂	dzert, glāze, glāžu skandināšana, svinēt, šampanietis
🥃	glāze, liķieris, viskija glāze, viskijs, šots
🥤	dzēriens ar salmiņu, gāzēts, limonāda, sula
🧃	dzēriena kārba, sulas kārba
🧉	dzēriens, mate
🧊	aisbergs, auksts, ledus gabaliņš
🥢	haši, irbulīši
🍽️	dakša, nazis, nazis un dakša ar šķīvi, šķīvis
🍴	dakša, nazis, nazis un dakša
🥄	galda piederumi, karote
🔪	ierocis, nazis, virtuves nazis, ēst
🏺	amfora, dzert, trauks, zodiaks, Ūdensvīrs
🌍	Eiropa, globuss, globuss ar Eiropu un Āfriku, pasaule, zemeslode, Āfrika
🌎️	Dienvidamerika, Ziemeļamerika, globuss, globuss ar Ameriku, pasaule, zemeslode
🌏	Austrālija, globuss, globuss ar Āziju un Austrāliju, pasaule, zemeslode, Āzija
🌐	globuss, globuss ar meridiāniem, meridiāni
🗺️	karte, pasaule, pasaules karte
🗾	Japāna, Japānas karte, karte
🧭	kompass, magnētisks, navigācija, orientēšanās
🏔️	auksts, kalni, sniegoti kalni, sniegs
⛰️	kalns
🌋	izvirdums, vulkāns
🗻	Fudzi, Fudzi kalns, kalns
🏕️	kempings, nometne, telts
🏖️	pludmale, pludmale ar saulessargu, saulessargs
🏜️	deserts
🏝️	sala, vientuļa sala, vientuļš
🏞️	daba, nacionālais parks, parks
🏟️	sacensības, stadions
🏛️	klasicisma stila ēka, klasicisms, māja, ēka
🏗️	būvlaukums, būvniecība, celtniecība
🧱	kaļķu java, māls, siena, ķieģelis, ķieģeļi
🏘️	māja, ēka, ēkas
🏚️	māja, nolaists, pamesta ēka, pamests, ēka
🏠️	māja, ēka
🏡	dārzs, māja, māja ar dārzu, ēka
🏢	biroju ēka, māja, ēka
🏣	japāņu, japāņu pasta nodaļa, māja, pasts, ēka
🏤	māja, pasta nodaļa, pasts, ēka
🏥	medicīna, māja, slimnīca, ārsts, ēka
🏦	banka, māja, nauda, ēka
🏨	māja, viesnīca, ēka
🏩	māja, mīlas viesnīca, viesnīca, ēka
🏪	diennakts veikals, māja, veikals, ēka
🏫	māja, skola, ēka
🏬	māja, tirdzniecība, tirdzniecības centrs, veikals, ēka
🏭️	fabrika, māja, rūpnīca, ēka
🏯	japāņu, japāņu pils, māja, pils, ēka
🏰	Eiropas, eiropiešu, pils
💒	kāzas, māja, ēka
🗼	Tokija, Tokijas tornis, tornis
🗽	Brīvība, Brīvības statuja, statuja
⛪️	baznīca, kristieši, krusts, lūgties, māja, reliģija, ēka
🕌	islams, lūgties, mošeja, musulmaņi, māja, reliģija, ēka
🛕	hinduistu, hinduistu templis, templis
🕍	ebreji, lūgties, māja, reliģija, sinagoga, templis, ēka
⛩️	lūgties, reliģija, sintoisms, sintoistu svētnīca, svētnīca
🕋	islams, kaaba, lūgties, musulmaņi, māja, reliģija, ēka
⛲️	strūklaka, ūdens
⛺️	kempings, telts
🌁	laikapstākļi, laiks, migla, miglains
🌃	nakts, zvaigzne, zvaigžņota debess
🏙️	māja, panorāma, pilsēta, pilsētas panorāma
🌄	kalns, rīts, saule, saullēkts, saullēkts pār kalniem
🌅	rīts, saule, saullēkts
🌆	ainava, krēsla, māja, panorāma, pilsēta, pilsētas panorāma krēslā, ēka
🌇	māja, saule, saulriets, ēka
🌉	nakts, tilts, tilts naktī
♨️	avots, karstie avoti, karsts
🎠	karuselis, karuseļa zirdziņš, zirgs
🎡	atrakciju parks, panorāma, panorāmas rats, rats
🎢	amerikāņu kalniņi, atrakciju parks
💈	bārddzinis, bārddziņa simbols, friziera izkārtne, frizieris
🎪	cirka telts, cirks, telts
🚂	dzelzceļš, dzinējs, lokomotīve, transports, vilciens
🚃	dzelzceļa vagons, dzelzceļš, tramvajs, trolejbuss, vagons, vilciens
🚄	dzelzceļš, transports, vilciens, ātrums, ātrvilciens
🚅	dzelzceļš, transports, vilciens, ātrums, ātrvilciens ar noapaļotu priekšgalu
🚆	dzelzceļš, transports, vilciens
🚇️	metro, transports
🚈	dzelzceļš, piepilsētas vilciens, transports, vilciens
🚉	dzelzceļš, stacija, transports, vilciens
🚊	tramvajs, transports
🚝	dzelzceļš, transports, viensliedes dzelzceļš, vilciens
🚞	dzelzceļš, kalni, kalnu dzelzceļš, transports, vagons, vilciens
🚋	tramvaja vagons, tramvajs, transports, vagons
🚌	autobuss, transports
🚍️	autobuss, pretī braucošs autobuss, transports
🚎	transports, trolejbuss
🚐	autobuss, mikroautobuss, transports
🚑️	medicīna, transports, ārsts, ātrās palīdzības mašīna
🚒	transports, uguns, ugunsdzēsēji, ugunsdzēsēju mašīna
🚓	automašīna, mašīna, policija, policijas mašīna, transports
🚔️	automašīna, mašīna, policija, pretī braucoša policijas mašīna, transports
🚕	automašīna, mašīna, taksometrs, transports
🚖	automašīna, mašīna, pretī braucošs taksometrs, transports
🚗	automašīna, mašīna, transports
🚘️	automašīna, mašīna, pretī braucoša automašīna, transports
🚙	automašīna, kemperis, mašīna, transports
🚚	automašīna, krava, kravas automašīna, mašīna, transports
🚛	automašīna, krava, mašīna, smagā automašīna, transports
🚜	traktors, transports
🏎️	mašīna, sacīkstes, sacīkšu automašīna
🏍️	motocikls, sacīkstes
🛵	motorollers
🦽	manuāli darbināms ratiņkrēsls, pieejamība
🦼	ar motoru darbināms ratiņkrēsls, pieejamība
🛺	autorikša, tuktuks
🚲️	ritenis, transports, velosipēds
🛴	skuteris, skuteris divritenis
🛹	dēlis, skrituļdēlis
🚏	autobusa pietura, autobuss, pietura
🛣️	automaģistrāle, ceļš, šoseja
🛤️	dzelzceļa sliedes, dzelzceļš, sliedes, vilciens
🛢️	eļļa, eļļas tvertne, tvertne
⛽️	DUS, benzīns, degviela, degvielas sūknis, sūknis
🚨	bākuguns, mašīna, policija, policijas mašīnas bākuguns
🚥	horizontāls luksofors, luksofors, signāls
🚦	luksofors, signāls, vertikāls luksofors
🛑	astoņstūris zīme stop, stopzīme
🚧	barjera, celtniecība, konstrukcija
⚓️	enkurs, kuģis
⛵️	buru laiva, jahta, jūra, laiva, transports, ūdens
🛶	kanoe, laiva
🚤	laiva, transports, ātrlaiva, ūdens
🛳️	kuģis, pasažieri, pasažieru kuģis, transports, ūdens
⛴️	kuģis, pasažieri, prāmis, transports, ūdens
🛥️	laiva, motorlaiva, transports, ūdens
🚢	kuģis, transports, ūdens
✈️	lidmašīna, transports
🛩️	lidmašīna, maza lidmašīna, transports
🛫	aizlidot, lidmašīna, lidmašīnas pacelšanās, pacelties, transports
🛬	atlidot, lidmašīna, lidmašīnas nosēšanās, nosēsties, transports
🪂	izpletnis, lidošana, lidošana ar paraplānu, paraplāns
💺	krēsls, sēdeklis
🚁	helikopters, transports
🚟	transports, trose, trošu vilciens, vagons, vilciens
🚠	gondola, kalns, kalnu trošu ceļš, kalnu trošu vilciens, transports, trose
🚡	gaisa tramvajs, gondola, kalns, transports, trose
🛰️	kosmoss, satelīts, visums
🚀	kosmoss, raķete, visums
🛸	NLO, lidojošais šķīvītis
🛎️	galda zvans, viesnīca, zvaniņš, zvans
🧳	bagāža, ceļojums, pakošanās
⌛️	iztecējis smilšu pulstenis, pulkstenis, smiltis, smilšu pulkstenis, taimeris
⏳️	pulkstenis, smiltis, smilšu pulkstenis ar plūstošām smiltīm, taimeris
⌚️	pulkstenis, rokaspulkstenis
⏰	modināt, modinātājpulkstenis, pulkstenis
⏱️	hronometrs, pulkstenis
⏲️	pulkstenis, taimeris
🕰️	kamīna pulkstenis, pulkstenis
🕛️	00, 12, 12:00, pulksten divpadsmit, pulkstenis
🕧	00, 12, 12:30, 30, pulksten pusviens, pulkstenis, pusviens
🕐️	00, 1, 1:00, pulksten viens, pulkstenis
🕜	1, 1:30, 30, pulksten pusdivi, pulkstenis
🕑️	00, 2, 2:00, pulksten divi, pulkstenis
🕝	2, 2:30, 30, pulksten pustrīs, pulkstenis, pustrīs
🕒️	00, 3, 3:00, pulksten trīs, pulkstenis
🕞	3, 30, 3:30, pulksten pusčetri, pulkstenis, pusčetri
🕓️	00, 4, 4:00, pulksten četri, pulkstenis
🕟	30, 4, 4:30, pulksten puspieci, pulkstenis, puspieci
🕔️	00, 5, 5:00, pulksten pieci, pulkstenis
🕠	30, 5, 5:30, pulksten pusseši, pulkstenis, pusseši
🕕️	00, 6, 6:00, pulksten seši, pulkstenis
🕡	30, 6, 6:30, pulksten pusseptiņi, pulkstenis, pusseptiņi
🕖️	00, 7, 7:00, pulksten septiņi, pulkstenis
🕢	30, 7, 7:30, pulksten pusastoņi, pulkstenis, pusastoņi
🕗️	00, 8, 8:00, pulksten astoņi, pulkstenis
🕣	30, 8, 8:30, pulksten pusdeviņi, pulkstenis, pusdeviņi
🕘️	00, 9, 9:00, pulksten deviņi, pulkstenis
🕤	30, 9, 9:30, pulksten pusdesmit, pulkstenis, pusdesmit
🕙️	00, 10, 10:00, pulksten desmit, pulkstenis
🕥	10, 10:30, 30, pulksten pusvienpadsmit, pulkstenis, pusvienpadsmit
🕚️	00, 11, 11:00, pulksten vienpadsmit, pulkstenis
🕦	11, 11:30, 30, pulksten pusdivpadsmit, pulkstenis, pusdivpadsmit
🌑	jauns mēness, mēness, tumšs
🌒	augoša mēness sirpis, augošs, mēness, sirpis
🌓	augošs, augošs pusmēness, mēness, pusmēness
🌔	augošs, izliekts, izliekts augošs mēness, mēness
🌕️	mēness, pilnmēness
🌖	dilstošs, izliekts, izliekts dilstošs mēness, mēness
🌗	dilstošs, dilstošs pusmēness, mēness, pusmēness
🌘	dilstoša mēness sirpis, dilstošs, mēness, sirpis
🌙	mēness, mēness sirpis, sirpis
🌚	jauna mēness seja, mēness, seja
🌛	augoša mēness sirpja seja, augošs, mēness, seja, sirpis
🌜️	dilstoša mēness sirpja seja, dilstošs, mēness, seja, sirpis
🌡️	temperatūra, termometrs
☀️	laikapstākļi, laiks, saule, stari
🌝	mēness, pilnmēness, pilnmēness seja, seja
🌞	saule, saules seja, seja
🪐	gredzenota planēta, mīnijs, saturns
⭐️	dzeltena zvaigzne, zvaigzne
🌟	spīdoša zvaigzne, spīdēt, zvaigzne
🌠	krist, krītoša zvaigzne, zvaigzne
🌌	Piena ceļš, debesis, kosmoss, visums
☁️	laikapstākļi, laiks, mākonis
⛅️	laikapstākļi, laiks, mākonis, saule, saule aiz mākoņa
⛈️	laikapstākļi, laiks, lietus, mākonis, mākonis ar zibeni un lietu, zibens
🌤️	laikapstākļi, laiks, mākonis, saule, saule aiz maza mākoņa
🌥️	laikapstākļi, laiks, mākonis, saule, saule aiz liela mākoņa
🌦️	laikapstākļi, laiks, lietus, mākonis, saule, saule aiz lietus mākoņa
🌧️	laikapstākļi, laiks, lietus, lietus mākonis, mākonis
🌨️	laikapstākļi, laiks, mākonis, sniega mākonis, sniegs
🌩️	laikapstākļi, laiks, mākonis, mākonis ar zibeni, zibens
🌪️	laikapstākļi, laiks, mākonis, tornado, viesulis, virpulis
🌫️	laikapstākļi, laiks, migla, mākonis
🌬️	laikapstākļi, laiks, pūst, pūš vējš, vējš
🌀	ciklons, laikapstākļi, laiks
🌈	laikapstākļi, laiks, lietus, varavīksne
🌂	aizvērts lietussargs, lietus, lietussargs
☂️	lietus, lietussargs
☔️	laikapstākļi, laiks, lietus, lietussargs, lietussargs ar lietus lāsēm, lāses
⛱️	pludmale, saule, saulessargs
⚡️	augstspriegums, bīstami, elektrība, spriegums, zibens
❄️	auksts, laikapstākļi, laiks, sniegpārsla, sniegs
☃️	auksts, laikapstākļi, laiks, sniegavīrs, sniegs
⛄️	auksts, laikapstākļi, laiks, sniegavīrs, sniegavīrs bez sniega, sniegs
☄️	komēta, kosmoss, visums
🔥	degt, uguns
💧	lāse, sviedri, ūdens
🌊	jūra, okeāns, vilnis, ūdens
🎃	Helovīns, izgrebts ķirbis, svētki, visu svēto dienas priekšvakars, ķirbis
🎄	Ziemassvētki, Ziemassvētku eglīte, koks, svētki
🎆	raķete, salūts, svētki
🎇	brīnumsvecīte, mirdzēt, salūts
🧨	dinamīts, petarde, spridzeklis, uguņošana
✨	zibsnis, zibšņi, zvaigzne
🎈	balons, svētki
🎉	ballīte, konfeti, konfeti plaukšķene, plaukšķene, svētki
🎊	ballīte, konfeti, konfeti bumbiņa, plaukšķene, svētki
🎋	japāņu, koks, vēlmju koks, vēlēšanās
🎍	bambuss, japāņu, priede, priedes dekorācija, svētki
🎎	japāņu, japāņu lelles, lelle, svētki
🎏	karpa, svētki, zivju veida karodziņi, zivs
🎐	svētki, vēja zvans, vējš, zvans
🎑	japāņu, mēness, mēness vērošanas ceremonija, svētki
🧧	aploksne, dāvana, nauda, sarkana aploksne, veiksme
🎀	lente, pušķis, pušķītis
🎁	dāvana, iesaiņot, iesaiņota dāvana, lente
🎗️	atcere, atceres lentīte, lente, piemiņa, svētki
🎟️	biļete, ieeja, ieejas biļetes
🎫	biļete, ieeja
🎖️	armija, medaļa, militāra medaļa, ordenis
🏆️	balva, kauss
🏅	medaļa, sporta medaļa, sports
🥇	medaļa, medaļa par 1. vietu, pirmā, zelta
🥈	medaļa, medaļa par 2. vietu, otrā, sudraba
🥉	bronzas, medaļa, medaļa par 3. vietu, trešā
⚽️	bumba, futbola bumba, futbols, sports
⚾️	beisbola bumba, beisbols, bumba, sports
🥎	bumba, cimds, paduse, softbols
🏀	basketbola bumba, basketbols, bumba, sports
